date,MSFT,AAPL,SLB,AMZN,TSLA,XOM,WMT,T,FB,V
2000-08-30,22.59,3.71,27.7,42.94,,24.11,33.86,16.24,,
2000-08-31,22.53,3.8,27.83,41.5,,24.2,33.29,16.1,,
2000-09-01,22.65,3.95,28.28,41.5,,24.45,34.08,16.55,,
2000-09-05,22.63,3.89,28.07,45.69,,24.71,34.78,16.65,,
2000-09-06,22.41,3.64,28.34,45.88,,24.6,34.96,16.53,,
2000-09-07,22.61,3.86,27.42,43.5,,24.82,35.65,16.48,,
2000-09-08,22.37,3.67,27.03,42.94,,24.75,36.44,17.37,,
2000-09-11,22.21,3.64,27.93,42.38,,25.19,38.01,17.71,,
2000-09-12,21.99,3.6,27.74,42.69,,25.42,37.75,17.59,,
2000-09-13,22.03,3.62,27.17,42.44,,25.43,37.71,17.49,,
2000-09-14,21.24,3.54,27.44,44.88,,25.27,36.74,17.3,,
2000-09-15,20.72,3.44,27.74,43.62,,26.08,36.39,17.06,,
2000-09-18,20.33,3.78,27.2,42.81,,26.57,35.78,17.25,,
2000-09-19,20.98,3.74,26.5,40.75,,26.08,34.91,17.54,,
2000-09-20,20.74,3.81,26.09,37.5,,25.64,33.94,17.13,,
2000-09-21,20.72,3.53,26.39,40.06,,25.58,34.99,18.0,,
2000-09-22,20.42,3.25,25.94,41.44,,25.64,35.34,18.48,,
2000-09-25,19.77,3.34,25.88,40.38,,25.45,34.29,18.7,,
2000-09-26,20.23,3.21,25.88,39.75,,25.68,33.16,18.62,,
2000-09-27,19.57,3.05,26.72,37.88,,26.45,33.68,18.29,,
2000-09-28,19.79,3.34,26.66,40.0,,26.42,33.99,19.15,,
2000-09-29,19.47,1.61,26.97,38.44,,26.41,33.68,19.23,,
2000-10-02,19.08,1.51,27.83,35.88,,27.1,32.37,19.3,,
2000-10-03,18.26,1.39,27.72,35.06,,26.92,32.06,19.25,,
2000-10-04,17.89,1.47,26.76,36.0,,26.45,32.28,19.95,,
2000-10-05,17.87,1.38,26.91,33.56,,26.43,32.24,20.75,,
2000-10-06,17.93,1.38,26.29,31.56,,26.51,31.84,20.65,,
2000-10-09,17.49,1.36,26.76,30.06,,27.01,31.58,20.31,,
2000-10-10,17.61,1.3,27.46,30.44,,27.66,32.46,19.73,,
2000-10-11,17.99,1.22,27.31,27.81,,27.79,31.71,19.03,,
2000-10-12,17.55,1.25,27.85,25.12,,27.9,30.88,19.32,,
2000-10-13,17.35,1.38,26.68,28.44,,26.82,31.49,19.42,,
2000-10-16,16.26,1.34,26.17,24.31,,26.03,33.11,19.66,,
2000-10-17,16.28,1.25,26.82,21.94,,26.03,32.19,20.31,,
2000-10-18,16.7,1.25,26.68,25.12,,25.66,32.72,20.41,,
2000-10-19,19.97,1.18,26.72,27.75,,25.64,33.46,20.17,,
2000-10-20,21.04,1.22,27.56,30.81,,26.21,32.59,19.66,,
2000-10-23,20.05,1.27,26.37,30.0,,26.4,33.11,20.97,,
2000-10-24,19.85,1.18,25.82,29.56,,25.71,33.86,20.87,,
2000-10-25,19.77,1.15,24.67,31.88,,25.84,32.15,21.23,,
2000-10-26,20.8,1.15,24.96,36.88,,26.01,30.4,21.09,,
2000-10-27,21.85,1.16,24.61,35.62,,25.95,30.27,21.82,,
2000-10-30,22.29,1.2,24.86,32.88,,26.51,30.62,22.52,,
2000-10-31,22.23,1.22,24.94,36.62,,26.43,31.76,22.35,,
2000-11-01,22.47,1.28,26.25,37.38,,27.29,32.68,21.72,,
2000-11-02,22.7,1.39,25.78,39.75,,26.14,33.9,21.69,,
2000-11-03,22.03,1.39,25.86,37.56,,25.93,33.16,22.15,,
2000-11-06,22.43,1.34,25.41,36.56,,26.29,34.29,21.91,,
2000-11-07,22.76,1.33,25.92,36.94,,26.38,34.25,22.11,,
2000-11-08,22.41,1.25,26.21,33.88,,26.88,34.12,22.23,,
2000-11-09,22.88,1.26,25.84,31.25,,26.77,32.98,22.32,,
2000-11-10,21.75,1.19,25.33,30.06,,26.68,30.58,22.13,,
2000-11-13,21.44,1.21,24.37,27.81,,26.79,31.71,22.47,,
2000-11-14,22.21,1.26,24.88,28.94,,26.77,32.81,22.2,,
2000-11-15,22.61,1.24,26.11,29.5,,26.92,34.29,22.2,,
2000-11-16,22.25,1.18,25.92,27.81,,27.01,33.77,22.49,,
2000-11-17,22.29,1.15,25.02,27.44,,26.9,33.99,21.69,,
2000-11-20,21.69,1.18,24.49,25.81,,27.22,33.51,22.08,,
2000-11-21,21.87,1.17,24.53,24.25,,27.74,32.98,22.06,,
2000-11-22,22.03,1.15,23.49,25.19,,28.07,32.11,22.66,,
2000-11-24,22.57,1.2,24.06,28.94,,28.13,31.63,21.98,,
2000-11-27,22.82,1.16,23.38,28.0,,27.74,34.51,21.48,,
2000-11-28,21.63,1.12,22.71,25.03,,27.72,34.29,21.6,,
2000-11-29,21.0,1.09,21.64,26.94,,26.49,36.31,21.38,,
2000-11-30,18.52,1.03,20.31,24.69,,26.21,36.53,21.28,,
2000-12-01,18.28,1.06,21.87,24.62,,26.45,35.83,20.22,,
2000-12-04,18.22,1.04,22.38,26.56,,27.01,37.66,20.53,,
2000-12-05,19.33,1.06,22.36,25.38,,26.32,38.67,20.7,,
2000-12-06,18.3,0.89,22.42,23.62,,25.69,38.36,21.02,,
2000-12-07,17.15,0.89,22.87,21.38,,26.21,38.49,21.02,,
2000-12-08,17.57,0.94,22.73,23.44,,26.36,38.1,20.02,,
2000-12-11,18.74,0.95,23.69,25.31,,25.54,35.96,19.68,,
2000-12-12,18.84,0.96,24.04,25.88,,25.78,36.31,20.24,,
2000-12-13,18.48,0.94,23.59,23.75,,26.12,35.21,20.7,,
2000-12-14,17.91,0.9,23.1,22.69,,25.47,35.74,21.16,,
2000-12-15,15.88,0.88,23.57,22.88,,25.06,34.91,20.8,,
2000-12-18,15.43,0.89,25.23,19.88,,25.73,35.39,20.65,,
2000-12-19,14.46,0.87,26.13,18.25,,25.97,33.59,18.04,,
2000-12-20,13.4,0.9,24.69,16.69,,25.37,34.29,17.07,,
2000-12-21,14.02,0.88,24.69,15.19,,25.24,36.26,17.38,,
2000-12-22,14.99,0.94,25.19,15.56,,25.86,36.79,17.77,,
2000-12-26,15.13,0.92,26.65,16.94,,26.38,35.48,18.14,,
2000-12-27,14.99,0.92,26.42,16.88,,26.14,36.83,18.5,,
2000-12-28,14.38,0.92,26.81,17.38,,25.88,37.1,18.26,,
2000-12-29,14.0,0.93,26.32,15.56,,25.89,37.23,18.5,,
2001-01-02,14.0,0.93,26.92,13.88,,26.55,37.75,19.52,,
2001-01-03,15.47,1.02,26.26,17.56,,25.39,40.95,19.76,,
2001-01-04,15.63,1.06,25.58,15.5,,24.68,39.37,20.05,,
2001-01-05,15.86,1.02,25.27,14.56,,24.8,37.8,19.37,,
2001-01-08,15.8,1.03,25.35,14.94,,24.68,37.8,19.52,,
2001-01-09,16.72,1.07,25.41,16.38,,24.42,36.97,20.22,,
2001-01-10,17.07,1.03,25.76,16.5,,24.13,36.22,20.39,,
2001-01-11,17.75,1.12,26.48,17.0,,24.35,36.4,20.39,,
2001-01-12,17.27,1.07,26.69,17.69,,24.66,37.1,19.83,,
2001-01-16,16.97,1.07,26.53,18.06,,24.37,38.32,19.49,,
2001-01-17,17.09,1.05,25.19,18.38,,23.9,37.8,19.59,,
2001-01-18,17.91,1.16,23.97,19.5,,23.57,37.18,19.69,,
2001-01-19,19.69,1.22,24.26,19.94,,23.66,35.61,19.35,,
2001-01-22,19.41,1.2,24.24,18.5,,23.9,36.83,19.03,,
2001-01-23,19.55,1.28,24.32,18.95,,24.37,37.4,19.2,,
2001-01-24,20.31,1.28,24.86,21.88,,24.31,37.49,18.45,,
2001-01-25,19.95,1.24,25.99,19.0,,24.57,37.84,18.45,,
2001-01-26,20.66,1.22,25.46,19.5,,24.13,37.58,18.18,,
2001-01-29,20.82,1.35,24.9,20.12,,23.89,37.98,18.65,,
2001-01-30,20.46,1.36,24.86,18.94,,24.42,37.68,18.66,,
2001-01-31,19.71,1.35,25.29,17.31,,25.06,39.8,18.83,,
2001-02-01,20.13,1.32,24.86,16.25,,24.87,39.03,19.68,,
2001-02-02,19.63,1.29,25.35,14.38,,24.72,38.37,19.39,,
2001-02-05,19.99,1.26,25.69,14.44,,25.26,37.73,19.35,,
2001-02-06,20.19,1.32,26.11,15.81,,25.12,37.28,19.37,,
2001-02-07,20.88,1.29,26.06,15.0,,25.26,38.3,18.94,,
2001-02-08,20.09,1.29,25.81,14.38,,25.57,36.65,18.78,,
2001-02-09,19.08,1.19,25.75,13.38,,25.98,35.32,18.13,,
2001-02-12,18.96,1.23,22.72,14.5,,25.95,37.46,18.6,,
2001-02-13,18.78,1.19,21.08,13.75,,25.65,37.91,18.87,,
2001-02-14,18.84,1.22,21.55,14.44,,25.39,37.14,18.3,,
2001-02-15,18.98,1.25,21.15,14.5,,24.96,36.44,18.3,,
2001-02-16,18.5,1.18,21.24,13.69,,25.42,36.69,18.58,,
2001-02-20,18.04,1.14,21.52,12.5,,25.35,37.42,18.99,,
2001-02-21,18.16,1.18,20.96,11.94,,25.27,35.19,18.5,,
2001-02-22,17.81,1.17,20.68,11.94,,25.48,34.83,19.05,,
2001-02-23,18.32,1.17,19.87,11.81,,25.26,35.23,19.36,,
2001-02-26,19.23,1.22,21.41,11.94,,25.35,35.79,19.59,,
2001-02-27,19.16,1.21,21.33,11.75,,24.9,35.73,19.69,,
2001-02-28,19.04,1.14,21.11,10.19,,24.52,35.1,18.57,,
2001-03-01,19.16,1.17,20.97,10.44,,24.63,33.87,17.72,,
2001-03-02,18.3,1.2,21.66,10.0,,25.18,34.28,18.13,,
2001-03-05,18.54,1.27,21.93,12.62,,25.37,33.9,17.68,,
2001-03-06,19.18,1.34,22.22,11.88,,25.29,34.72,17.92,,
2001-03-07,19.59,1.32,22.92,12.25,,25.48,35.53,17.12,,
2001-03-08,19.12,1.3,22.84,11.69,,25.97,36.19,17.7,,
2001-03-09,18.3,1.26,22.76,12.25,,26.02,35.58,17.52,,
2001-03-12,16.76,1.16,22.52,10.62,,25.34,33.85,17.48,,
2001-03-13,17.49,1.22,21.91,11.0,,25.2,34.2,17.49,,
2001-03-14,17.43,1.27,21.56,10.62,,25.0,33.08,16.4,,
2001-03-15,17.33,1.23,21.08,10.88,,25.1,33.53,16.67,,
2001-03-16,17.61,1.22,20.27,11.0,,24.72,32.89,16.41,,
2001-03-19,17.53,1.28,21.02,10.5,,24.59,33.2,16.77,,
2001-03-20,17.01,1.23,21.55,10.25,,24.4,33.55,15.93,,
2001-03-21,16.16,1.25,20.86,10.0,,24.15,33.9,15.62,,
2001-03-22,17.43,1.35,20.19,10.19,,23.51,32.92,15.77,,
2001-03-23,18.26,1.43,20.8,10.19,,23.27,33.38,16.3,,
2001-03-26,18.1,1.36,21.13,10.94,,23.68,34.81,16.06,,
2001-03-27,18.8,1.43,20.8,11.64,,24.4,35.29,17.09,,
2001-03-28,17.93,1.38,20.05,10.8,,23.8,34.85,16.43,,
2001-03-29,17.87,1.4,19.14,10.0,,23.69,35.52,16.93,,
2001-03-30,17.65,1.38,19.08,10.23,,24.51,35.44,17.38,,
2001-04-02,18.01,1.35,18.3,9.1,,24.08,35.54,17.04,,
2001-04-03,17.23,1.26,17.57,8.63,,23.57,34.52,16.79,,
2001-04-04,16.76,1.22,17.89,8.4,,23.81,35.0,17.12,,
2001-04-05,18.32,1.3,18.87,9.12,,24.49,35.47,17.3,,
