CPT Code,CPT Description
1952,"Anesthesia for treatment of second and third-degree burn, between 4% and 9% total body surface area"
1953,Anesthesia for treatment of second and third-degree burn
1967,Anesthesia for labor during planned vaginal delivery
1991,Anesthesia for nerve block and injection procedure
1992,"Anesthesia for nerve block and injection procedure, prone position"
1996,Daily hospital management of continuous spinal drug administration
10021,Fine needle aspiration
10022,Fine needle aspiration using imaging guidance
10030,"Fluid collection drainage by catheter using imaging guidance, accessed through the skin"
10040,Acne surgery
10060,Drainage of abscess
10061,Drainage of multiple abscess
10080,Drainage of tailbone cyst
10081,Drainage of tailbone cyst
10120,"Removal of foreign body from tissue, accessed beneath the skin"
10121,"Removal of foreign body from tissue, accessed beneath the skin"
10140,Drainage of blood or fluid accumulation
10160,"Aspiration of abscess, blood accumulation, blister, or cyst"
10180,Drainage of wound infection after surgery
11000,"Removal of inflamed or infected skin, up to 10% of body surface"
11001,Removal of inflamed or infected skin
11004,"Removal of infected skin, tissue or muscle of genitals"
11005,"Removal of infected skin, tissue or muscle of abdomen"
11006,"Removal of infected skin, tissue or muscle of genitals, perineum, or abdomen"
11010,Removal of foreign material from skin and tissue at open fracture and/or dislocation
11011,"Removal of foreign material from skin, tissue, and muscle at open fracture and/or dislocation"
11012,"Removal of foreign material from skin, tissue, muscle, and bone at open fracture and/or dislocation"
11042,Removal of skin and tissue first 20 sq cm or less
11043,Removal of skin and/or muscle first 20 sq cm or less
11044,Removal of skin and bone first 20 sq cm or less
11045,Removal of skin and tissue
11046,Removal of skin and/or muscle
11047,Removal of skin and bone
11055,Removal of single thickened skin growth
11056,Removal of 2 to 4 thickened skin growths
11057,Removal of more than 4 thickened skin growths
11100,Biopsy of single growth of skin and/or tissue
11101,Biopsy of each additional growth of skin and/or tissue
11200,Removal of up to and including 15 skin tags
11201,Removal of skin tags
11300,"Shaving of 0.5 centimeters or less skin growth of the trunk, arms, or legs"
11301,"Shaving of 0.6 centimeters to 1.0 centimeters skin growth of the trunk, arms, or legs"
11302,"Shaving of 1.1 to 2.0 centimeters skin growth of the trunk, arms, or legs"
11303,"Shaving of over 2.0 centimeters skin growth of the trunk, arms, or legs"
11305,"Shaving of 0.5 centimeters or less skin growth of scalp, neck, hands, feet, or genitals"
11306,"Shaving of 0.6 centimeters to 1.0 centimeters skin growth of scalp, neck, hands, feet, or genitals"
11307,"Shaving of 1.1 to 2.0 centimeters skin growth of scalp, neck, hands, feet, or genitals"
11308,"Shaving of over 2.0 centimeters skin growth of scalp, neck, hands, feet, or genitals"
11310,"Shaving of 0.5 centimeters or less skin growth of face, ears, eyelids, nose, lips, or mouth"
11311,"Shaving of 0.6 centimeters to 1.0 centimeters skin growth of face, ears, eyelids, nose, lips, or mouth"
11312,"Shaving of 1.1 to 2.0 centimeters skin growth of face, ears, eyelids, nose, lips, or mouth"
11313,"Shaving of over 2.0 centimeters skin growth of face, ears, eyelids, nose, lips, or mouth"
11400,"Removal of growth (0.5 centimeters or less) of the trunk, arms or legs"
11401,"Removal of growth (0.6 to 1.0 centimeters) of the trunk, arms, or legs"
11402,"Removal of growth (1.1 to 2.0 centimeters) of the trunk, arms, or legs"
11403,"Removal of growth (2.1 to 3.0 centimeters) of the trunk, arms, or legs"
11404,"Removal of growth (3.1 to 4.0 centimeters) of the trunk, arms, or legs"
11406,"Removal of growth (4.0 centimeters) of the trunk, arms, or legs"
11420,"Removal of growth (0.5 centimeters or less) of the scalp, neck, hands, feet, or genitals"
11421,"Removal of growth (0.6 to 1.0 centimeters) of the scalp, neck, hands, feet, or genitals"
11422,"Removal of growth (1.1 to 2.0 centimeters) of the scalp, neck, hands, feet, or genitals"
11423,"Removal of growth (2.1 to 3.0 centimeters) of the scalp, neck, hands, feet, or genitals"
11424,"Removal of growth (3.1 to 4.0 centimeters) of the scalp, neck, hands, feet, or genitals"
11426,"Removal of growth (over 4.0 centimeters) of the scalp, neck, hands, feet, or genitals"
11440,"Removal of growth (0.5 centimeters or less) of the face, ears, eyelids, nose, lips, or mouth"
11441,"Removal of growth (0.6 to 1.0 centimeters) of the face, ears, eyelids, nose, lips, or mouth"
11442,"Removal of growth (1.1 to 2.0 centimeters) of the face, ears, eyelids, nose, lips, or mouth"
11443,"Removal of growth (2.1 to 3.0 centimeters) of face, ears, eyelids, nose, lips, or mouth"
11444,"Removal (3.1 to 4.0 centimeters) growth of face, ears, eyelids, nose, lips, or mouth"
11446,"Removal (over 4.0 centimeters) growth of the face, ears, eyelids, nose, lips, or mouth"
11600,"Removal of malignant growth (0.5 centimeters or less) of the trunk, arms, or legs"
11601,"Removal of malignant growth (0.6 to 1.0 centimeters) of the trunk, arms, or legs"
11602,"Removal of malignant growth (1.1 to 2.0 centimeters) of the trunk, arms, or legs"
11603,"Removal of malignant growth (2.1 to 3.0 centimeters) of the trunk, arms, or legs"
11604,"Removal of malignant growth (3.1 to 4 centimeters) of the trunk, arms, or legs"
11606,"Removal of malignant growth (over 4.0 centimeters) of the trunk, arms, or legs"
11620,"Removal of malignant growth (0.5 centimeters or less) of the scalp, neck, hands, feet, or genitals"
11621,"Removal of malignant growth (0.6 to 1.0 centimeters) of the scalp, neck, hands, feet, or genitals"
11622,"Removal of malignant growth (1.1 to 2.0 centimeters) of the scalp, neck, hands, feet, or genitals"
11623,"Removal of malignant growth (2.1 to 3.0 centimeters) of the scalp, neck, hands, feet, or genitals"
11624,"Removal of malignant growth (3.1 to 4 centimeters) of the scalp, neck, hands, feet, or genitals"
11626,"Removal of malignant growth (over 4.0 centimeters) of the scalp, neck, hands, feet, or genitals"
11640,"Removal of malignant growth (0.5 centimeters or less) of the face, ears, eyelids, nose, or lips"
11641,"Removal of malignant growth (0.6 to 1.0 centimeters) of the face, ears, eyelids, nose, or lips"
11642,"Removal of malignant growth (1.1 to 2.0 centimeters) of the face, ears, eyelids, nose, or lips"
11643,"Removal of malignant growth (2.1 to 3.0 centimeters) of the face, ears, eyelids, nose, or lips"
11644,"Removal of malignant growth (3.1 to 4.0 centimeters) of the face, ears, eyelids, nose, or lips"
11646,"Removal of malignant growth (over 4.0 centimeters) of the face, ears, eyelids, nose, or lips"
11719,Trimming of fingernails or toenails
11720,Removal of tissue from 1 to 5 finger or toe nails
11721,Removal of tissue from 6 or more finger or toe nails
11730,Separation of nail plate from nail bed
11732,Separation of nail plate from nail bed
11740,Removal of blood accumulation between nail and nail bed
11750,Removal of nail
11752,Removal of nail with amputation of fingertip
11755,Biopsy of finger or toe nail
11760,Repair of finger or toe nail bed
11762,Repair of finger or toe nail bed with graft
11765,Removal of skin of finger or toe nail
11900,Injection of up to 7 skin growths
11901,Injection of more than 7 skin growths
11921,Introduction of pigment into skin (6.1 to 20.0 sq cm) to correct color defect
11922,Introduction of pigment into skin to correct color defect
11960,Insertion of tissue expanders
11970,Replacement of tissue expander with permanent prosthesis
11980,Insertion of hormone pellets beneath the skin
11981,Insertion of drug delivery implant into tissue
11982,Removal of drug delivery implant from tissue
11983,Removal with reinsertion of drug delivery implant into tissue
12001,"Repair of wound (2.5 centimeters or less) of the scalp, neck, underarms, trunk, arms and/or legs"
12002,"Repair of wound (2.6 to 7.5 centimeters) of the scalp, neck, underarms, genitals, trunk, arms and/or legs"
12004,"Repair of wound (7.6 to 12.5 centimeters) of the scalp, neck, underarms, genitals, trunk, arms and/or legs"
12005,"Repair of wound (12.6 to 20.0 centimeters) of the scalp, neck, underarms, genitals, trunk, arms and/or legs"
12006,"Repair of wound (20.1 to 30.0 centimeters) of the scalp, neck, underarms, genitals, trunk, arms and/or legs"
12007,"Repair of wound (over 30.0 centimeters) of the scalp, neck, underarms, genitals, trunk, arms and/or legs"
12011,"Repair of wound (2.5 centimeters or less) of the face, ears, eyelids, nose, lips, and/or mucous membranes"
12013,"Repair of wound (2.6 to 5.0 centimeters) of the face, ears, eyelids, nose, lips, and/or mucous membranes"
12020,Repair of separation of wound closure
12021,Repair of separation of wound closure with insertion of packing
12031,"Repair of wound (2.5 centimeters or less) of the scalp, underarms, trunk, arms, and/or legs"
12032,"Repair of wound (2.6 to 7.5 centimeters) of the scalp, underarms, trunk, arms, and/or legs"
12034,"Repair of wound (7.6 to 12.5 centimeters) of the scalp, underarms, trunk, arms, and/or legs"
12035,"Repair of wound (12.6 to 20.0 centimeters) of the scalp, underarms, trunk, arms, and/or legs"
12036,"Repair of wound (20.1 to 30.0 centimeters) of the scalp, underarms, trunk, arms, and/or legs"
12037,"Repair of wound (over 30.0 centimeters) of the scalp, underarms, trunk, arms, and/or legs"
12041,"Repair of wound (2.5 centimeters or less) of neck, hands, feet, and/or genitals"
12042,"Repair of wound (2.6 to 7.5 centimeters) of neck, hands, feet, and/or genitals"
12044,"Repair of wound (7.6 to 12.5 centimeters) of neck, hands, feet, and/or genitals"
12045,"Repair of wound (12.6 to 20.0 centimeters) of neck, hands, feet, and/or genitals"
12051,"Repair of wound (2.5 centimeters or less) of face, ears, eyelids, nose, lips, and/or mouth"
12052,"Repair of wound (2.6 to 5.0 centimeters) of face, ears, eyelids, nose, lips, and/or mouth"
12053,"Repair of wound (5.1 to 7.5 centimeters) of face, ears, eyelids, nose, lips, and/or mouth"
12054,"Repair of wound (7.6 to 12.5 centimeters) of face, ears, eyelids, nose, lips, and/or mouth"
13100,Repair of wound (1.1 to 2.5 centimeters) of trunk
13101,Repair of wound (2.6 to 7.5 centimeters) of trunk
13102,Repair of wound of trunk
13120,"Repair of wound (1.1 to 2.5 centimeters) of scalp, arms, and/or legs"
13121,"Repair of wound (2.6 to 7.5 centimeters) of scalp, arms, and/or legs"
13122,"Repair of wound of scalp, arms, and/or legs"
13131,"Repair of wound (1.1 to 2.5 centimeters) of forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet"
13132,"Repair of wound (2.6 to 7.5 centimeters) of forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet"
13133,"Repair of wound of forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet"
13151,"Repair of wound (1.1 to 2.5 centimeters) of eyelids, nose, ears, and/or lips"
13152,"Repair of wound (2.6 to 7.5 centimeters) of eyelids, nose, ears, and/or lips"
13153,"Repair of wound of eyelids, nose, ears, and/or lips"
13160,Second repair of surgical wound
14000,Tissue transfer repair of wound (10 sq centimeters or less) of the trunk
14001,Tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of the trunk
14020,"Tissue transfer repair of wound (10 sq centimeters or less) of the scalp, arms, and/or legs"
14021,"Tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of the scalp, arms, and/or legs"
14040,"Tissue transfer repair of wound (10 sq centimeters or less) of the forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet"
14041,"Tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of the forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet"
14060,"Tissue transfer repair of wound (10 sq centimeters or less) of eyelids, nose, ears, and/or lips"
14061,"Tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of eyelids, nose, ears, and/or lips"
14301,Tissue transfer repair of wound (30.1 to 60.0 sq centimeters)
14302,Tissue transfer repair of wound (30.0 sq centimeters)
14350,Repair of tissue loss of finger or toe
15002,"Preparation of graft site at trunk, arms, or legs (first 100 sq cm or 1% body area infants and children)"
15003,"Preparation of graft site at trunk, arms, or legs"
15004,"Preparation of graft site of face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes (first 100 sq cm or 1% body area of infants and children)"
15005,"Preparation of graft site of face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes"
15040,Relocation of skin (100 sq cm or less) for tissue cultured graft
15050,Skin graft (2 centimeters) to tip of finger or toe
15100,"Skin graft at trunk, arms, or legs (first 100 sq cm or less, or 1% body are of infants and children)"
15101,"Skin graft at trunk, arms, or legs"
15110,"Skin graft at trunk, arms, or legs (first 100 sq cm or less, or 1% body area of infants and children)"
15115,"Skin graft of face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes (first 100 sq cm or less, or 1% body area of infants and children)"
15120,"Skin graft of face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes (first 100 sq cm or less, or 1% body area of infants and children)"
15121,"Skin graft of face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes"
15135,"Skin graft of face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes (first 100 sq cm or less, or 1% body area of infants and children)"
15150,"Skin graft at trunk, arms, or legs (first 25 sq centimeters or less)"
15200,Relocation of patient skin (20 sq centimeters or less) to trunk
15220,"Relocation of patient skin (20 sq centimeters or less) to scalp, arms, and/or legs"
15221,"Relocation of patient skin to scalp, arms, and/or legs"
15240,"Relocation of patient skin to forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet (20 sq centimeters or less)"
15241,"Relocation of patient skin to forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet"
15260,"Relocation of patient skin to nose, ears, eyelids, and/or lips (20 sq centimeters or less)"
15261,"Relocation of patient skin to nose, ears, eyelids, and/or lips"
15271,"Application of skin substitute (wound surface up to 100 sq cm) to trunk, arms, or legs (first 25 sq cm or less)"
15272,"Application of skin substitute (wound surface up to 100 sq cm) to trunk, arms, or legs"
15273,"Application of skin substitute (wound surface greater or equal to 100 sq cm) to trunk, arms, or legs (first 100 sq cm or 1% body area of infants and children)"
15274,"Application of skin substitute (wound surface greater or equal to 100 sq cm) to trunk, arms, or legs"
15275,"Application of skin substitute (wound surface up to 100 sq cm) to face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes (first 25 sq cm or less)"
15276,"Application of skin substitute (wound surface up to 100 sq cm) to face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes"
15277,"Application of skin substitute (wound surface great than or equal to 100 sq cm) to face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes (first 100 sq cm or 1% body area of infants and children)"
15278,"Application of skin substitute (wound surface great than or equal to 100 sq cm) to face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes"
15570,Creation of flap graft to trunk
15572,"Creation of flap graft to scalp, arms, or legs"
15574,"Creation of flap graft to forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, or feet"
15576,"Creation of flap graft to eyelids, nose, ears, lips, or mouth"
15600,Transfer of skin flap to trunk
15620,"Transfer of skin flap to forehead, cheeks, chin, neck, underarms, genitals, hands, or feet"
15630,"Transfer of skin flap to eyelids, nose, ears, or lips"
15731,"Creation of flap graft to nose, forehead, temple, or scalp"
15732,Muscle flap wound repair at head and neck
15734,Muscle flap wound repair at trunk
15736,Muscle flap wound repair of arm
15738,Muscle flap wound repair of leg
15740,Creation of skin and tissue graft
15750,Creation of nerve and blood vessel skin graft
15756,Creation of muscle and blood vessel skin graft
15757,Creation of muscle and blood vessel skin graft
15758,Creation of muscle and blood vessel skin graft
15760,Creation of multiple tissue skin graft
15770,"Creation of skin, fat and muscle graft"
15777,Implantation of biologic implant to soft tissue
15780,Scraping of skin of face
15781,Scraping of skin of face
15786,Scraping of skin growth
15787,Scraping of multiple skin growths
15788,Chemical peel of skin of face
15789,Chemical peel of skin of face
15792,Chemical peel of skin of face
15793,Chemical peel of skin
15820,Removal of excessive skin of lower eyelid
15821,Removal of excessive skin of lower eyelid and fat around eye
15822,Removal of excessive skin of upper eyelid
15823,Removal of excessive skin and fat of upper eyelid
15830,Removal of excessive skin and tissue beneath the skin of abdomen
15839,Removal of excessive skin and tissue beneath the skin
15845,Graft to relieve or reactivate facial paralysis
15847,Removal of additional excessive skin and tissue beneath the skin of abdomen
15851,Removal of sutures under anesthesia by other surgeon
15852,Dressing change under anesthesia
15860,Injection of agent into vein to assess blood flow of skin graft or flap
15931,Removal of pressure sore of sacrum
15933,Removal of pressure sore and bone at sacrum
15934,Removal of pressure sore at sacrum with skin graft
15935,Removal of pressure sore and bone at sacrum with skin graft
15936,Removal of pressure sore at sacrum in preparation of muscle flap or skin graft
15937,Removal of pressure sore and bone at sacrum in preparation of muscle flap or skin graft
15944,Removal of pressure sore with skin graft at lower pelvic bone
15946,Removal of pressure sore and lower pelvic bone in preparation of muscle flap or skin graft closure
15956,Removal of pressure sore at hip bone in preparation of muscle flap or skin graft
15958,Removal of pressure sore and bone at hip bone in preparation of muscle flap or skin graft
16000,First degree burn treatment
16020,Dressing change and/or removal of burn tissue (less than 5% total body surface)
16025,Dressing change and/or removal of burn tissue (5% to 10% total body surface)
16030,Dressing change and/or removal of burn tissue (greater than 10% total body surface)
16035,Incision of burn tissue
16036,Incision of burn tissue
17000,Destruction of skin growth
17003,Destruction of 2-14 skin growths
17004,Destruction of 15 or more skin growths
17106,Destruction of skin growth (less than 10 sq centimeters)
17107,Destruction of skin growth (10.0 to 50.0 sq centimeters)
17108,Destruction of skin growth (over 50.0 sq centimeters)
17110,Destruction of up to 14 skin growths
17111,Destruction of 15 or more skin growths
17250,Application of chemical agent to excessive wound tissue
17260,"Destruction of malignant growth (0.5 centimeters or less) of trunk, arms, or legs"
17261,"Destruction of malignant growth (0.6 to 1.0 centimeters) of trunk, arms, or legs"
17262,"Destruction of malignant growth (1.1 to 2.0 centimeters) of trunk, arms, or legs"
17263,"Destruction of malignant growth (2.1 to 3.0 centimeters) of trunk, arms, or legs"
17264,"Destruction of malignant growth (3.1 to 4.0 centimeters) of trunk, arms, or legs"
17266,"Destruction of malignant growth (over 4.0 centimeters) of trunk, arms, or legs"
17270,"Destruction of malignant growth (0.5 centimeters) of scalp, neck, hands, feet, or genitals"
17271,"Destruction of malignant growth (0.6 to 1.0 centimeters) of scalp, neck, hands, feet, or genitals"
17272,"Destruction of malignant growth (1.1 to 2.0 centimeters) of scalp, neck, hands, feet, or genitals"
17273,"Destruction of malignant growth (2.1 to 3.0 centimeters) of scalp, neck, hands, feet, or genitals"
17274,"Destruction of malignant growth (3.1 to 4.0 centimeters) of scalp, neck, hands, feet, or genitals"
17276,"Destruction of malignant growth (over 4.0 centimeters) of scalp, neck, hands, feet, or genitals"
17280,"Destruction of malignant growth (0.5 centimeters or less) of face, ears, eyelids, nose, lips, or mouth"
17281,"Destruction of malignant growth (0.6 to 1.0 centimeters) of face, ears, eyelids, nose, lips, or mouth"
17282,"Destruction of malignant growth (1.1 to 2.0 centimeters) of face, ears, eyelids, nose, lips, or mouth"
17283,"Destruction of malignant growth (2.1 to 3.0 centimeters) of face, ears, eyelids, nose, lips, or mouth"
17284,"Destruction of malignant growth (3.1 to 4.0 centimeters) of face, ears, eyelids, nose, lips, or mouth"
17286,"Destruction of malignant growth (over 4.0 centimeters) of face, ears, eyelids, nose, lips, or mouth"
17311,"Removal and microscopic examination of growth of the head, neck, hands, feet, or genitals (first stage, up to 5 tissue blocks)"
17312,"Removal and microscopic examination of growth of the head, neck, hands, feet, or genitals"
17313,"Removal and microscopic examination of growth of the trunk, arms, or legs (first stage, up to 5 tissue blocks)"
17314,"Removal and microscopic examination of growth of the trunk, arms, or legs"
17315,"Removal and microscopic examination of growth of the trunk, arms, or legs"
17340,Chemical treatment of acne
17360,Chemical treatment of acne
17999,"Skin, mucus membrane and beneath the skin procedure"
19000,Aspiration of breast cyst
19001,Puncture aspiration of breast cyst
19020,Drainage of breast abscess
19081,Biopsy of breast accessed throught the skin with stereotactic guidance
19082,Biopsy of breast accessed throught the skin with stereotactic guidance
19083,Biopsy of breast accessed throught the skin with ultrasound guidance
19084,Biopsy of breast accessed throught the skin with ultrasound guidance
19085,Biopsy of breast accessed throught the skin with MRI guidance
19086,Biopsy of breast accessed throught the skin with MRI guidance
19100,Needle biopsy of breast
19101,"Biopsy of breast, open procedure"
19110,Exploration of breast nipple
19120,"Removal of 1 or more breast growth, open procedure"
19125,"Removal of breast growth, open procedure"
