date,rain,snow,temperature
2007-04-16,No,No,60.1
2007-04-17,No,No,72.0
2007-04-18,No,No,66.9
2007-04-19,Yes,No,57.9
2007-04-20,No,No,71.1
2007-04-21,No,No,77.0
2007-04-22,No,No,84.0
2007-04-23,No,No,82.9
2007-04-24,No,No,82.9
2007-04-25,No,No,87.1
2007-04-26,No,No,84.9
2007-04-27,Yes,No,82.9
2007-04-28,No,No,75.9
2007-04-29,No,No,80.1
2007-04-30,No,No,87.1
2007-05-01,No,No,91.9
2007-05-02,No,No,90.0
2007-05-03,No,No,71.1
2007-05-04,Yes,No,57.0
2007-05-05,Yes,No,66.0
2007-05-06,No,No,66.9
2007-05-07,No,No,70.0
2007-05-08,Yes,No,69.1
2007-05-09,Yes,No,81.0
2007-05-10,No,No,82.9
2007-05-11,No,No,87.1
2007-05-12,Yes,No,82.0
2007-05-13,No,No,73.0
2007-05-14,No,No,75.0
2007-05-15,No,No,82.0
2007-05-16,Yes,No,84.0
2007-05-17,Yes,No,69.1
2007-05-18,Yes,No,70.0
2007-05-19,No,No,73.0
2007-05-20,No,No,82.9
2007-05-21,No,No,88.0
2007-05-22,No,No,81.0
2007-05-23,No,No,82.0
2007-05-24,No,No,82.0
2007-05-25,No,No,86.0
2007-05-26,No,No,91.0
2007-05-27,No,No,91.0
2007-05-28,No,No,91.0
2007-05-29,No,No,91.9
2007-05-30,No,No,90.0
2007-05-31,No,No,91.0
2007-06-01,No,No,89.1
2007-06-02,Yes,No,82.9
2007-06-03,Yes,No,77.0
2007-06-04,No,No,90.0
2007-06-05,Yes,No,90.0
2007-06-06,Yes,No,84.0
2007-06-07,No,No,93.9
2007-06-08,No,No,96.1
2007-06-09,Yes,No,91.9
2007-06-10,No,No,87.1
2007-06-11,Yes,No,82.9
2007-06-12,No,No,84.9
2007-06-13,Yes,No,79.0
2007-06-14,Yes,No,70.0
2007-06-15,Yes,No,75.0
2007-06-16,Yes,No,82.9
2007-06-17,Yes,No,89.1
2007-06-18,No,No,96.1
2007-06-19,Yes,No,97.0
2007-06-20,Yes,No,82.9
2007-06-21,No,No,87.1
2007-06-22,Yes,No,91.0
2007-06-23,Yes,No,84.9
2007-06-24,Yes,No,89.1
2007-06-25,Yes,No,91.0
2007-06-26,Yes,No,95.0
2007-06-27,No,No,93.0
2007-06-28,Yes,No,93.9
2007-06-29,Yes,No,93.0
2007-06-30,Yes,No,89.1
2007-07-01,No,No,86.0
2007-07-02,No,No,84.0
2007-07-03,No,No,86.0
2007-07-04,No,No,89.1
2007-07-05,No,No,91.9
2007-07-06,Yes,No,93.9
2007-07-07,No,No,93.9
2007-07-08,No,No,95.0
2007-07-09,No,No,98.1
2007-07-10,Yes,No,95.0
2007-07-11,Yes,No,95.0
2007-07-12,No,No,89.1
2007-07-13,Yes,No,81.0
2007-07-14,No,No,87.1
2007-07-15,Yes,No,90.0
2007-07-16,No,No,91.9
2007-07-17,Yes,No,96.1
2007-07-18,Yes,No,91.0
2007-07-19,No,No,93.9
2007-07-20,Yes,No,88.0
2007-07-21,No,No,84.0
2007-07-22,No,No,84.9
2007-07-23,No,No,84.9
2007-07-24,No,No,88.0
2007-07-25,No,No,88.0
2007-07-26,No,No,91.9
2007-07-27,Yes,No,93.9
2007-07-28,Yes,No,90.0
2007-07-29,No,No,89.1
2007-07-30,Yes,No,88.0
2007-07-31,No,No,89.1
2007-08-01,No,No,91.9
2007-08-02,No,No,91.9
2007-08-03,No,No,93.0
2007-08-04,No,No,96.1
2007-08-05,Yes,No,98.1
2007-08-06,Yes,No,97.0
2007-08-07,No,No,99.0
2007-08-08,Yes,No,102.0
2007-08-09,No,No,104.0
2007-08-10,Yes,No,104.0
2007-08-11,No,No,84.9
2007-08-12,No,No,91.9
2007-08-13,No,No,98.1
2007-08-14,No,No,93.9
2007-08-15,No,No,99.0
2007-08-16,No,No,100.9
2007-08-17,Yes,No,97.0
2007-08-18,No,No,90.0
2007-08-19,No,No,97.0
2007-08-20,No,No,102.9
2007-08-21,Yes,No,105.1
2007-08-22,No,No,95.0
2007-08-23,Yes,No,90.0
2007-08-24,No,No,99.0
2007-08-25,No,No,99.0
2007-08-26,Yes,No,98.1
2007-08-27,No,No,90.0
2007-08-28,No,No,93.9
2007-08-29,No,No,93.0
2007-08-30,No,No,90.0
2007-08-31,No,No,91.0
2007-09-01,No,No,87.1
2007-09-02,No,No,88.0
2007-09-03,No,No,91.0
2007-09-04,No,No,96.1
2007-09-05,No,No,96.1
2007-09-06,No,No,95.0
2007-09-07,No,No,93.0
2007-09-08,No,No,93.0
2007-09-09,No,No,95.0
2007-09-10,No,No,100.9
2007-09-11,No,No,99.0
2007-09-12,No,No,91.0
2007-09-13,No,No,91.0
2007-09-14,Yes,No,82.9
2007-09-15,Yes,No,82.0
2007-09-16,No,No,75.0
2007-09-17,No,No,75.9
2007-09-18,No,No,78.1
2007-09-19,No,No,75.9
2007-09-20,Yes,No,73.9
2007-09-21,Yes,No,81.0
2007-09-22,No,No,91.0
2007-09-23,No,No,91.9
2007-09-24,No,No,86.0
2007-09-25,No,No,89.1
2007-09-26,No,No,89.1
2007-09-27,No,No,91.0
2007-09-28,No,No,84.9
2007-09-29,No,No,79.0
2007-09-30,No,No,80.1
2007-10-01,No,No,82.0
2007-10-02,No,No,82.0
2007-10-03,No,No,84.9
2007-10-04,No,No,87.1
2007-10-05,Yes,No,78.1
2007-10-06,No,No,82.9
2007-10-07,No,No,90.0
2007-10-08,No,No,93.0
2007-10-09,No,No,93.9
2007-10-10,Yes,No,88.0
2007-10-11,No,No,69.1
2007-10-12,No,No,73.9
2007-10-13,No,No,75.0
2007-10-14,No,No,78.1
2007-10-15,No,No,80.1
2007-10-16,No,No,79.0
2007-10-17,No,No,84.0
2007-10-18,Yes,No,84.9
2007-10-19,Yes,No,84.0
2007-10-20,No,No,80.1
2007-10-21,No,No,81.0
2007-10-22,No,No,82.9
2007-10-23,No,No,82.9
2007-10-24,Yes,No,78.1
2007-10-25,Yes,No,70.0
2007-10-26,Yes,No,71.1
2007-10-27,Yes,No,75.0
2007-10-28,No,No,64.9
2007-10-29,No,No,61.0
2007-10-30,No,No,66.9
2007-10-31,No,No,73.9
2007-11-01,No,No,78.1
2007-11-02,No,No,62.1
2007-11-03,No,No,66.0
2007-11-04,No,No,66.0
2007-11-05,No,No,68.0
2007-11-06,Yes,No,63.0
2007-11-07,No,No,55.0
2007-11-08,No,No,54.0
2007-11-09,Yes,No,61.0
2007-11-10,Yes,No,57.9
2007-11-11,No,No,57.9
2007-11-12,Yes,No,66.0
2007-11-13,Yes,No,73.9
2007-11-14,Yes,No,78.1
2007-11-15,Yes,No,66.0
2007-11-16,No,No,51.1
2007-11-17,No,No,60.1
2007-11-18,No,No,70.0
2007-11-19,Yes,No,61.0
2007-11-20,No,No,66.0
2007-11-21,No,No,78.1
2007-11-22,No,No,77.0
2007-11-23,No,No,51.1
2007-11-24,No,No,50.0
2007-11-25,Yes,No,48.9
2007-11-26,Yes,No,64.0
2007-11-27,No,No,64.0
2007-11-28,No,No,57.0
2007-11-29,No,No,63.0
2007-11-30,No,No,57.0
2007-12-01,No,No,57.9
2007-12-02,No,No,54.0
2007-12-03,Yes,No,62.1
2007-12-04,No,No,45.0
2007-12-05,Yes,No,53.1
2007-12-06,No,No,45.0
2007-12-07,Yes,No,52.0
2007-12-08,No,No,71.1
2007-12-09,No,No,72.0
2007-12-10,No,No,81.0
2007-12-11,No,No,73.9
2007-12-12,No,No,79.0
2007-12-13,Yes,No,75.9
2007-12-14,No,No,66.9
2007-12-15,Yes,No,46.9
2007-12-16,Yes,No,53.1
2007-12-17,No,No,44.1
2007-12-18,No,No,46.0
2007-12-19,Yes,No,53.1
2007-12-20,No,No,57.9
2007-12-21,Yes,No,48.0
2007-12-22,No,No,50.0
2007-12-23,Yes,No,66.9
2007-12-24,No,No,57.9
2007-12-25,No,No,54.0
2007-12-26,Yes,No,43.0
2007-12-27,No,No,57.9
2007-12-28,Yes,No,64.0
2007-12-29,Yes,No,71.1
2007-12-30,Yes,No,57.9
2007-12-31,Yes,No,57.0
2008-01-01,No,No,55.0
2008-01-02,No,Yes,35.1
2008-01-03,No,No,35.1
2008-01-04,No,No,45.0
2008-01-05,No,No,55.0
2008-01-06,No,No,69.1
2008-01-07,No,No,72.0
2008-01-08,No,No,73.0
2008-01-09,No,No,73.0
2008-01-10,Yes,No,55.9
2008-01-11,Yes,No,68.0
2008-01-12,No,No,57.9
2008-01-13,Yes,No,46.9
2008-01-14,No,No,52.0
2008-01-15,No,No,44.1
2008-01-16,No,No,46.0
2008-01-17,Yes,Yes,39.0
2008-01-18,No,No,51.1
2008-01-19,Yes,Yes,42.1
2008-01-20,No,Yes,33.1
2008-01-21,No,No,37.0
2008-01-22,Yes,No,42.1
2008-01-23,Yes,No,54.0
2008-01-24,No,No,46.9
2008-01-25,No,No,39.0
2008-01-26,No,No,48.0
2008-01-27,No,No,52.0
2008-01-28,No,No,55.0
2008-01-29,No,No,64.0
2008-01-30,Yes,No,57.0
2008-01-31,No,No,51.1
2008-02-01,Yes,No,60.1
2008-02-02,No,No,61.0
2008-02-03,No,No,66.0
2008-02-04,Yes,No,71.1
2008-02-05,No,No,75.9
2008-02-06,Yes,No,77.0
2008-02-07,No,No,66.0
2008-02-08,No,No,59.0
2008-02-09,No,No,66.9
2008-02-10,No,No,64.9
2008-02-11,No,No,46.9
2008-02-12,Yes,No,62.1
2008-02-13,Yes,Yes,55.9
2008-02-14,Yes,Yes,50.0
2008-02-15,No,No,61.0
2008-02-16,No,No,57.9
2008-02-17,Yes,No,64.9
2008-02-18,Yes,No,73.0
2008-02-19,No,No,55.0
2008-02-20,No,No,64.9
2008-02-21,Yes,No,43.0
2008-02-22,Yes,No,42.1
2008-02-23,Yes,No,62.1
2008-02-24,Yes,No,46.0
2008-02-25,Yes,No,61.0
2008-02-26,Yes,No,61.0
2008-02-27,No,No,48.9
2008-02-28,No,No,43.0
2008-02-29,No,No,55.9
2008-03-01,No,No,64.9
2008-03-02,No,No,63.0
2008-03-03,No,No,73.9
2008-03-04,Yes,No,73.9
2008-03-05,Yes,No,64.0
2008-03-06,No,No,66.9
2008-03-07,Yes,No,59.0
2008-03-08,Yes,No,66.0
2008-03-09,No,No,52.0
2008-03-10,No,No,63.0
2008-03-11,No,No,64.0
2008-03-12,No,No,68.0
2008-03-13,No,No,75.9
2008-03-14,No,No,73.9
2008-03-15,Yes,No,68.0
2008-03-16,Yes,No,63.0
2008-03-17,No,No,57.9
2008-03-18,No,No,59.0
2008-03-19,Yes,No,75.0
2008-03-20,Yes,No,66.0
2008-03-21,No,No,66.9
2008-03-22,No,No,75.0
2008-03-23,No,No,57.9
2008-03-24,Yes,No,51.1
2008-03-25,No,No,57.9
2008-03-26,No,No,73.0
2008-03-27,No,No,77.0
2008-03-28,No,No,81.0
2008-03-29,Yes,No,68.0
2008-03-30,Yes,No,45.0
2008-03-31,Yes,No,60.1
2008-04-01,Yes,No,77.0
2008-04-02,No,No,66.0
2008-04-03,Yes,No,52.0
2008-04-04,No,No,73.0
2008-04-05,Yes,No,64.9
2008-04-06,Yes,No,61.0
2008-04-07,Yes,No,55.9
2008-04-08,No,No,64.0
2008-04-09,No,No,71.1
2008-04-10,No,No,78.1
2008-04-11,No,No,82.9
2008-04-12,Yes,No,75.9
2008-04-13,No,No,66.9
2008-04-14,Yes,No,55.0
2008-04-15,No,No,61.0
2008-04-16,No,No,68.0
2008-04-17,No,No,80.1
2008-04-18,No,No,86.0
2008-04-19,Yes,No,82.0
2008-04-20,Yes,No,73.9
2008-04-21,Yes,No,69.1
2008-04-22,Yes,No,71.1
2008-04-23,Yes,No,75.9
2008-04-24,No,No,80.1
2008-04-25,No,No,82.0
2008-04-26,Yes,No,87.1
2008-04-27,Yes,No,79.0
2008-04-28,Yes,No,71.1
2008-04-29,Yes,No,61.0
2008-04-30,No,No,66.9
2008-05-01,No,No,78.1
2008-05-02,No,No,81.0
2008-05-03,Yes,No,80.1
2008-05-04,Yes,No,82.0
2008-05-05,Yes,No,73.0
2008-05-06,No,No,79.0
2008-05-07,No,No,82.9
2008-05-08,Yes,No,77.0
2008-05-09,Yes,No,82.0
2008-05-10,No,No,80.1
2008-05-11,Yes,No,66.9
2008-05-12,Yes,No,64.0
2008-05-13,No,No,71.1
2008-05-14,No,No,73.9
2008-05-15,Yes,No,78.1
2008-05-16,Yes,No,82.0
2008-05-17,No,No,75.0
2008-05-18,Yes,No,79.0
2008-05-19,No,No,75.0
2008-05-20,Yes,No,82.9
2008-05-21,No,No,75.0
2008-05-22,No,No,78.1
2008-05-23,No,No,79.0
2008-05-24,Yes,No,75.0
2008-05-25,No,No,80.1
2008-05-26,No,No,84.0
2008-05-27,Yes,No,87.1
2008-05-28,Yes,No,73.0
2008-05-29,No,No,78.1
2008-05-30,No,No,86.0
2008-05-31,No,No,89.1
2008-06-01,Yes,No,91.0
2008-06-02,No,No,84.0
2008-06-03,Yes,No,88.0
2008-06-04,No,No,93.9
2008-06-05,No,No,96.1
2008-06-06,No,No,99.0
2008-06-07,No,No,100.0
2008-06-08,No,No,100.9
2008-06-09,No,No,100.0
2008-06-10,No,No,100.9
2008-06-11,No,No,93.0
2008-06-12,No,No,89.1
2008-06-13,No,No,93.0
2008-06-14,Yes,No,96.1
2008-06-15,Yes,No,91.0
2008-06-16,Yes,No,95.0
2008-06-17,Yes,No,90.0
2008-06-18,No,No,84.9
2008-06-19,No,No,88.0
2008-06-20,No,No,91.0
2008-06-21,Yes,No,88.0
2008-06-22,Yes,No,87.1
2008-06-23,Yes,No,89.1
2008-06-24,No,No,91.0
2008-06-25,No,No,95.0
2008-06-26,No,No,97.0
2008-06-27,Yes,No,96.1
2008-06-28,Yes,No,98.1
2008-06-29,Yes,No,95.0
2008-06-30,Yes,No,89.1
2008-07-01,No,No,81.0
2008-07-02,No,No,88.0
2008-07-03,No,No,91.9
2008-07-04,Yes,No,95.0
2008-07-05,Yes,No,87.1
2008-07-06,Yes,No,87.1
2008-07-07,Yes,No,87.1
2008-07-08,Yes,No,88.0
2008-07-09,Yes,No,90.0
2008-07-10,Yes,No,89.1
2008-07-11,Yes,No,87.1
2008-07-12,No,No,89.1
2008-07-13,No,No,91.0
2008-07-14,Yes,No,79.0
2008-07-15,No,No,87.1
2008-07-16,No,No,88.0
2008-07-17,No,No,89.1
2008-07-18,Yes,No,91.0
2008-07-19,Yes,No,90.0
2008-07-20,No,No,93.0
2008-07-21,No,No,97.0
2008-07-22,No,No,97.0
2008-07-23,No,No,90.0
2008-07-24,No,No,87.1
2008-07-25,No,No,86.0
2008-07-26,No,No,87.1
2008-07-27,Yes,No,91.0
2008-07-28,No,No,93.0
2008-07-29,No,No,91.9
2008-07-30,Yes,No,93.0
2008-07-31,Yes,No,95.0
2008-08-01,No,No,93.9
2008-08-02,Yes,No,95.0
2008-08-03,No,No,91.9
2008-08-04,No,No,93.9
2008-08-05,No,No,96.1
2008-08-06,No,No,96.1
2008-08-07,No,No,93.0
2008-08-08,No,No,91.0
2008-08-09,No,No,89.1
2008-08-10,Yes,No,88.0
2008-08-11,No,No,86.0
2008-08-12,No,No,89.1
2008-08-13,Yes,No,73.9
2008-08-14,No,No,84.9
2008-08-15,Yes,No,91.0
2008-08-16,No,No,86.0
2008-08-17,Yes,No,84.9
2008-08-18,No,No,89.1
2008-08-19,No,No,95.0
2008-08-20,Yes,No,91.9
2008-08-21,No,No,88.0
2008-08-22,No,No,88.0
2008-08-23,No,No,88.0
2008-08-24,No,No,91.0
2008-08-25,Yes,No,88.0
2008-08-26,Yes,No,81.0
2008-08-27,Yes,No,84.0
2008-08-28,Yes,No,89.1
2008-08-29,No,No,89.1
2008-08-30,No,No,91.0
2008-08-31,Yes,No,90.0
2008-09-01,No,No,86.0
2008-09-02,No,No,87.1
2008-09-03,No,No,90.0
2008-09-04,No,No,90.0
2008-09-05,Yes,No,82.0
2008-09-06,Yes,No,88.0
2008-09-07,No,No,89.1
2008-09-08,No,No,90.0
2008-09-09,Yes,No,87.1
2008-09-10,Yes,No,75.0
2008-09-11,No,No,78.1
2008-09-12,Yes,No,86.0
2008-09-13,No,No,91.0
2008-09-14,No,No,91.0
2008-09-15,No,No,86.0
2008-09-16,Yes,No,73.9
2008-09-17,Yes,No,73.9
2008-09-18,No,No,81.0
2008-09-19,No,No,75.9
2008-09-20,No,No,73.0
2008-09-21,Yes,No,75.0
2008-09-22,Yes,No,80.1
2008-09-23,No,No,75.9
2008-09-24,No,No,70.0
2008-09-25,Yes,No,64.0
2008-09-26,Yes,No,81.0
2008-09-27,Yes,No,80.1
2008-09-28,No,No,82.9
2008-09-29,No,No,82.0
2008-09-30,Yes,No,81.0
2008-10-01,No,No,73.0
2008-10-02,No,No,70.0
2008-10-03,No,No,75.0
2008-10-04,No,No,79.0
2008-10-05,No,No,82.0
2008-10-06,No,No,82.0
2008-10-07,No,No,71.1
2008-10-08,No,No,73.9
2008-10-09,Yes,No,75.9
2008-10-10,Yes,No,73.0
2008-10-11,No,No,71.1
2008-10-12,No,No,78.1
2008-10-13,No,No,79.0
2008-10-14,No,No,84.9
2008-10-15,No,No,87.1
2008-10-16,No,No,84.9
2008-10-17,Yes,No,70.0
2008-10-18,Yes,No,62.1
2008-10-19,No,No,61.0
2008-10-20,No,No,66.9
2008-10-21,No,No,73.9
2008-10-22,No,No,60.1
2008-10-23,No,No,60.1
2008-10-24,Yes,No,63.0
2008-10-25,Yes,No,77.0
2008-10-26,No,No,70.0
2008-10-27,No,No,60.1
2008-10-28,No,No,55.0
2008-10-29,No,No,59.0
2008-10-30,No,No,60.1
2008-10-31,No,No,66.9
2008-11-01,No,No,77.0
2008-11-02,No,No,75.0
2008-11-03,Yes,No,57.9
2008-11-04,Yes,No,59.0
2008-11-05,Yes,No,68.0
2008-11-06,No,No,77.0
2008-11-07,No,No,80.1
2008-11-08,Yes,No,73.0
2008-11-09,No,No,66.0
2008-11-10,No,No,61.0
2008-11-11,Yes,No,57.0
2008-11-12,No,No,61.0
2008-11-13,Yes,No,66.0
2008-11-14,Yes,No,64.0
2008-11-15,Yes,No,75.9
2008-11-16,No,No,55.9
2008-11-17,No,No,55.0
2008-11-18,Yes,Yes,45.0
2008-11-19,No,No,45.0
2008-11-20,No,No,57.0
2008-11-21,Yes,Yes,44.1
2008-11-22,No,No,46.0
2008-11-23,No,No,55.0
2008-11-24,Yes,No,55.0
2008-11-25,Yes,No,54.0
2008-11-26,No,No,54.0
2008-11-27,No,No,63.0
2008-11-28,No,No,68.0
2008-11-29,Yes,No,50.0
2008-11-30,Yes,No,59.0
2008-12-01,No,No,52.0
2008-12-02,No,No,48.9
2008-12-03,No,No,54.0
2008-12-04,Yes,No,57.9
2008-12-05,Yes,No,52.0
2008-12-06,Yes,No,46.9
2008-12-07,No,No,43.0
2008-12-08,No,No,48.0
2008-12-09,Yes,No,66.0
2008-12-10,Yes,No,70.0
2008-12-11,Yes,No,69.1
2008-12-12,Yes,No,57.9
2008-12-13,No,No,46.9
2008-12-14,No,No,57.0
2008-12-15,No,No,70.0
2008-12-16,Yes,No,61.0
2008-12-17,Yes,No,57.9
2008-12-18,No,No,57.9
2008-12-19,No,No,71.1
2008-12-20,Yes,No,61.0
2008-12-21,Yes,No,60.1
2008-12-22,No,No,36.0
2008-12-23,No,No,44.1
2008-12-24,Yes,No,66.9
2008-12-25,Yes,No,66.0
2008-12-26,Yes,No,48.0
2008-12-27,Yes,No,59.0
2008-12-28,Yes,No,73.9
2008-12-29,Yes,No,60.1
2008-12-30,No,No,64.0
2008-12-31,No,No,57.0
2009-01-01,No,No,42.1
2009-01-02,Yes,No,42.1
2009-01-03,No,No,57.9
2009-01-04,Yes,No,55.9
2009-01-05,No,No,60.1
2009-01-06,Yes,No,57.0
2009-01-07,Yes,No,68.0
2009-01-08,Yes,No,53.1
2009-01-09,No,No,50.0
2009-01-10,Yes,No,64.0
2009-01-11,Yes,No,57.9
2009-01-12,No,No,48.0
2009-01-13,No,No,43.0
2009-01-14,No,No,46.0
2009-01-15,No,No,44.1
2009-01-16,No,No,28.0
2009-01-17,No,No,36.0
2009-01-18,Yes,No,41.0
2009-01-19,Yes,Yes,50.0
2009-01-20,Yes,Yes,35.1
2009-01-21,No,No,35.1
2009-01-22,No,No,48.9
2009-01-23,No,No,60.1
2009-01-24,Yes,No,57.0
2009-01-25,No,No,36.0
2009-01-26,No,No,46.9
2009-01-27,Yes,No,43.0
2009-01-28,Yes,No,66.9
2009-01-29,No,No,54.0
2009-01-30,No,No,50.0
2009-01-31,No,No,46.9
2009-02-01,No,No,62.1
2009-02-02,Yes,No,64.0
2009-02-03,Yes,Yes,46.0
2009-02-04,No,No,37.9
2009-02-05,No,No,34.0
2009-02-06,No,No,55.0
2009-02-07,No,No,71.1
2009-02-08,No,No,75.0
2009-02-09,No,No,66.0
2009-02-10,No,No,73.0
2009-02-11,Yes,No,75.0
2009-02-12,No,No,69.1
2009-02-13,No,No,68.0
2009-02-14,Yes,No,63.0
2009-02-15,No,No,54.0
2009-02-16,Yes,Yes,46.0
2009-02-17,No,No,50.0
2009-02-18,Yes,No,57.0
2009-02-19,No,No,57.9
2009-02-20,No,No,43.0
2009-02-21,No,No,54.0
2009-02-22,Yes,No,50.0
2009-02-23,No,No,44.1
2009-02-24,No,No,46.0
2009-02-25,No,No,55.9
2009-02-26,No,No,64.9
2009-02-27,Yes,No,72.0
2009-02-28,Yes,No,57.9
2009-03-01,Yes,Yes,37.9
2009-03-02,Yes,Yes,35.1
2009-03-03,No,No,36.0
2009-03-04,No,No,50.0
2009-03-05,No,No,61.0
2009-03-06,No,No,73.9
2009-03-07,No,No,82.0
2009-03-08,No,No,84.0
2009-03-09,No,No,84.0
2009-03-10,No,No,69.1
2009-03-11,No,No,82.9
2009-03-12,No,No,62.1
2009-03-13,Yes,No,46.9
2009-03-14,Yes,No,44.1
2009-03-15,Yes,No,48.9
2009-03-16,Yes,No,51.1
2009-03-17,Yes,No,62.1
2009-03-18,No,No,68.0
2009-03-19,Yes,No,75.9
2009-03-20,No,No,60.1
2009-03-21,No,No,57.0
2009-03-22,No,No,66.9
2009-03-23,No,No,66.0
2009-03-24,No,No,57.9
2009-03-25,Yes,No,48.9
2009-03-26,No,No,69.1
2009-03-27,Yes,No,68.0
2009-03-28,Yes,No,70.0
2009-03-29,Yes,No,77.0
2009-03-30,No,No,66.9
2009-03-31,No,No,69.1
2009-04-01,Yes,No,70.0
2009-04-02,Yes,No,64.9
2009-04-03,Yes,No,78.1
2009-04-04,No,No,73.9
2009-04-05,No,No,82.9
2009-04-06,Yes,No,71.1
2009-04-07,No,No,51.1
2009-04-08,No,No,61.0
2009-04-09,No,No,70.0
2009-04-10,Yes,No,78.1
2009-04-11,Yes,No,72.0
2009-04-12,No,No,66.0
2009-04-13,No,No,63.0
2009-04-14,Yes,No,73.0
2009-04-15,Yes,No,64.0
2009-04-16,No,No,68.0
2009-04-17,No,No,73.9
2009-04-18,No,No,82.9
2009-04-19,Yes,No,73.0
2009-04-20,Yes,No,79.0
2009-04-21,Yes,No,75.0
2009-04-22,No,No,64.9
2009-04-23,No,No,80.1
2009-04-24,No,No,89.1
2009-04-25,No,No,91.9
2009-04-26,No,No,91.0
2009-04-27,No,No,89.1
2009-04-28,No,No,84.9
2009-04-29,No,No,82.9
2009-04-30,No,No,75.9
2009-05-01,Yes,No,82.0
2009-05-02,No,No,84.0
2009-05-03,No,No,86.0
2009-05-04,Yes,No,87.1
2009-05-05,No,No,73.0
2009-05-06,No,No,82.9
2009-05-07,Yes,No,84.0
2009-05-08,Yes,No,82.0
2009-05-09,Yes,No,90.0
2009-05-10,No,No,80.1
2009-05-11,Yes,No,68.0
2009-05-12,No,No,75.9
2009-05-13,No,No,75.0
2009-05-14,Yes,No,82.0
2009-05-15,No,No,84.9
2009-05-16,Yes,No,87.1
2009-05-17,Yes,No,73.0
2009-05-18,Yes,No,66.9
2009-05-19,No,No,71.1
2009-05-20,No,No,79.0
2009-05-21,No,No,82.0
2009-05-22,No,No,87.1
2009-05-23,No,No,84.9
2009-05-24,Yes,No,84.0
2009-05-25,Yes,No,82.9
2009-05-26,Yes,No,82.0
2009-05-27,No,No,86.0
2009-05-28,Yes,No,86.0
2009-05-29,Yes,No,88.0
2009-05-30,No,No,84.9
2009-05-31,Yes,No,88.0
2009-06-01,No,No,87.1
2009-06-02,No,No,93.9
