date,time,location,operator,flight_no,route,ac_type,registration,cn_ln,aboard,fatalities,ground,summary
"April 07, 1918",c 21:30,Over the Mediterranean,Military - German Navy,?,?,Zeppelin L-59 (airship),?,?,23   (passengers:?  crew:?),23   (passengers:?  crew:?),0,Exploded and crashed into the sea off the southern coast of Italy.
"May 10, 1918",?,"Off Helgoland Island, Germany",Military - German Navy,?,?,Zeppelin L-70 (airship),?,?,22   (passengers:?  crew:?),22   (passengers:?  crew:?),0,"Shot down by British aircraft crashing from a height of 17,000 ft."
"August 11, 1918",c 10:00,"Ameland Island, North Sea",Military - German Navy,?,?,Zeppelin L-53 (airship),?,?,19   (passengers:?  crew:?),19   (passengers:?  crew:?),0,Shot down by british aircraft.
"December 16, 1918",?,"Elizabeth, New Jersey",US Aerial Mail Service,?,?,De Havilland DH-4,97,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.
"May 25, 1919",?,"Cleveland, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,61,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
"July 19, 1919",?,"Dix Run, Pennsylvania",US Aerial Mail Service,?,?,De Havilland DH-4,82,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,?
"August 02, 1919",?,"Verona, Italy",Caproni Company,?,Venice  Taliedo,Caproni Ca.48,?,?,14   (passengers:12  crew:2),14   (passengers:12  crew:2),0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.
"October 02, 1919",?,"Newcastle, England",Aircraft Transport and Travel,?,?,De Havilland DH-4,?,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,?
"October 14, 1919",?,"Cantonsville, Maryland",US Aerial Mail Service,?,?,Curtiss R-4LM,32,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed in a wooded area."
"October 20, 1919",?,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,?,?,De Havilland DH-4,G-EAHG,?,0   (passengers:?  crew:?),0   (passengers:?  crew:?),0,?
"October 30, 1919",?,"Long Valley, New Jersey",US Aerial Mail Service,?,?,De Havilland DH.4,77,77,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed."
"December 11, 1919",?,"Catherham, Surrey, UK",Aircraft Travel Transport,?,Paris - Hounslow,de Havilland DH-4,G-EAHF,?,1   (passengers:1  crew:1),1   (passengers:1  crew:1),0,Crashed in a field while attemptting to land.
"March 10, 1920",?,"New Paris, Indiana",US Aerial Mail Service,?,?,De Havilland DH-4,65,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area."
"March 30, 1920",?,"Newark, New Jersey",US Aerial Mail Service,?,Washington - Newark,De Havilland DH-4,72,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.
"April 10, 1920",?,"Newark, New Jersey",US Aerial Mail Service,?,?,Curtiss R-4LM,49,?,2   (passengers:1  crew:1),1   (passengers:?  crew:?),0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed near Newark.
"April 11, 1920",?,"Heller Field, New Jersey",US Aerial Mail Service,?,?,Curtiss JN-4H,44,?,2   (passengers:1  crew:1),1   (passengers:0  crew:1),0,The aircraft crashed while on approach for unknown reasons.
"May 12, 1920",?,"Oskaloosa, Iowa",US Aerial Mail Service,?,?,De Havilland DH-4,79,?,2   (passengers:1  crew:1),1   (passengers:?  crew:?),0,"The pilot lost his orientation after weather conditions worsened, He eventually lost control of the plane and crashed in a field."
"June 06, 1920",?,"Cleveland, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,204,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The aircraft suffered engine failure and crashed shortly after taking off.
"June 20, 1920",?,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,?,?,Farman F-40,?,?,1   (passengers:1  crew:1),1   (passengers:1  crew:1),0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.
"August 16, 1920",?,"Bedford, England",By Air,?,?,Armstrong-Whitworth F-K-8,G-EALW,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The plane crashed during a cargo flight under unknown circumstances.
"August 16, 1920",?,"College Park, Maryland",US Aerial Mail Service,?,?,De Havilland DH-4,317,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames."
"September 01, 1920",?,"Morristown, New Jersey",US Aerial Mail Service,?,?,Junkers JL-6,305,?,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire."
"September 15, 1920",?,"Pemberville, Ohio",US Aerial Mail Service,?,?,Junkers F-13,308,?,2   (passengers:?  crew:?),2   (passengers:?  crew:?),0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.
"September 27, 1920",?,"Hillersburg, Pennsylvania",US Aerial Mail Service,?,?,De Havilland DH-4,316,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.
"October 02, 1920",?,"Off Port Vendres, France",Latecoere Airlines,?,?,Salmson 2-A-2,F-ALAI,31,2   (passengers:1  crew:1),2   (passengers:1  crew:1),0,Crashed into the Mediterranean while on a mail flight.
"October 05, 1920",?,"Valencia, Spain",Latecoere Airlines,?,?,Breguet 14,F-ALTA,20,2   (passengers:1  crew:1),2   (passengers:1  crew:1),0,While on a mail flight the plane crashed while attempting to land.
"October 15, 1920",?,"Batavia, Illinois",US Aerial Mail Service,?,?,De Havilland DH-4,76,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,While attempting to land in fog the aircraft hit an obstruction and crashed.
"November 07, 1920",?,"Tie Siding, Wyoming",US Aerial Mail Service,?,?,De Havilland DH-4,?,178,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The aircraft crashed into a mountain in poor weather condtions.
"December 14, 1920",c12:15,"London, England",Handley Page Transport,?,London - Paris,Handley Page HP-16,G-EAMA,HP-25,8   (passengers:6  crew:2),4   (passengers:2  crew:2),0,The plane failed to gain altitude after taking off and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..
"December 24, 1920",?,"Barcelona, Spain",Aeropostale,?,?,Breguet 14,F-ALBO,57,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The aircraft stalled and crashed when an engine failed.
"February 03, 1921",?,"Mendotta, Minnisota",US Aerial Mail Service,?,?,De Havilland DH-4,130,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.
"February 09, 1921",?,"La Crosse, Wisconsin",US Aerial Mail Service,?,?,Junkers F-13,301,?,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,Crashed for unknown reasons. Both pilots and the mechanic were killed.
"February 15, 1921",?,Off Gibraltar,Aeropostale,?,?,Breguet 14,F-ALBA,?,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.
"February 22, 1921",?,"Elko, Nevada",US Aerial Mail Service,?,?,De Havilland DH-4,67,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,"Shortly after taking off, the aircraft stalled and crashed ."
"April 06, 1921",?,"Point Cook, Australia",Military - Royal Australian Air Force,?,?,Avro 504,H3021,?,2   (passengers:0  crew:0),2   (passengers:0  crew:0),0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames."
"April 21, 1921",?,"Mitchel Field, NY",US Aerial Mail Service,?,?,De Havilland DH-4,160,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,After taking off the aircraft stalled and crashed.
"April 29, 1921",?,"Cleveland, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,196,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog."
"May 17, 1921",?,"Rock Springs, Wyoming",US Aerial Mail Service,?,?,"De Havilland DH-4
De Havilland DH-4",176,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed while attempting to land.
"August 14, 1921",?,"Toulouse, France",Aeropostale,?,?,Breguet 14,F-ALBI,?,2   (passengers:?  crew:?),2   (passengers:?  crew:?),0,?
"August 24, 1921",c 17:40,"River Humber, England",Military - Royal Airship Works,?,?,Royal Airship Works ZR-2 (airship),R-38,R-38,46   (passengers:0  crew:46),46   (passengers:0  crew:46),1,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.
"September 06, 1921",?,"Paris, France",Franco-Roumaine,?,Warsaw - Prague - Strasbourg - Paris,Potez IX,F-ADCD,160,5   (passengers:4  crew:1),5   (passengers:4  crew:1),0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.
"December 05, 1921",?,"Near Murchinson River, Australia",West Australian Airways,?,Geraldton - Derby,Bristol 28 Tourer,G-AUDI,6116,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.
"January 14, 1922",?,"Paris, France",Handley Page Transport,?,?,Handley Page O/10,G-EATN,HP-43,5   (passengers:4  crew:1),5   (passengers:4  crew:1),5,Crashed at Le Bourget field.
"February 21, 1922",?,"Near Norfolk, Virginia",Military - U.S. Army Air Service,?,?,Dirigible Roma (airship),?,?,45   (passengers:?  crew:?),34   (passengers:?  crew:?),0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
"March 22, 1922",1140,North Atlantic Ocean,Aero Limited,?,Miami - Bimini,Aeromarine Model 85 (flying boat),?,?,6   (passengers:5  crew:1),5   (passengers:5  crew:0),0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami."
"April 07, 1922",1315,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,?,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7   (passengers:5  crew:2),7   (passengers:5  crew:2),0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
"April 08, 1922",?,"Pao Ting Fou, China",?,?,Test,?,?,?,17   (passengers:0  crew:17),17   (passengers:0  crew:17),0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.
"June 03, 1922",?,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,?,Croydon - Paris,Bleriot Spad 27,F-ACMH,555,3   (passengers:2  crew:1),3   (passengers:2  crew:1),0,Went down into the English Channel while en route.
"July 04, 1922",?,"Fuhlsbuttel, Germany",?,?,Hamburg - Berlin,LVG C VI,?,?,3   (passengers:2  crew:1),2   (passengers:1  crew:1),0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron)."
"July 16, 1922",c 16:45,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,?,Strasbourg - Paris,Potez 29,F-FREI,25,5   (passengers:4  crew:1),5   (passengers:4  crew:1),0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.
"July 26, 1922",?,"Cadix, Spain",Grands Express Aeriens,?,?,Breguet 14,F-ALVE,117,3   (passengers:2  crew:1),3   (passengers:2  crew:1),0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed."
"September 07, 1922",?,"Indianapolis, Indiana",US Aerial Mail Service,?,?,De Havilland DH-4,227,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The plane stalled shortly after takeoff and crashed.
"October 02, 1922",?,"Venice, Italy",?,?,Venice - London,de Havilland DH-9,G-EAYT,14,4   (passengers:3  crew:1),4   (passengers:3  crew:1),0,Shortly after taking off the plane crashed into the sea and sank.
"October 25, 1922",?,"Larache, Morocco",Grands Express Aeriens,?,?,Breguet 14,?,?,2   (passengers:1  crew:1),2   (passengers:1  crew:1),0,Crashed while on a flight from France.
"December 03, 1922",?,"Fez, Morocco",Grands Express Aeriens,?,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,F-ALNA,14,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.
"January 10, 1923",?,"Ajaccio, France",Amee de l'Air,?,?,Lioré-et-Olivier H-13,F-AEIB,4,4   (passengers:2  crew:2),3   (passengers:1  crew:2),0,The plane crashed mid-air due to a structural failure of the tail.
"January 17, 1923",?,"Barcelona, Spain",Grands Express Aeriens,?,?,Breguet 14,F-ALJU,6083-130,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed into a mountain during a snowstorm.
"January 18, 1923",?,"Cheyenne, Wyoming",US Aerial Mail Service,?,?,De Havilland DH-4,223,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed during a mail flight.
"February 26, 1923",?,"Meadville, Pennsylvania",US Aerial Mail Service,?,?,De Havilland DH-4,291,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The pilot lost control of the aircraft  while on approach in poor weather conditions.
"May 14, 1923",c 13:40,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),?,Paris - London,Farman F-60 Goliath,F-AEBY,15,6   (passengers:4  crew:2),6   (passengers:4  crew:2),0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette."
"August 27, 1923",?,"Bucharest, Romania",Campagnie France Roumaine,?,?,Blériot Spad 46,F-AEGN,28,2   (passengers:1  crew:1),2   (passengers:1  crew:1),0,Crashed while on approach to Bucharesst.
"September 07, 1923",?,"Colton, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,283,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed during an emergency landing attempt.
"September 14, 1923",c 18:00,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,?,Croydon - Manchester,de Havilland DH-34,G-EBBS,29,5   (passengers:3  crew:2),5   (passengers:3  crew:2),0,Crashed while attempting a forced landing after encountering heavy rain.
"November 18, 1923",?,Russia,CCCP,?,?,Junkers F-13,D-257,?,5   (passengers:2  crew:3),3   (passengers:1  crew:2),0,Crashed during a training flight.
"December 06, 1923",?,"Castalia, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,318,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,?
"December 23, 1923",c 02:30,Over the Mediterranean Sea,Military - French Navy,?,Toulon - Algiers,Zeppelin Dixmunde (airship),L-72,?,52   (passengers:?  crew:?),52   (passengers:?  crew:?),0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning."
"December 24, 1923",?,"Egbert, WY",US Aerial Mail Service,?,?,De Havilland DH-4,315,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed into a montain in poor weather conditions.
"March 07, 1924",?,"Grampian, Pennsylvania",US Aerial Mail Service,?,?,De Havilland DH-4,327,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,?
"April 24, 1924",?,Over the English Channel,KLM Royal Dutch Airlines,?,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,3   (passengers:2  crew:1),3   (passengers:2  crew:1),0,?
"June 08, 1924",?,"Barranquilla, Colombia",SCADTA,?,Barranquilla - Bogota,Junkers F-13,A16,?,5   (passengers:3  crew:2),5   (passengers:3  crew:2),0,Stalled after taking off and crashed into a tree.
"August 01, 1924",?,United States,US Aerial Mail Service,?,?,De Havilland DH-4,297,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,?
"November 06, 1924",?,"Cabrerolles, France",Grands Express Aeriens,?,?,?,F-AFBD,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,?
"December 21, 1924",?,"Goshen, Indiana",US Aerial Mail Service,?,?,De Havilland DH-4,311,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,?
"December 24, 1924",c 12:00,"Purley, England",Imperial Airways,?,London - Paris,de Havilland DH-34B,G-EBBX,36,8   (passengers:7  crew:1),8   (passengers:7  crew:1),0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing."
"March 22, 1925",?,"Near Tiflis, Georgia, USSR",Zakavia,?,Tiflis - Suchumi,Junkers F-13,R-RECA,590,5   (passengers:3  crew:2),5   (passengers:3  crew:2),0,Shortly after take off the plane went out of control and crashed in flames.
"April 25, 1925",?,"Alicante, Spain",Grands Express Aeriens,?,Alicante - Barcelona - Toulouse,Breguet 14,F-AFBB,202,3   (passengers:1  crew:2),3   (passengers:1  crew:2),0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed."
"June 25, 1925",?,"Landrécies, France",KLM Royal Dutch Airlines,?,Amsterdam - Paris,Fokker (KLM)  F.III,H-NABM,1502,4   (passengers:3  crew:1),4   (passengers:3  crew:1),0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight."
"June 26, 1925",?,"Alicante, Spain",Grands Express Aeriens,?,Oran - Alicante,Lioré-et-Olivier LeO H-13,F-FREM,?,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,While attempting to land the seaplane hit a lightning mast and crashed.
"July 20, 1925",?,"Rosas, Spain",Lignes Aeriennes Latecoere,?,Toulouse - Barcelona,Breguet 14,F-AFBI,209,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed in unknown circumstance.
"July 24, 1925",?,"Budapest, Hungary",CIDNA,?,?,Potez IX,?,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed while attempting to land 10 km from the airport
"September 03, 1925",c 05:30,"Caldwell, Ohio",Military - U.S. Navy,?,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,?,43   (passengers:?  crew:?),14   (passengers:?  crew:?),0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon."
"September 07, 1925",?,"Toul, France",CIDNA,?,?,Spad 33,?,?,?   (passengers:?  crew:?),?   (passengers:?  crew:?),?,?
"October 01, 1925",?,"Nittany Mt, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,385,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,?
"November 14, 1925",?,"Nouadhibou, Mauritania",Lignes Aeriennes Latecoere,?,?,Breguet 14,F-AEGZ,168,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The pilot suffered sunstroke lost control of the plane and crashed.
"November 14, 1925",?,"Off Boulogne-sur-Mer, France",Air Union,?,?,Farman F-60 Goliath,F-AMFY,?,2   (passengers:?  crew:?),2   (passengers:?  crew:?),0,?
"February 12, 1926",?,"Montpelier, Ohio",US Aerial Mail Service,?,?,Curtiss Carrier Pigeon,602,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area."
"March 08, 1926",?,"Staaken, Germany",Deutche Lufthansa,?,?,Junkers F-13,"D-290
D-290",665,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,While in a training filight the aircraft stalled and crashed while attempting to land.
"May 31, 1926",?,English Channel,Air Union,?,Paris - Cryodon,Breguet 14,F-ADAI,1908,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The mail plane crashed into the English Channel and was never found.
"July 03, 1926",?,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,?,Paris - Prague - Budapest,Caudron C-61,F-AFBT,5307,6   (passengers:4  crew:2),6   (passengers:4  crew:2),0,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.
"July 09, 1926",0930,"Wolvertem, Belgium",KLM Royal Dutch Airlines,?,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,H-NACC,4759,2   (passengers:1  crew:1),2   (passengers:1  crew:1),0,Crashed into the ground while descending in poor weather.
"July 24, 1926",?,"Juist, Germany",Deutsche Lufthansa,?,?,Junkers F-13,D-272,660,5   (passengers:4  crew:1),5   (passengers:4  crew:1),0,Weather related.
"August 18, 1926",?,"Hurst, Kent, England",Air Union,?,"Lebourget, France - Croydon, England",Bleriot 155,F-AIEB,2,4   (passengers:3  crew:1),4   (passengers:3  crew:1),0,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.
"September 26, 1926",?,"New York, New York",?,?,New York - Paris,Sikorsky S-25,?,?,5   (passengers:4  crew:1),2   (passengers:2  crew:0),0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.
"October 02, 1926",?,"Leigh, Kent, Unied Kingdom",Air Union,?,Paris - London,Bleriot 155,F- AICQ,1,7   (passengers:5  crew:2),7   (passengers:5  crew:2),0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed.."
"October 08, 1926",?,"Bueren, Germany",Deutsche Lufthansa,?,?,Fokker FG III,D-468,1554,4   (passengers:3  crew:1),4   (passengers:3  crew:1),0,Weather related.
