category,text
sci.med,"From: geb@cs.pitt.edu (Gordon Banks)
Subject: Re: Menangitis question
Article-I.D.: pitt.19439
Reply-To: geb@cs.pitt.edu (Gordon Banks)
Organization: Univ. of Pittsburgh Computer Science
Lines: 42

In article <C4nzn6.Mzx@crdnns.crd.ge.com> brooksby@brigham.NoSubdomain.NoDomain (Glen W Brooksby) writes:
>This past weekend a friend of mine lost his 13 month old
>daughter in a matter of hours to a form of menangitis.  The
>person informing me called it 'Nicereal Meningicocis' (sp?).
>In retrospect, the disease struck her probably sometime on 
>Friday evening and she passed away about 2:30pm on Saturday.
>The symptoms seemed to be a rash that started small and
>then began progressing rapidly. She began turning blue
>eventually which was the tip-off that this was serious
>but by that time it was too late (this is all second hand info.).
>
>My question is:
>Is this an unusual form of Menangitis?  How is it transmitted?
>How does it work (ie. how does it kill so quickly)?
>

No, the neiseria meningococcus is one of the most common
forms of meningitis.  It's the one that sometimes sweeps
schools or boot camp.  It is contagious and kills by attacking
the covering of the brain, causing the blood vessels to thrombose
and the brain to swell up.

It is very treatable if caught in time.  There isn't much time,
however.  The rash is the tip off.  Infants are very susceptible
to dying from bacterial meningitis.  Any infant with a fever who
becomes stiff or lethargic needs to be rushed to a hospital where
a spinal tap will show if they have meningitis.  Seizures can also
occur.

>Immediate family members were told to take some kind of medication
>to prevent them from being carriers, yet they didn't have
>any concerns about my wife and I coming to visit them.
>

It can live in the throat of carriers.  Don't worry, you won't get 
it from them, especially if they took the medication.

-- 
----------------------------------------------------------------------------
Gordon Banks  N3JXP      | ""Skepticism is the chastity of the intellect, and
geb@cadre.dsl.pitt.edu   |  it is shameful to surrender it too soon."" 
----------------------------------------------------------------------------
"
rec.sport.baseball,"From: fester@island.COM (Mike Fester)
Subject: Re: Notes on Jays vs. Indians Series
Organization: /usr/local/rn/organization
Distribution: na
Lines: 38

In article <1993Apr13.221704.4291@midway.uchicago.edu> thf2@midway.uchicago.edu writes:
>In article <rudyC5FxC8.DEu@netcom.com> rudy@netcom.com (Rudy Wade) writes:
>>In article <1993Apr13.195301.22652@CSD-NewsHost.Stanford.EDU> nlu@Xenon.Stanford.EDU (Nelson Lu) writes:
>>>Guess which line is which:
>>>	BA	OBP	SLG	AB	H	2B	3B	HR	BB
>>>X	.310	.405	.427	571	177	27	8	8	87
>>>Y	.312	.354	.455	657	205	32	1	20	35
>>
>>>The walks should give it away.  OBP's, in general, somewhat more valuable than
>>>slugging, and Alomar's edge in OBP was quite a bit larger than Baerga's edge
>>>in slugging.
>>
>>I'm no SDCN, but what's more valuable:
>>
>>28 hits w/5 more doubles, 12 more HRs   OR
>>7 more triples and 52 BBs?  (Let's not forget the 39 extra SBs. How many CS?)
>
>Alomar had 9 CS.  Baerga had 2.
>
>Don't forget the 59 more outs Baerga had (his GIDP balances out his CS, and
>he had one more sacrifice than Alomar).   A replacement level second baseman
>could have had 17 hits, 5 walks, and a couple of XBH for the additional
>outs Baerga had.  A triple is little different than a home run.  We're talking
>exchanging almost 60 walks for six or seven home runs and four doubles.  I 
>would say the almost-60 walks are more valuable.

Also, Alomar got a FAR greater boost from his home park than Baerga did from 
his. And ""six or seven home runs""? Hmm.

So, if you wanted to pick a second baseman to play in Toronto, you'd take 
Alomar. Anywhere else, and you'd probably take Baerga.

Mike
-- 
Disclaimer - These opiini^H^H damn! ^H^H ^Q ^[ .... :w  :q  :wq  :wq! ^d  ^X ^?
exit X Q  ^C ^? :quitbye  CtrlAltDel   ~~q  :~q  logout  save/quit :!QUIT
^[zz ^[ZZZZZZ ^vi  man vi ^@  ^L  ^[c  ^# ^E ^X ^I ^T ? help  helpquit ^D  ^d !!
man help ^C ^c :e! help exit ?Quit ?q CtrlShftDel ""Hey, what does Stop L1A d...""
"
rec.sport.baseball,"From: addison@leland.Stanford.EDU (Brett Rogers)
Subject: Re: Defensive Averages 1988-1992 -- Shortstop
Organization: DSG, Stanford University, CA 94305, USA
Lines: 12

In article <steph.735027990@pegasus.cs.uiuc.edu> steph@pegasus.cs.uiuc.edu (Dale Stephenson) writes:
>>Smith, Ozzie           .742  .717  .697  .672  .664   0.701
>  The Wizard's 1988 is the second highest year ever.  Still very good,
>but I don't like the way his numbers have declined every year.  In a few
>years may be a defensive liability.

That's rich... Ozzie Smith a defensive liability...

Brett Rogers
addison@leland.stanford.edu


"
rec.autos,"From: maynard@convex.com (Mark Maynard)
Subject: Re: Opel owners?
Nntp-Posting-Host: trojan.convex.com
Organization: CONVEX Computer Corporation, Richardson, Tx., USA
Distribution: rec.autos
X-Disclaimer: This message was written by a user at CONVEX Computer
              Corp. The opinions expressed are those of the user and
              not necessarily those of CONVEX.
Lines: 22

In article <C5sxI4.J9B@news.cso.uiuc.edu> cka52397@uxa.cso.uiuc.edu (OrioleFan@uiuc) writes:
>gibbonsa@fraser.sfu.ca (Darren Gibbons) writes:
>
>>I'm looking for information on Opel cars.  Now you ask, which model?
>>Well, the sad truth is, I'm not entirely sure, but it's a two-seater,
>>with roll-over headlights, hard top, and really sporty looking.
>>gibbonsa@sfu.ca
>	
>	This would be the manta, would it not???  Sold through Buick dealers in the mid '70's as the price leader????
>	Chintan Amin


Sounds more like an Opel GT.  Neat cars, fun to drive.  Sold through
Buick from 196? through 1973 (if I remember correctly).  I believe it
was in '72 that there were some engine mods made such that parts
were not interchangeable with the older models.  Parts are thus much
harder to come by for the later models.  Parts in general are not
too difficult to find.  At one time JC Whitney carried some stuff
including a brand new (not remfg) long block.  Either a GT or a
Kharman Ghia (hmm that spelling looks hosed) will be my next project.

Mark
"
sci.med,"From: euclid@mrcnext.cso.uiuc.edu (Euclid K.)
Subject: Re: GETTING AIDS FROM ACUPUNCTURE NEEDLES
Article-I.D.: news.C5wGEs.K6u
Organization: University of Illinois at Urbana
Lines: 19

matthews@Oswego.EDU (Harry Matthews) writes:

>I had electrical pulse nerve testing done a while back.  The needles were taken
>from a dirty drawer in an instrument cart and were most certainly NOT
>sterile or even clean for that matter.  More than likely they were fresh
>from the previous patient.  I WAS concerned, but I kept my mouth shut.  I
>probably should have raised hell!
	Could you describe in more detail the above procedure?  I've never
heard about it.
	And yes, if they pierced you with the needles you probably should have
protested. 

euclid
 
--
Euclid K.       standard disclaimers apply
""It is a bit ironic that we need the wave model [of light] to understand the
propagation of light only through that part of the system where it leaves no
trace.""  --Hudson & Nelson (_University_Physics_)
"
rec.autos,"From: boyle@cactus.org (Craig Boyle)
Subject: Re: Too fast
Article-I.D.: cactus.1993Apr17.063040.2177
Organization: Capital Area Central Texas UNIX Society, Austin, Tx
Lines: 63

In article <1qmcih$dhs@armory.centerline.com> jimf@centerline.com (Jim Frost) writes:
>boyle@cactus.org (Craig Boyle) writes:
>>The quality of autobahns is something of a myth. The road surface
>>isn't much different to a typical TX freeway. They are better
>>in terms of lighting, safety, signs, roadmarkings etc.
>
>They light the highways in Texas?  Funny, everywhere else I've been
>they only light 'em at junctions.

Sorry, by ""they"" I meant autobahns, not US freeways.

>
>I won't even get into how much road markings vary between states and
>localities except to say that there are some areas where markings are
>essentially nonexistant.
>
>>>than most of the roads here. A dip in the asphalt that you test your
>>>shocks on at 60 will kill you at 130. Don't get me wrong, I love to
>
>>It would have to be quite severe. I don't recall any US freeway,
>>without road damage warnings, that i would regard as unsafe
>>at 130 in any decent, well damped car.
>
>I suspect you have very limited experience -- US freeways vary
>dramatically, particularly between states.  I can name a number of
>interstate highways in various parts of the country where 130 would be
>very optimistic in any car.

Well, I've driven in every state but Alaska, and drive about 60k per year.
I take long cross country trips any chance I get - its fun for me and I
can get reimbursment.
My job allows me to drive rather than fly. Not to labor the point, but
I've driven just about every freewayin the US, Germany, UK and France plus
some in Mexico, which was surpisingly good.

>
>I'm not sure what you call ""quite severe"" in terms of road deviations
>but I suspect every single bridge junction on I84 through CT would be
>considered so.  They're hard to take at 85mph.  That's not the only
>interstate I've seen with such deviations, but it's one I drive
>frequently.

Yes, but as a %age of the total freeway in the US? 
All you have to do in this case is mark the hazard, advising people to
slow to 85 or so. 

>
>Texas is pretty much an edge-case -- you can't assume that everywhere
>has roads in such good condition, such flat terrain, and such

Texas freeways are varied, sometimes a good surface. Mostly flat. But,
I5 in CA is comparable and hilly.

>wide-open spaces.  It just ain't so.
>
Given the absence of other traffic and car built for 130 (e.g. 535) 
most US freeways are just fine. The problem is other road users and
cops.

>jim frost
>jimf@centerline.com

Craig
"
misc.forsale,"From: vvl2h@galen.med.Virginia.EDU (Victor V. Levenson)
Subject: HELP: How to get a SCUMSTER
Summary: Need advice 
Keywords: HD, cash/check, no delivery
Organization: University of Virginia
Distribution: usa
Lines: 34


Hi, everyone;


I need an advice on what is the best way to get a scumster.

Several weeks ago I posted an article on behalf of a friend who wanted
an external HD for mac. The scumster - R.E.P. - called my friend and
they agreed on a price. My friend (unexperienced and not too fluent in
English) paid by check, requesting R.E.P. to call him back when the check
arrives and the HD is send. Well, the check was cashed 3/24 and that is
that. Phone # that R.E.P. gave is on the answering machine all the time
and there is no reaction when the message is left; e-mail address does not
bounce but again there is no answer. I know, that R.E.P. is a student at
University of Delaware; I have his e-mail address, his US postal address
and his (?) phone#. The question is: WHAT IS THE BEST WAY TO PROCEED?

Thanks in advance for any advice.

Sincerely,
Victor Levenson (VVL2H@virginia.edu)

P.S. The reason I did not put R.E.P.'s full name is that I still hope...


P.P.S. If I get enough responses I will post a summary, maybe even on a
regular basis.

VL
--
====================================

Dr.Victor V.Levenson               Tel (804) 924 2370 lab
Dept. of Biochemistry              Internet VVL2H@virginia.edu
"
rec.autos,"From: c23tvr@kocrsv01.delcoelect.com (Thomas Redmond)
Subject: Re: WARNING.....(please read)...
Originator: c23tvr@koptsy17
Keywords: brick, rock,  danger, gun, violent, teenagers
Organization: Delco Electronics Corp.
Distribution: us
Lines: 19


In article <1r1d62$d6s@agate.berkeley.edu>, bh@anarres.CS.Berkeley.EDU (Brian Harvey) writes:
> rfelix@netcom.com (Robbie Felix) writes:
> >How about the thousands of kind teenagers who volunteer at local
> >agencies to help children, seniors, the homeless?
> 
> Hear, hear!  Thanks, Robbie.
> 
> You also don't read that much about violence *against* teenagers, such as
> George Bush burying alive tens of thousands of unarmed Iraqi 17-year-olds,
> who were trying to surrender, with bulldozers.
> 
> 
> On the other hand, I think it *is* true, without singling out teenagers
> for blame, that violence is more socially acceptable than it used to be.
> Those of us who'd like to discourage violence have plenty of work to do
> with people of all ages.

I didn't know George could drive a bulldozer!
"
rec.sport.baseball,"From: king@cogsci.ucsd.edu (Jonathan King)
Subject: Re: Zane!!Rescue us from Simmons!!
Organization: University of California, San Diego
Lines: 120
Distribution: na
NNTP-Posting-Host: cogsci.ucsd.edu
Summary: oh please, it's way too early to get upset.

Mamatha Devineni Ratnam <mr47+@andrew.cmu.edu> writes:
>So far Simmons looks like a total idiot.

Whatever you say.  I think it's just 12 games into the season myself, so
I'm going to wait a bit before calling names.

>2) I am sure Simmons was ready to say I told you so after Otto had an
>impressive win last week. Now Otto's latest debacle has restored Simmons'
>reputation. Now he looks like he is back in his '92 form when he had the
>AL's highest ERA among starters. Four our sake(not Ted's sake), I hope he
>pitches with a 3.5 ERA for the rest of the season. Yeah, right.

I expect that Dave Otto will be a really bad pitcher, and I have no
idea why Simmons ever wanted him.  On the other hand, I expect him to
release Otto if he doesn't turn things around pretty fast.  (BTW,
Otto's game score for that 0 IP stinker was only 22, which points out
a problem with the method since Otto's performance was infinitely bad,
and excruciatingly prolonged.)

>3) Tomlin and Merced are a bit disappointing. They are still doing decently.
>But considering the considerable amount of talent and maturity they have
>shown their first seasons, they seem to have actually gotten a little
>bit worse. 

I think Merced's rookie year was a bit flukey, but aren't you willing to
give him some more at bats (and Tomlin a few more starts) before acting
so gloomy?

>4) Walk: Well, he seems to be on the losing end tonight. BUt I still think 
>that Walk desrved his contract.

No he didn't.  Walk is a time bomb.  He has no stuff whatsoever, and when
the league finally realizes this, it won't be pretty at all.

>8) The Rookie batters: Well, Young has surprised me a bit with his
>instant impact. Other than that, their excellent performance hasn't
>been too much of a surprise. I think we should thank Doughty for that.

Don't be so fast.  Doughty is the guy who signed Steve Buechele, which
was a move that threatened to bury Kevin Young in the minors.
Meanwhile, I'm not sure whether Doughty or Simmons signed Martin as a
six-year free agent before the 1992 season.

>9) Rookie Pitchers: Worse than expected, especially Cooke.

Twice through the rotation, and you've given up?  Yikes.

>10) Slaught: How come he wasn't given a contract extension last year? 
>Now his value has increased immensely.

But so has his age, at least in baseball terms.  The useful half-life
of a 34- year-old injury-prone catcher can't be much longer than a year.

>11) Lonnie Smith!! Well, Eric Davis was signed for a comparable amount.

But he wanted to be a Dodger, and felt he had something to prove after his
disastrous 1992.  I don't think there was any chance for the Bucs to sign
him.

>Let's see. Eric can hit better. He can run better. He can field better.
>Now why didnt the PIrates go after Eric Davis. An injured Davis is better
>than a healthy Lonnie Smith. 

He certainly wasn't last year.

>Even if Lonnnie Smith gets some big hits this year,he won't be an asset. 
>He has looked terrible on the bases and in the field.

Hey, that's the ""Skates Smith"" package deal.  Anybody who acquires
Lonnie for his defense or base-running (particularly at this stage) is
a real weirdo.

>12) Management: BIG BIG ZERO. Sauer has yet to make a forceful argument
>in favor of revenue sharing. He seems more concerned about pleasing that
>idiot Danforth by preparing the team for a move to Tampa Bay.

If that's the goal of the team ownership, than I don't see why Sauer
gets a zero for making his boss happy.  I don't know what he has or
hasn't said about revenue sharing, so I can't comment there.

>13) Alex Cole fiasco. 
> [stuff deleted]
>Ironically, the biggest accomplishment of Simmons' tenure was
>getting Alex Cole really cheap. Too bad. [that he gave him away in the
>expansion draft.]

It's annoying, but since Leyland seems to have been pushing for them
to retain Jeff King, it was probably unavoidable.  Meanwhile, I think
bigger accomplishments of Simmons' tenure were getting some value for
John Smiley, not trading real prospects for veterans down the stretch
last year, drafting well in 1992, letting the rookies show something
in 1993.  Foley, Smith, and Candelaria were acquired to be replacement
parts, which means that even if fail it hasn't done serious damage to
the Bucs' future.

>14) Compensatory draft picks for Bonds: Forget it. The pirates can rant 
>and rave. they will not get those picks. As of now, the issue is still 
>being appealed.

Does this mean that the Bucs lost the initial arbitration case?  I
never heard the outcome of this.  When will the final verdict be in on
this?

>Now, if this doesnt convince anyone that Simmons and Sauer are idiots,
>nothing else will.

I'm not sure who was the idiot in this case, so I don't know who to
blame.  It might have been Doug Danforth, after all.  In fact, I
*seriously* suspect it was Doug Danforth, who has shown his
willingness to call the shots at exactly those moments when the gun is
pointed at his feet.

(btw--I've wondered whether my latest posts have been getting
off-site, so if somebody known to impersonate e.e. cummings can see
this, would he drop me a short note?)

jking



"
misc.forsale,"From: munroe@dmc.com (Dick Munroe)
Subject: REPOST: Tape Drives (4mm, 8mm) for sale.
Organization: Doyle, Munroe Consultants, Inc., Hudson, MA
Lines: 18

Acorn Software, Inc. has 3 tape drives (currently used on a VMS
system) for sale.  These are all SCSI tape drives and are in
working condition.

        WangDat 1300 4mm                $500.00
        WangDat 2600 4mm (compression)  $650.00
        Exabyte 8200 8mm                $650.00

Plus shipping and COD.  Certified checks only, please.  These
units are sold as is and without warrantee.  Contact me if you're
interested.
-- 
Dick Munroe				Internet: munroe@dmc.com
Doyle Munroe Consultants, Inc.		UUCP: ...uunet!thehulk!munroe
267 Cox St.				Office: (508) 568-1618
Hudson, Ma.				FAX: (508) 562-1133

GET CONNECTED!!! Send mail to info@dmc.com to find out about DMConnection.
"
misc.forsale,"From: zborowsk@spot.Colorado.EDU (ZBOROWSKI  BRANDON WALTER)
Subject: PaintBall Gun ForSale!!
Distribution: usa
Organization: University of Colorado, Boulder
Lines: 22
Nntp-Posting-Host: spot.colorado.edu


Paintball Gun for Sale

TIPPMAN SL-68II (In Great Condition)

11"" Micro-honed Barrel
Barrel Squeegie
16"" Barrel
140 Round Sight Feeder with Elbow
7 oz. Constant Air Tank with Valve Protector and Buttplate
Shoulder Strap
3-7X Bushnell Sportview Scope
40 Round Ammo Box with Flip Top Lid
Barrel Plug
Instruction Manual
Allen Wrenches

Contact me at:

zborowsk@spot.colorado.edu

and make me an offer.
"
sci.space,"From: seale@possum.den.mmc.com (Eric H Seale)
Subject: Re: Comet in Temporary Orbit Around Jupiter?
Nntp-Posting-Host: pogo.den.mmc.com
Organization: Martin Marietta Astronautics, Denver
Lines: 8

baalke@kelvin.jpl.nasa.gov (Ron Baalke) writes:
>According the IAU Circular #5744, Comet Shoemaker-Levy 1993e, may be
>temporarily in orbit around Jupiter.  The comet had apparently made a
>close flyby of Jupiter sometime in 1992 resulting in the breakup of the
>comet.

Ooooh -- who would have thought that Galileo would get the chance to
check out a comet TOO?!?
"
talk.politics.guns,"From: bressler@iftccu.ca.boeing.com (Rick Bressler)
Subject: Re: The 'pill' for Deer = No Hunting
Organization: Boeing Commercial Airplane Group
Lines: 37

/ iftccu:talk.politics.guns / jrm@gnv.ifas.ufl.edu /  6:26 am  Apr 14, 1993 /

>	The vast majority get through life without ever having to
>	own, use or display a firearm.


I suppose that depends on how you define 'vast' majority....

You are correct about 'majority.'  Somewhere between 1 out of three and 
one out of 10 will at some period in their lives experience a violent 
assault.  The risk is generally higher than emergency medical problems
like heart attack and stroke.

'Vast' is probably too loose a term.  With approximately 1,000,000 Americans
using firearms each year, over a 30 year period we get (roughly, since some
may have to do this more than once) 30 MILLION Americans with experience in 
using firearms for self defense.  30/250 yields 12 percent of the population.
(Yes, I know that is a REAL rough estimate.  We're closer to 270 million now, 
but many of these are minors and should be included etc, thus the percentage
if anything is low.)

At any rate, most minority groups in this range are not usually referred 
to as 'tiny' minorities, so I don't see how the other part of the group 
can be referred to as the 'vast' majority.  A little more work might 
support a 'simple' majority of Americans never use, own or display a firearm.

Certainly when you are talking about OWNERSHIP you are wrong.  Nearly half
of your fellow citizens own one or more firearms.  

>	                               Besides, there are other
>	means of self-protection which can be just as effective
>	as firearms. 

Please provide a list of other means that are as effective.  Then you might 
convince your local police departments to switch.  Good luck.

Rick.
"
rec.autos,"From: dduff@col.hp.com (Dave Duff)
Subject: Re: Did US drive on the left?
Article-I.D.: hp-col.1pqtuiINNj5d
Organization: HP Colorado Springs Division
Lines: 2
NNTP-Posting-Host: fajita19.cs.itc.hp.com

DeSoto's first year of manufacture was 1928, so this may indeed have been
an export special, as left hand controls were standard here by then.
"
sci.space,"From: prb@access.digex.com (Pat)
Subject: Re: Jemison on Star Trek (Better Ideas)
Organization: Express Access Online Communications USA
Lines: 11
NNTP-Posting-Host: access.digex.net

In article <1993Apr25.154449.1@aurora.alaska.edu> nsmca@aurora.alaska.edu writes:
|
|Better idea for use of NASA Shuttle Astronauts and Crew is have them be found
|lost in space after a accident with a worm hole or other space/time glitch..
|
|Maybe age Jemison a few years (makeup and such) and have her as the only
>survivour of a failed shuttle mission that got lost.. 


Of course that asumes the mission was able to launch :-)

"
sci.space,"From: rls@uihepa.hep.uiuc.edu (Ray Swartz (Oh, that guy again))
Subject: Re: japanese moon landing?
Reply-To: rls@uihepa.hep.uiuc.edu
Organization: Vis-Orb Tragnetics Recorporation
Lines: 35

In article <C5L2xt.IqD@zoo.toronto.edu>, henry@zoo.toronto.edu (Henry Spencer) writes:
>In article <C5Kys1.C6r@panix.com> dannyb@panix.com (Daniel Burstein) writes:
>>A short story in the newspaper a few days ago made some sort of mention
>>about how the Japanese, using what sounded like a gravity assist, had just
>>managed to crash (or crash-land) a package on the moon.
>
>Their Hiten engineering-test mission spent a while in a highly eccentric
>Earth orbit doing lunar flybys, and then was inserted into lunar orbit
>using some very tricky gravity-assist-like maneuvering.  This meant that
>it would crash on the Moon eventually, since there is no such thing as
>a stable lunar orbit (as far as anyone knows), and I believe I recall
>hearing recently that it was about to happen.


The gravity maneuvering that was used was to exploit 'fuzzy regions'.  These
are described by the inventor as exploiting the second-order perturbations in a
three body system.  The probe was launched into this region for the
earth-moon-sun system, where the perturbations affected it in such a way as to
allow it to go into lunar orbit without large expenditures of fuel to slow
down. The idea is that 'natural objects sometimes get captured without
expending fuel, we'll just find the trajectory that makes it possible"". The
originator of the technique said that NASA wasn't interested, but that Japan
was because their probe was small and couldn't hold a lot of fuel for
deceleration.

	This from an issue of 'Science News' or 'The Planetary Report' I
believe, about 2 months ago(?).


Raymond L. Swartz Jr. (rls@uihepa.hep.uiuc.edu)
================================================================================
I read the newspaper today and was amazed that, in 24 hours, five billion
people could accomplish so little.
================================================================================

"
talk.politics.guns,"From: gardner@convex.com (Steve Gardner)
Subject: Re: Gov't break-ins (Re: 60 minutes)
Nntp-Posting-Host: imagine.convex.com
Organization: Engineering, CONVEX Computer Corp., Richardson, Tx., USA
X-Disclaimer: This message was written by a user at CONVEX Computer
              Corp. The opinions expressed are those of the user and
              not necessarily those of CONVEX.
Lines: 25

In article <1993Apr5.155733.114@pasadena-dc.bofa.com> franceschi@pasadena-dc.bofa.com writes:
>In Viet Nam, Lt Calley was tried and convicted of murder because his
>troops, in a war setting, deliberately killed innocent people. It is time
>that the domestic law enforcement agencies in this country adhere to
>standards at least as moral as the military's.
	Here! Here!  But any call for responsibility and accountability 
	from police is invariably interpreted as being ""soft on crime"".
	Being ""tough on crime"" and building more prisons and seizing more
	property is the politically astute thing to do these days.


>Greed killed the rancher, possibly greed killed the Davidian children.
>Government greed.
	And citizen complacency!

>It is time to prosecute the leaders who perform these invasions.
	Don't forget the politicians that write the laws that make it
	easy for the police agencies to become corrupt.  The War on Some
	Drugs brought us this corruption and only an end to it (legalization)
	will stop the corruption.


						smg


"
rec.autos,"From: zowie@daedalus.stanford.edu (Craig ""Powderkeg"" DeForest)
Subject: Re: Quick question
Organization: Stanford Center for Space Science and Astrophysics
Lines: 8
NNTP-Posting-Host: daedalus.stanford.edu
In-reply-to: ssave@ole.cdac.com's message of Mon, 5 Apr 1993 21:14:57 GMT

In article <foo> ssave@ole.cdac.com (The Devil Reincarnate) writes:
    How do you take off the driver side door panel from the inside
   on an '87 Honda Prelude?  The speaker went scratchy, and I want
   to access its pins.

Why are you posting this tripe to rec.autos.vw?
--
DON'T DRINK SOAP! DILUTE DILUTE! OK!
"
talk.politics.guns,"From: HADCRJAM@admin.uh.edu (MILLER, JIMMY A.)
Subject: Re: BATF/FBI revenge
Organization: University of Houston Administrative Computing
Lines: 38
Distribution: world
NNTP-Posting-Host: uhad2.admin.uh.edu
X-News-Reader: VMS NEWS 1.24
In-Reply-To: donb@netcom.com's message of Tue, 20 Apr 1993 17:10:52 GMT

In <donbC5sL24.Ewu@netcom.com> donb@netcom.com writes:

> Anyway, here's how I see the Waco affair; I'd be interested in other peoples'
> interpretations...
> 
> 1. Koresh and his people were basically minding their own business.
> 2. Some weapons violations may have been committed and I wouldn't have
>    disapproved of prosecuting him for those violations.  However, I think
>    the BATF was criminal for starting negotiations with a military style
>    assault and for firing into a house where there were children and other
>    noncombatants.
> 3. I don't see they couldn't just leave a token guard on the place and wait
>    the BDs out; I don't approve of the tear gas approach and, if it caused
>    the fire to be started, I think the FBI agent responsible should spend
>    10-20 years in jail.

  I think the legal term would be ""negligent homicide""

> 4. However, if Koresh's response to the tear gas was to kill everyone there,
>    I hold him largely responsible for their deaths.


  Well, it's nice to see someone with a brain, a general lack of paranoia, and
a willingness to put his thoughts in public.  I tend to agree with all you have
said.

  ""Never assume foul motives when stupidity will do."" -- Jim's Corrolary to 
						          Occam's Razor

semper fi,

Jammer Jim Miller 
Texas A&M University '89 and '91
________________________________________________________________________________
 I don't speak for UH, which is too bad, because they could use the help.     
""Become one with the Student Billing System. *BE* the Student Billing System.""
 ""Power finds its way to those who take a stand.  Stand up, Ordinary Man.""    
      ---Rik Emmet, Gil Moore, Mike Levine: Triumph 		              
"
rec.sport.baseball,"From: shippert@cco.caltech.edu (Tim Shippert)
Subject: Re: Infield Fly Rule
Organization: California Institute of Technology, Pasadena
Lines: 25
NNTP-Posting-Host: sandman.caltech.edu

jrogoff@scott.skidmore.edu (jay rogoff) writes:

>One last infield fly question that has always puzzled me and hasn't
>yet been addressed.  I believe the rule also does *not* deal with this
>situation:

>However, if the Infield Fly is *not* caught, at what point can a runner
>legally leave his base w/o fear of being doubled off for advancing too
>early?  

	The runner can leave his base at any time.  If the ball is caught,
he's got to tag up.  If it isn't caught, he _doesn't_ have to tag up at
all.  So, if he's feeling lucky, your runner at second can sprint for glory
as soon as the ball is popped up.  If it isn't caught, he's probably scored
a run.  If it is, he's probably headed for AAA.  

	The only effect the infield fly has is to make the batter out,
thereby removing the force on the runners on base.  All other rules apply,
as if you were standing second with first open and the ball is popped up.

-- 
Tim Shippert                                 shippert@cco.caltech.edu
""If we are going to stick to this damned quantum-jumping, then I regret
that I ever had anything to do with quantum theory.""
					-E. Schrodinger
"
rec.autos,"From: aas7@po.CWRU.Edu (Andrew A. Spencer)
Subject: Re: wife wants convertible
Organization: Case Western Reserve University, Cleveland, OH (USA)
Lines: 17
Reply-To: aas7@po.CWRU.Edu (Andrew A. Spencer)
NNTP-Posting-Host: slc5.ins.cwru.edu


In a previous article, nuet_ke@pts.mot.com (KEITH NUETZMAN X3153 P7625) says:

>
>HELP!!!
>my wife has informed me that she wants a convertible for her next car.
>We live in South Fla., so we are definitely in the right are for one.
>My wife has mentioned the Miata, but I think it is too small.
>I would like to wait for the new Mustangs ( Dec. '93 I think).
>Anyone have any opinions on any/all convertibles in a reasonable price range.
>
>                                           Thanx
>

Geo Metro LSi
:-)
DREW
"
