state,order_date,revenue
Oklahoma,2014-08-30,531.0
Kansas,2014-06-25,1227.0
Mississippi,2014-03-12,607.0
Nebraska,2014-05-21,790.0
New Mexico,2014-11-14,1178.0
Oregon,2014-02-10,607.0
Iowa,2014-07-10,1085.0
New York,2014-01-01,848.0
Georgia,2014-11-08,1108.0
Arkansas,2014-11-11,1245.0
Arkansas,2014-08-24,1236.0
Delaware,2014-10-11,922.0
Ohio,2014-02-19,678.0
Texas,2014-11-09,1266.0
Arkansas,2014-12-14,1341.0
Texas,2014-11-08,1206.0
Kansas,2014-11-04,976.0
Missouri,2014-11-10,937.0
Oklahoma,2014-02-03,600.0
Kansas,2014-09-29,1030.0
Florida,2014-12-18,740.0
Texas,2014-09-13,1188.0
Nevada,2014-11-05,492.0
Oklahoma,2014-01-20,602.0
Florida,2014-11-25,988.0
Florida,2014-06-08,891.0
Alaska,2014-10-18,680.0
Florida,2014-11-17,821.0
Oklahoma,2014-05-04,679.0
New Mexico,2014-07-05,1157.0
Delaware,2014-04-19,998.0
Oregon,2014-06-09,799.0
Ohio,2014-03-14,710.0
Florida,2014-12-20,777.0
Mississippi,2014-02-14,589.0
Iowa,2014-11-23,922.0
Delaware,2014-08-30,934.0
California,2014-03-24,716.0
Louisiana,2014-06-23,1356.0
Oklahoma,2014-07-26,474.0
New Mexico,2014-10-12,1198.0
Nevada,2014-02-19,449.0
Indiana,2014-06-11,567.0
Washington,2014-04-08,1041.0
Texas,2014-02-27,1553.0
Louisiana,2014-12-22,1339.0
Nevada,2014-04-14,553.0
Nebraska,2014-06-11,695.0
Montana,2014-08-22,944.0
Illinois,2014-10-01,1451.0
Indiana,2014-06-21,634.0
Idaho,2014-11-23,1399.0
Oklahoma,2014-03-15,603.0
Oregon,2014-09-27,795.0
Illinois,2014-03-21,1562.0
Maine,2014-01-27,508.0
Indiana,2014-10-23,658.0
Illinois,2014-06-21,1667.0
Delaware,2014-08-06,692.0
New York,2014-01-18,853.0
Nevada,2014-06-20,484.0
Montana,2014-06-03,1031.0
California,2014-03-26,733.0
Indiana,2014-06-01,506.0
Montana,2014-03-31,992.0
Washington,2014-09-01,971.0
Nevada,2014-05-02,479.0
Montana,2014-10-08,840.0
New Mexico,2014-08-18,1076.0
Oregon,2014-03-14,751.0
Mississippi,2014-06-15,690.0
New York,2014-01-10,667.0
Iowa,2014-09-29,1218.0
Mississippi,2014-08-30,722.0
Arkansas,2014-11-07,1122.0
Illinois,2014-12-20,1275.0
Alaska,2014-04-08,722.0
California,2014-03-09,713.0
Ohio,2014-03-05,799.0
Montana,2014-10-23,803.0
Nebraska,2014-03-18,766.0
New Mexico,2014-11-22,1119.0
New York,2014-09-22,702.0
Florida,2014-10-16,1067.0
Georgia,2014-09-25,1317.0
Oklahoma,2014-12-02,573.0
Iowa,2014-12-24,1028.0
Kansas,2014-11-28,1202.0
Alaska,2014-09-06,678.0
Indiana,2014-06-11,648.0
Indiana,2014-12-21,458.0
Delaware,2014-09-23,792.0
Georgia,2014-11-01,1250.0
Nebraska,2014-05-30,838.0
New York,2014-04-09,509.0
New Mexico,2014-09-22,1097.0
New Mexico,2014-06-09,1269.0
Iowa,2014-07-12,1187.0
Kansas,2014-05-12,1259.0
California,2014-04-07,634.0
Idaho,2014-09-30,1261.0
Alaska,2014-09-16,513.0
Kansas,2014-07-30,1319.0
Delaware,2014-07-01,818.0
Nevada,2014-04-19,536.0
Washington,2014-09-04,901.0
Idaho,2014-07-21,1412.0
Oklahoma,2014-01-24,655.0
New York,2014-03-01,715.0
Texas,2014-11-22,1066.0
California,2014-01-24,832.0
Arkansas,2014-10-25,1155.0
Alaska,2014-10-02,569.0
Illinois,2014-04-19,1581.0
Mississippi,2014-08-28,510.0
Kansas,2014-11-01,1166.0
Maine,2014-04-14,226.0
Delaware,2014-07-14,947.0
Indiana,2014-01-12,739.0
Nevada,2014-03-28,335.0
Arkansas,2014-12-24,1296.0
Oregon,2014-07-18,817.0
Washington,2014-08-13,985.0
Texas,2014-05-18,1573.0
Louisiana,2014-07-17,1637.0
Nevada,2014-02-25,440.0
Kansas,2014-09-12,1089.0
Texas,2014-08-29,1113.0
Ohio,2014-01-17,623.0
Missouri,2014-04-28,1306.0
Missouri,2014-07-16,1305.0
Indiana,2014-01-23,641.0
Mississippi,2014-02-02,736.0
Delaware,2014-06-08,756.0
Nebraska,2014-04-20,636.0
New York,2014-01-21,893.0
Oregon,2014-04-07,644.0
Oregon,2014-09-02,705.0
Oklahoma,2014-10-28,539.0
Kansas,2014-09-20,1271.0
Washington,2014-12-07,844.0
Ohio,2014-01-05,737.0
Idaho,2014-05-21,1380.0
Florida,2014-12-06,681.0
Nevada,2014-08-17,360.0
Ohio,2014-05-01,701.0
Mississippi,2014-05-26,761.0
Ohio,2014-01-23,762.0
Nevada,2014-03-29,500.0
Texas,2014-10-01,1257.0
Oregon,2014-03-09,815.0
Washington,2014-11-09,999.0
Maine,2014-02-18,368.0
Illinois,2014-04-02,1363.0
Oklahoma,2014-08-24,651.0
Maine,2014-05-11,471.0
Florida,2014-06-16,892.0
Nebraska,2014-02-22,902.0
Delaware,2014-11-08,786.0
Ohio,2014-12-05,667.0
New Mexico,2014-10-14,1118.0
Alaska,2014-06-07,633.0
Nevada,2014-01-07,342.0
New York,2014-04-15,749.0
Montana,2014-12-08,810.0
Georgia,2014-09-12,1282.0
Kansas,2014-09-13,1187.0
Montana,2014-07-05,989.0
Louisiana,2014-05-20,1352.0
Nebraska,2014-09-30,788.0
Nevada,2014-01-06,675.0
California,2014-05-13,711.0
Nebraska,2014-04-21,635.0
Kansas,2014-07-24,1295.0
Texas,2014-10-10,1169.0
Florida,2014-07-27,997.0
New Mexico,2014-04-28,1067.0
Oregon,2014-05-14,812.0
California,2014-02-19,807.0
Iowa,2014-08-29,1173.0
Missouri,2014-10-27,1151.0
Texas,2014-09-11,1309.0
Indiana,2014-06-17,579.0
Missouri,2014-08-31,992.0
Missouri,2014-06-02,1192.0
Idaho,2014-12-02,1248.0
Indiana,2014-03-18,480.0
Illinois,2014-11-06,1318.0
Kansas,2014-04-22,1190.0
Washington,2014-06-28,893.0
Alaska,2014-02-07,623.0
Delaware,2014-11-10,855.0
Oklahoma,2014-04-18,489.0
Illinois,2014-10-15,1391.0
Texas,2014-11-09,1321.0
Ohio,2014-01-21,778.0
Mississippi,2014-09-05,383.0
Montana,2014-10-11,905.0
Nevada,2014-04-27,650.0
Ohio,2014-09-12,598.0
Idaho,2014-12-11,1194.0
Nevada,2014-05-08,558.0
Oregon,2014-01-09,879.0
Idaho,2014-07-24,1501.0
Missouri,2014-10-29,1111.0
Florida,2014-09-23,913.0
Maine,2014-04-16,239.0
Oregon,2014-09-26,749.0
Ohio,2014-01-23,805.0
Oklahoma,2014-05-06,751.0
Arkansas,2014-10-30,1140.0
Arkansas,2014-09-20,1276.0
New Mexico,2014-09-29,1072.0
Georgia,2014-07-30,1222.0
Idaho,2014-11-03,1323.0
Montana,2014-10-04,1025.0
Nevada,2014-05-27,200.0
Delaware,2014-07-26,926.0
Delaware,2014-08-13,860.0
Mississippi,2014-02-22,583.0
Ohio,2014-04-12,581.0
Indiana,2014-08-22,478.0
Delaware,2014-12-23,981.0
Indiana,2014-02-15,732.0
Illinois,2014-08-22,1451.0
Mississippi,2014-03-27,705.0
Texas,2014-08-15,1153.0
Oklahoma,2014-01-08,475.0
Missouri,2014-06-15,1219.0
Oregon,2014-06-05,751.0
Louisiana,2014-11-02,1443.0
Washington,2014-12-19,754.0
Illinois,2014-05-14,1515.0
Illinois,2014-05-23,1342.0
Mississippi,2014-10-05,559.0
Oklahoma,2014-01-13,479.0
Illinois,2014-08-07,1384.0
Kansas,2014-09-07,1287.0
Kansas,2014-03-16,1361.0
Idaho,2014-08-13,1249.0
Illinois,2014-12-20,1267.0
Alaska,2014-03-30,635.0
Maine,2014-06-02,307.0
Washington,2014-10-18,914.0
Illinois,2014-09-24,1280.0
Florida,2014-07-11,914.0
Mississippi,2014-03-05,555.0
California,2014-01-25,698.0
Ohio,2014-04-09,691.0
Louisiana,2014-12-01,1219.0
Oregon,2014-03-16,724.0
Indiana,2014-10-04,595.0
New Mexico,2014-10-30,1055.0
Missouri,2014-12-04,1157.0
Iowa,2014-09-15,1207.0
Oregon,2014-02-07,668.0
Ohio,2014-09-19,587.0
New York,2014-03-20,689.0
Georgia,2014-06-07,1369.0
Arkansas,2014-09-30,1046.0
New York,2014-03-11,700.0
Nevada,2014-01-01,437.0
Louisiana,2014-10-17,1402.0
Indiana,2014-09-09,507.0
Louisiana,2014-06-28,1446.0
Delaware,2014-12-12,778.0
New York,2014-02-23,758.0
Idaho,2014-08-12,1442.0
Texas,2014-12-08,1213.0
Louisiana,2014-08-26,1421.0
Texas,2014-11-08,1152.0
New Mexico,2014-09-10,1098.0
Nebraska,2014-06-05,698.0
California,2014-06-23,603.0
Georgia,2014-09-14,1410.0
Montana,2014-07-10,1094.0
Idaho,2014-09-09,1348.0
New Mexico,2014-03-19,1298.0
California,2014-05-14,589.0
Texas,2014-06-25,1336.0
Indiana,2014-07-28,832.0
Louisiana,2014-05-28,1565.0
Alaska,2014-02-02,543.0
Maine,2014-02-08,393.0
Indiana,2014-04-27,583.0
Maine,2014-05-10,416.0
Montana,2014-05-15,892.0
Oregon,2014-07-21,724.0
Kansas,2014-08-26,1152.0
Montana,2014-09-15,905.0
Indiana,2014-01-08,759.0
Alaska,2014-05-21,644.0
Alaska,2014-10-14,701.0
Kansas,2014-01-20,1153.0
New York,2014-03-17,813.0
Oregon,2014-05-10,741.0
Indiana,2014-04-28,599.0
California,2014-04-12,726.0
Mississippi,2014-02-14,758.0
Oklahoma,2014-06-01,767.0
Ohio,2014-03-21,761.0
Nebraska,2014-02-03,855.0
New York,2014-03-27,760.0
New Mexico,2014-06-04,1223.0
Kansas,2014-09-18,1099.0
Alaska,2014-02-24,690.0
Texas,2014-09-04,1231.0
Texas,2014-10-30,1159.0
Kansas,2014-10-14,1134.0
Oregon,2014-02-11,671.0
Missouri,2014-11-18,1078.0
New York,2014-01-17,869.0
Georgia,2014-12-19,1155.0
Maine,2014-03-22,331.0
Maine,2014-07-04,483.0
New York,2014-12-06,646.0
Ohio,2014-04-26,627.0
New York,2014-02-27,753.0
Montana,2014-10-12,775.0
Mississippi,2014-09-18,491.0
Florida,2014-08-21,847.0
Oregon,2014-03-06,611.0
Idaho,2014-07-30,1331.0
Kansas,2014-06-16,1132.0
Oregon,2014-02-06,894.0
Oklahoma,2014-02-21,636.0
Nevada,2014-02-21,475.0
California,2014-06-23,659.0
New Mexico,2014-07-28,1139.0
Arkansas,2014-09-23,1311.0
Alaska,2014-07-14,600.0
Florida,2014-05-28,975.0
New Mexico,2014-09-08,1236.0
Texas,2014-07-10,1112.0
Mississippi,2014-12-26,559.0
Illinois,2014-08-04,1577.0
New York,2014-03-25,837.0
Maine,2014-09-29,459.0
Arkansas,2014-11-09,1120.0
Oregon,2014-01-08,903.0
Idaho,2014-12-24,1198.0
Nebraska,2014-07-10,676.0
New Mexico,2014-06-19,1210.0
Georgia,2014-05-02,1405.0
New Mexico,2014-11-09,1059.0
Washington,2014-10-03,872.0
Nevada,2014-02-28,424.0
Maine,2014-01-12,454.0
Iowa,2014-08-22,1214.0
Missouri,2014-09-03,1256.0
Indiana,2014-07-26,453.0
Washington,2014-10-10,679.0
Georgia,2014-09-14,1094.0
Indiana,2014-08-10,644.0
Washington,2014-11-23,877.0
Florida,2014-12-21,707.0
Indiana,2014-01-10,675.0
Missouri,2014-08-19,1201.0
Louisiana,2014-12-02,1460.0
Louisiana,2014-11-18,1566.0
New York,2014-10-19,571.0
New York,2014-06-27,585.0
Illinois,2014-07-01,1385.0
Maine,2014-10-20,224.0
Missouri,2014-12-07,1257.0
Missouri,2014-08-23,1141.0
Texas,2014-10-15,1032.0
Nevada,2014-07-28,305.0
Nevada,2014-06-07,284.0
Montana,2014-11-09,1017.0
Nebraska,2014-09-29,740.0
Texas,2014-11-08,1024.0
Texas,2014-12-06,989.0
Alaska,2014-05-20,571.0
Washington,2014-09-21,936.0
Idaho,2014-12-06,1230.0
Arkansas,2014-11-02,1263.0
California,2014-05-20,567.0
Indiana,2014-06-23,550.0
Oregon,2014-02-28,696.0
Oklahoma,2014-02-13,567.0
Montana,2014-12-02,791.0
Idaho,2014-07-05,1307.0
Washington,2014-05-19,877.0
Washington,2014-10-23,1036.0
New York,2014-05-02,977.0
Oklahoma,2014-07-07,544.0
Mississippi,2014-02-12,717.0
Florida,2014-07-14,1084.0
Iowa,2014-04-13,1309.0
Mississippi,2014-07-21,671.0
Maine,2014-01-18,502.0
New Mexico,2014-11-17,1177.0
California,2014-03-30,793.0
Montana,2014-09-21,826.0
Texas,2014-12-19,1208.0
Nevada,2014-03-13,451.0
Washington,2014-10-11,908.0
Montana,2014-06-22,1052.0
Indiana,2014-08-31,368.0
Kansas,2014-10-29,1001.0
Indiana,2014-05-09,644.0
Indiana,2014-01-04,639.0
Oregon,2014-02-18,909.0
California,2014-08-06,819.0
Washington,2014-10-31,809.0
Arkansas,2014-06-03,1320.0
Illinois,2014-10-05,1505.0
Alaska,2014-03-14,570.0
Ohio,2014-07-29,503.0
Indiana,2014-06-01,659.0
California,2014-06-07,506.0
Oregon,2014-12-23,687.0
New York,2014-03-29,801.0
Indiana,2014-08-15,562.0
Louisiana,2014-09-01,1418.0
Mississippi,2014-02-17,550.0
California,2014-02-03,574.0
California,2014-03-27,695.0
Florida,2014-09-03,824.0
Florida,2014-03-27,940.0
Montana,2014-09-08,848.0
New Mexico,2014-06-22,1004.0
Louisiana,2014-12-10,1441.0
Indiana,2014-01-18,542.0
New Mexico,2014-09-15,1252.0
Florida,2014-02-27,912.0
Texas,2014-08-06,1228.0
New Mexico,2014-11-29,900.0
Ohio,2014-04-09,734.0
Delaware,2014-10-18,840.0
California,2014-06-17,594.0
Kansas,2014-10-17,1022.0
Indiana,2014-04-27,429.0
Ohio,2014-01-25,627.0
Illinois,2014-05-29,1545.0
Iowa,2014-08-25,1173.0
Delaware,2014-05-13,1108.0
Missouri,2014-10-15,1055.0
Mississippi,2014-06-21,724.0
Iowa,2014-10-03,1182.0
Montana,2014-07-22,886.0
Idaho,2014-10-22,1254.0
Iowa,2014-11-27,960.0
Iowa,2014-09-11,964.0
Nebraska,2014-01-10,796.0
Indiana,2014-11-15,601.0
Oregon,2014-02-28,790.0
New York,2014-05-06,777.0
Mississippi,2014-07-30,495.0
Delaware,2014-09-14,971.0
Florida,2014-10-19,856.0
Nevada,2014-03-27,371.0
Oregon,2014-02-01,920.0
Ohio,2014-02-28,752.0
Nebraska,2014-08-14,743.0
Maine,2014-01-31,389.0
Washington,2014-12-10,723.0
Missouri,2014-11-25,1068.0
Missouri,2014-04-08,1156.0
Florida,2014-09-13,780.0
Louisiana,2014-11-05,1332.0
Florida,2014-02-11,1149.0
Alaska,2014-01-25,710.0
Idaho,2014-11-01,1046.0
Idaho,2014-05-16,1414.0
Texas,2014-11-16,1350.0
Idaho,2014-12-10,1147.0
Georgia,2014-12-21,1004.0
Delaware,2014-04-12,952.0
Maine,2014-09-16,367.0
Nebraska,2014-03-26,783.0
Washington,2014-05-29,954.0
Missouri,2014-05-20,1153.0
Washington,2014-11-19,695.0
Nevada,2014-04-13,605.0
Delaware,2014-12-14,931.0
Delaware,2014-06-28,729.0
Ohio,2014-05-01,631.0
Texas,2014-10-31,1052.0
Idaho,2014-09-19,1282.0
Montana,2014-10-09,770.0
Montana,2014-11-27,815.0
Illinois,2014-06-23,1580.0
Arkansas,2014-06-11,1139.0
Washington,2014-10-16,877.0
Nevada,2014-02-17,665.0
California,2014-10-30,516.0
New York,2014-01-31,720.0
Delaware,2014-12-04,821.0
New York,2014-02-03,792.0
Florida,2014-11-05,921.0
Nebraska,2014-05-05,658.0
Illinois,2014-04-13,1499.0
California,2014-05-05,620.0
Oregon,2014-10-29,786.0
Arkansas,2014-08-12,1435.0
Iowa,2014-08-11,1169.0
Alaska,2014-07-14,701.0
Indiana,2014-09-16,555.0
Alaska,2014-06-22,663.0
Alaska,2014-10-11,599.0
Oklahoma,2014-03-20,484.0
Nebraska,2014-04-19,935.0
Delaware,2014-03-23,961.0
Oregon,2014-09-25,689.0
Maine,2014-03-14,467.0
Maine,2014-01-26,331.0
Kansas,2014-09-21,1093.0
New York,2014-01-17,948.0
Maine,2014-04-23,209.0
Missouri,2014-12-24,1194.0
Montana,2014-11-06,691.0
Washington,2014-10-27,860.0
Maine,2014-02-26,619.0
Missouri,2014-12-16,1023.0
Arkansas,2014-02-06,1399.0
Kansas,2014-06-23,1261.0
Iowa,2014-08-05,1062.0
Louisiana,2014-10-20,1395.0
Oklahoma,2014-02-24,644.0
