date,airline,origin,dest,dep_time,arr_time,cancelled,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2018-01-01,9E,JFK,DTW,1845,2112,0,89.0,509.0,0,0,0,0,0
2018-01-01,UA,DEN,EWR,1848,24,0,182.0,1605.0,0,0,0,0,0
2018-01-01,WN,PHX,LAX,1855,1920,0,60.0,370.0,0,0,0,0,0
2018-01-01,YX,DCA,ORD,1900,2024,0,99.0,612.0,0,0,0,0,0
2018-01-01,AA,DTW,DFW,1910,2120,0,143.0,986.0,0,0,0,0,0
2018-01-01,NK,IAH,DTW,1930,2305,0,135.0,1075.0,0,0,0,0,0
2018-01-01,B6,EWR,MCO,1935,2228,0,155.0,937.0,0,0,37,0,116
2018-01-01,F9,LAS,DEN,1940,2238,0,83.0,628.0,0,0,0,0,0
2018-01-01,F9,DEN,IAH,1959,2319,0,102.0,862.0,0,0,0,0,0
2018-01-01,UA,SFO,LAX,2000,2143,0,57.0,337.0,0,0,0,0,0
2018-01-01,UA,IAH,DTW,2004,2357,0,136.0,1075.0,0,0,0,0,0
2018-01-01,YX,DTW,DFW,2005,2234,0,143.0,986.0,0,0,0,0,0
2018-01-01,VX,LAX,SFO,2010,2137,0,54.0,337.0,0,0,0,0,0
2018-01-01,DL,DTW,PHL,2014,2209,0,63.0,453.0,14,0,0,0,14
2018-01-01,UA,EWR,BOS,2020,2139,0,40.0,200.0,34,0,0,0,0
2018-01-01,NK,LAS,LAX,2022,2146,0,40.0,236.0,0,0,0,0,0
2018-01-01,UA,DEN,EWR,2025,202,0,182.0,1605.0,0,0,0,0,0
2018-01-01,UA,IAH,SFO,2025,2252,0,232.0,1635.0,0,0,0,0,0
2018-01-01,UA,MCO,EWR,2037,2317,0,120.0,937.0,0,0,0,0,0
2018-01-01,AS,SEA,PHX,2055,37,0,136.0,1107.0,0,0,0,0,0
2018-01-01,AA,LAS,DFW,2057,134,0,121.0,1055.0,0,0,0,0,0
2018-01-01,AA,PHX,LAX,2105,2148,0,58.0,370.0,0,0,0,0,0
2018-01-01,AA,DFW,PHX,2115,2252,0,125.0,868.0,0,0,0,0,0
2018-01-01,AA,LAX,MCO,2130,515,0,249.0,2218.0,0,0,0,0,0
2018-01-01,DL,SFO,JFK,2130,600,0,290.0,2586.0,22,0,0,0,0
2018-01-01,AA,ORD,LAX,2150,27,0,230.0,1744.0,0,0,0,0,0
2018-01-01,WN,DEN,LAX,2220,5,0,118.0,862.0,0,0,0,0,0
2018-01-01,UA,SFO,MCO,2232,649,0,261.0,2446.0,0,0,0,0,0
2018-01-01,AA,PHX,DEN,2245,35,0,80.0,602.0,0,0,0,0,0
2018-01-01,DL,LAX,JFK,2255,720,0,285.0,2475.0,0,0,0,0,0
2018-01-01,NK,LAX,DTW,2259,616,0,228.0,1979.0,0,0,0,0,0
2018-01-01,AA,LAS,CLT,2305,609,0,210.0,1916.0,0,0,0,0,0
2018-01-02,AA,SEA,DFW,15,558,0,189.0,1660.0,0,0,0,0,0
2018-01-02,AA,CLT,MCO,20,156,0,71.0,468.0,23,0,0,0,0
2018-01-02,F9,LAX,DEN,55,419,0,107.0,862.0,0,0,0,0,0
2018-01-02,AA,SFO,PHL,56,913,0,288.0,2521.0,0,0,0,0,0
2018-01-02,AA,PHX,MSP,59,459,0,157.0,1276.0,1,0,16,0,0
2018-01-02,AA,ORD,DFW,515,748,0,112.0,802.0,0,0,0,0,0
2018-01-02,AS,SEA,SFO,525,736,0,102.0,679.0,0,0,0,0,0
2018-01-02,UA,LAS,DEN,550,843,0,89.0,628.0,0,0,0,0,0
2018-01-02,DL,PHL,MSP,600,807,0,145.0,980.0,0,0,0,0,0
2018-01-02,AA,EWR,PHX,600,1002,0,291.0,2133.0,0,0,0,0,0
2018-01-02,NK,PHL,LAX,600,933,0,294.0,2402.0,0,0,0,0,0
2018-01-02,NK,MSP,LAS,600,745,0,159.0,1299.0,111,0,0,0,0
2018-01-02,9E,DCA,JFK,600,718,0,49.0,213.0,0,0,19,0,0
2018-01-02,UA,DEN,ORD,600,928,0,120.0,888.0,0,0,0,0,0
2018-01-02,AA,DFW,LAX,600,728,0,186.0,1235.0,29,0,13,0,0
2018-01-02,DL,PHL,DTW,600,749,0,76.0,453.0,421,0,19,0,0
2018-01-02,UA,ORD,CLT,605,859,0,84.0,599.0,0,0,0,0,0
2018-01-02,YX,EWR,DTW,605,814,0,88.0,488.0,0,0,0,0,0
2018-01-02,AA,JFK,CLT,630,845,0,86.0,541.0,46,0,0,0,0
2018-01-02,AA,DEN,LAX,645,850,0,123.0,862.0,0,0,0,0,0
2018-01-02,F9,DEN,LAS,650,755,0,82.0,628.0,0,0,0,0,0
2018-01-02,B6,BOS,DTW,655,917,0,101.0,632.0,0,0,0,0,0
2018-01-02,WN,ATL,BOS,655,925,0,115.0,946.0,0,0,0,0,0
2018-01-02,YX,DCA,LGA,700,823,0,48.0,214.0,0,0,0,0,0
2018-01-02,UA,DCA,ORD,700,814,0,97.0,612.0,0,0,0,0,0
2018-01-02,YX,DFW,LGA,700,1120,0,185.0,1389.0,11,0,9,0,0
2018-01-02,NK,DFW,MCO,700,1037,0,121.0,985.0,0,0,0,0,0
2018-01-02,YX,IAH,LGA,700,1132,0,198.0,1416.0,0,0,17,0,0
2018-01-02,9E,CLT,LGA,700,859,0,80.0,544.0,0,0,0,0,0
2018-01-02,B6,BOS,DCA,707,855,0,67.0,399.0,0,0,0,0,0
2018-01-02,DL,JFK,MCO,715,1022,0,148.0,944.0,0,0,0,0,0
2018-01-02,UA,BOS,DEN,720,1010,0,226.0,1754.0,0,0,0,0,0
2018-01-02,DL,MSP,ATL,725,1106,0,111.0,907.0,0,0,0,0,0
2018-01-02,DL,ATL,DTW,725,925,0,93.0,594.0,0,0,18,0,0
2018-01-02,UA,SFO,SEA,725,937,0,93.0,679.0,0,0,0,0,0
2018-01-02,YV,IAH,CLT,728,1059,0,114.0,912.0,0,0,0,0,0
2018-01-02,YV,MSP,IAH,730,1039,1,,1034.0,0,0,0,0,0
2018-01-02,UA,SFO,PHX,740,1041,0,95.0,651.0,0,0,0,0,0
2018-01-02,DL,SEA,JFK,740,1559,0,277.0,2422.0,0,0,0,0,0
2018-01-02,AA,CLT,JFK,748,949,0,83.0,541.0,0,0,0,0,0
2018-01-02,DL,SFO,MSP,750,1335,0,194.0,1589.0,0,0,0,0,0
2018-01-02,UA,MCO,DEN,750,1010,0,225.0,1546.0,0,0,0,0,0
2018-01-02,UA,LAX,DFW,755,1313,0,139.0,1235.0,0,0,0,0,0
2018-01-02,AA,DCA,ORD,757,922,0,95.0,612.0,0,0,0,0,0
2018-01-02,DL,DEN,LGA,800,1355,0,203.0,1620.0,0,0,0,0,0
2018-01-02,UA,LAX,EWR,800,1602,0,272.0,2454.0,0,0,0,0,0
2018-01-02,OO,SFO,MSP,800,1401,0,215.0,1589.0,0,0,0,0,0
2018-01-02,AA,CLT,LGA,804,1000,0,78.0,544.0,5,0,0,0,27
2018-01-02,UA,SFO,EWR,810,1626,0,283.0,2565.0,0,0,0,0,0
2018-01-02,AA,PHL,LAS,810,1050,0,283.0,2176.0,0,0,0,0,0
2018-01-02,UA,ORD,MCO,814,1154,0,132.0,1005.0,0,0,0,0,0
2018-01-02,NK,IAH,MCO,815,1129,0,98.0,854.0,0,0,0,0,0
2018-01-02,UA,PHX,ORD,819,1245,0,180.0,1440.0,0,0,0,0,0
2018-01-02,WN,LAS,PHX,825,1035,0,47.0,255.0,0,0,0,0,0
2018-01-02,YX,EWR,MSP,825,1044,0,156.0,1008.0,0,0,0,0,0
2018-01-02,9E,DTW,JFK,834,1029,0,87.0,509.0,0,0,0,0,0
2018-01-02,NK,LGA,ORD,835,1016,0,113.0,733.0,0,0,0,0,0
2018-01-02,UA,MCO,ORD,900,1056,0,138.0,1005.0,0,0,0,0,0
2018-01-02,UA,ORD,IAH,900,1157,0,133.0,925.0,0,0,0,0,0
2018-01-02,YX,ORD,LGA,900,1212,0,106.0,733.0,0,0,0,0,0
2018-01-02,WN,PHX,DEN,920,1105,0,87.0,602.0,0,0,0,0,0
2018-01-02,AA,MSP,ORD,925,1102,0,63.0,334.0,0,0,0,0,0
2018-01-02,DL,ATL,LGA,930,1141,0,95.0,762.0,0,0,0,0,0
2018-01-02,DL,ORD,ATL,930,1233,0,82.0,606.0,0,0,0,0,0
2018-01-02,YX,LGA,ATL,940,1226,0,119.0,762.0,2,0,0,0,50
2018-01-02,OO,DEN,ATL,952,1451,0,146.0,1199.0,0,0,0,0,0
2018-01-02,UA,DEN,BOS,955,1546,0,205.0,1754.0,0,0,0,0,0
2018-01-02,NK,MSP,PHX,959,1239,0,167.0,1276.0,0,0,0,0,0
2018-01-02,WN,PHX,MCO,1000,1605,0,197.0,1849.0,0,0,0,0,0
2018-01-02,AA,SFO,DFW,1004,1530,0,167.0,1464.0,0,0,0,0,0
2018-01-02,AA,LAX,PHX,1010,1240,0,56.0,370.0,0,0,28,0,0
2018-01-02,DL,PHX,MSP,1014,1430,0,166.0,1276.0,97,0,0,0,0
2018-01-02,YV,IAH,CLT,1025,1355,0,116.0,912.0,0,0,0,0,0
2018-01-02,AA,LGA,DFW,1030,1345,0,197.0,1389.0,7,0,0,0,10
2018-01-02,WN,DTW,ATL,1040,1245,0,98.0,594.0,0,0,0,0,0
2018-01-02,UA,SFO,DEN,1050,1429,0,128.0,967.0,0,0,0,0,0
2018-01-02,DL,ATL,LAX,1050,1259,0,271.0,1947.0,0,0,0,0,0
2018-01-02,DL,ATL,MSP,1053,1240,0,131.0,907.0,0,0,0,0,0
2018-01-02,B6,JFK,MCO,1100,1357,0,143.0,944.0,0,0,0,0,0
2018-01-02,B6,PHL,BOS,1104,1225,0,52.0,280.0,56,0,0,0,10
2018-01-02,AA,DFW,MCO,1105,1441,0,121.0,985.0,0,0,0,0,0
2018-01-02,YX,MSP,EWR,1120,1511,0,133.0,1008.0,0,0,0,0,0
2018-01-02,DL,JFK,ATL,1125,1409,0,110.0,760.0,0,0,0,0,0
2018-01-02,WN,LAS,LAX,1125,1240,0,40.0,236.0,0,0,0,0,0
2018-01-02,WN,DEN,ATL,1135,1625,0,138.0,1199.0,0,0,0,0,0
2018-01-02,UA,MSP,DEN,1150,1301,0,92.0,680.0,0,0,0,0,0
2018-01-02,B6,LAX,JFK,1155,2017,0,313.0,2475.0,0,0,19,0,0
2018-01-02,AA,DCA,DFW,1155,1434,0,175.0,1192.0,0,0,0,0,0
2018-01-02,AS,LAX,SEA,1200,1454,0,133.0,954.0,0,0,0,0,0
2018-01-02,DL,DTW,PHX,1200,1439,0,216.0,1671.0,0,0,0,0,0
2018-01-02,WN,ATL,LGA,1215,1425,0,99.0,762.0,0,0,0,0,0
2018-01-02,AA,LAS,CLT,1215,1927,0,214.0,1916.0,0,0,0,0,0
2018-01-02,AA,BOS,DFW,1226,1558,0,220.0,1562.0,0,0,0,0,0
2018-01-02,AA,SFO,PHX,1229,1530,0,88.0,651.0,0,0,0,0,0
2018-01-02,AA,LAS,PHL,1235,2010,1,,2176.0,0,0,0,0,0
2018-01-02,AA,MSP,ORD,1243,1417,0,60.0,334.0,0,0,0,0,0
2018-01-02,AA,DFW,ATL,1255,1557,0,90.0,731.0,9,0,47,0,0
2018-01-02,DL,ATL,EWR,1304,1510,0,100.0,746.0,0,0,0,0,0
2018-01-02,DL,JFK,ATL,1335,1619,0,108.0,760.0,0,0,0,0,0
2018-01-02,NK,EWR,MCO,1340,1631,0,142.0,937.0,0,0,0,0,0
2018-01-02,UA,EWR,MCO,1340,1635,0,149.0,937.0,0,0,0,0,0
2018-01-02,UA,LGA,IAH,1350,1700,0,194.0,1416.0,0,0,0,0,0
2018-01-02,AA,PHX,DCA,1350,2002,0,223.0,1979.0,0,0,0,0,0
2018-01-02,VX,LAX,JFK,1350,2205,0,291.0,2475.0,153,0,5,0,0
2018-01-02,DL,ATL,MCO,1355,1527,0,65.0,404.0,0,0,0,0,0
2018-01-02,B6,BOS,DCA,1400,1540,0,70.0,399.0,20,0,0,0,0
2018-01-02,UA,MCO,ORD,1435,1637,0,141.0,1005.0,54,0,0,0,0
2018-01-02,UA,SFO,IAH,1452,2038,0,188.0,1635.0,0,0,0,0,0
2018-01-02,DL,ATL,EWR,1452,1701,0,100.0,746.0,0,0,0,0,0
2018-01-02,DL,DCA,DTW,1455,1643,0,66.0,405.0,0,0,0,0,0
2018-01-02,UA,ORD,LGA,1500,1815,0,96.0,733.0,0,0,0,0,0
2018-01-02,EV,EWR,DCA,1500,1623,0,44.0,199.0,0,0,0,0,0
2018-01-02,UA,BOS,DEN,1509,1759,0,240.0,1754.0,0,0,0,0,0
2018-01-02,NK,ORD,PHX,1515,1812,0,178.0,1440.0,0,0,0,0,0
2018-01-02,YX,PHL,DCA,1515,1621,0,37.0,119.0,0,0,0,0,0
2018-01-02,YX,CLT,IAH,1525,1725,0,139.0,912.0,0,0,0,0,0
2018-01-02,DL,SEA,LAS,1525,1756,0,122.0,867.0,0,0,0,0,0
2018-01-02,B6,LAX,BOS,1530,2352,0,301.0,2611.0,0,0,0,0,0
2018-01-02,UA,DEN,PHX,1530,1726,0,81.0,602.0,0,0,0,0,0
2018-01-02,AA,MCO,CLT,1533,1719,0,71.0,468.0,1,0,0,0,61
2018-01-02,UA,BOS,SFO,1540,1916,0,348.0,2704.0,0,0,0,0,0
2018-01-02,OO,MSP,SFO,1552,1807,0,226.0,1589.0,0,0,0,0,0
2018-01-02,AA,SFO,DFW,1555,2124,0,178.0,1464.0,7,0,1,0,11
2018-01-02,UA,ATL,EWR,1555,1816,0,126.0,746.0,0,0,59,0,0
2018-01-02,DL,PHL,ATL,1600,1825,0,99.0,666.0,0,0,0,0,0
2018-01-02,OO,LGA,ORD,1600,1750,0,117.0,733.0,0,0,0,0,0
2018-01-02,UA,ORD,LAX,1605,1831,0,223.0,1744.0,0,0,0,0,0
2018-01-02,DL,SFO,JFK,1615,36,0,295.0,2586.0,0,0,0,0,0
2018-01-02,AA,DFW,SFO,1630,1828,0,214.0,1464.0,0,0,0,0,0
2018-01-02,AA,PHX,ORD,1635,2100,0,197.0,1440.0,0,0,0,0,0
2018-01-02,YX,LGA,IAH,1635,2008,0,212.0,1416.0,0,0,0,0,0
2018-01-02,AA,CLT,EWR,1636,1838,0,78.0,529.0,0,0,19,0,0
2018-01-02,UA,LAX,SFO,1650,1824,0,51.0,337.0,0,0,0,0,15
2018-01-02,OH,DTW,CLT,1651,1856,0,80.0,500.0,0,0,0,0,0
2018-01-02,AA,DCA,PHX,1659,2024,0,248.0,1979.0,0,0,0,0,48
2018-01-02,AA,DFW,SFO,1700,1859,0,219.0,1464.0,25,0,4,0,0
2018-01-02,UA,ORD,LGA,1700,2015,0,100.0,733.0,0,0,0,0,0
2018-01-02,AS,MCO,SEA,1726,2058,0,343.0,2554.0,0,0,0,0,0
2018-01-02,B6,JFK,MCO,1740,2044,0,160.0,944.0,0,0,0,0,0
2018-01-02,DL,MSP,DTW,1743,2039,0,72.0,528.0,0,0,0,0,0
2018-01-02,DL,MCO,LGA,1750,2029,0,123.0,950.0,0,0,0,0,0
2018-01-02,AA,PHX,LAX,1756,1830,0,55.0,370.0,54,0,0,0,0
2018-01-02,UA,LGA,ORD,1800,1949,0,116.0,733.0,0,0,0,0,0
2018-01-02,UA,SFO,DFW,1805,2339,0,176.0,1464.0,0,0,0,0,0
2018-01-02,F9,DEN,PHL,1810,2349,0,183.0,1558.0,0,0,0,0,31
2018-01-02,AA,DFW,DTW,1827,2202,0,128.0,986.0,36,0,0,0,215
2018-01-02,DL,CLT,ATL,1905,2029,0,45.0,226.0,0,0,0,0,0
2018-01-02,DL,LAX,LAS,1910,2024,0,47.0,236.0,0,0,0,0,0
2018-01-02,WN,EWR,DEN,1920,2155,0,215.0,1605.0,4,0,0,0,11
2018-01-02,NK,ORD,DFW,1920,2159,0,111.0,802.0,0,0,0,0,0
2018-01-02,UA,ORD,PHX,1935,2230,0,196.0,1440.0,0,0,0,0,0
2018-01-02,VX,SFO,LAS,1946,2114,0,70.0,414.0,0,0,0,0,0
2018-01-02,YV,IAH,DFW,1950,2108,0,48.0,224.0,0,0,29,0,0
2018-01-02,DL,MSP,SFO,1955,2230,0,221.0,1589.0,0,0,0,0,0
2018-01-02,DL,MSP,SEA,1955,2209,0,195.0,1399.0,0,0,0,0,0
2018-01-02,NK,ORD,MCO,1958,2343,0,132.0,1005.0,0,0,0,0,0
2018-01-02,UA,DEN,SFO,1959,2148,0,127.0,967.0,0,0,0,0,0
2018-01-02,OO,ATL,DEN,2005,2135,0,177.0,1199.0,0,0,0,0,49
