date,source,energy (btu)
1988-06-01,residential,1121.331
1988-07-01,residential,1312.656
1988-08-01,residential,1373.343
1988-09-01,residential,1116.235
1988-10-01,residential,1134.134
1988-11-01,residential,1317.127
1988-12-01,residential,1765.873
1989-01-01,residential,1973.644
1989-02-01,residential,1848.448
1989-03-01,residential,1771.925
1989-04-01,residential,1340.074
1989-05-01,residential,1174.911
1989-06-01,residential,1175.322
1989-07-01,residential,1320.879
1989-08-01,residential,1320.175
1989-09-01,residential,1181.204
1989-10-01,residential,1183.524
1989-11-01,residential,1382.059
1989-12-01,residential,2118.194
1990-01-01,residential,2018.086
1990-02-01,residential,1639.671
1990-03-01,residential,1558.741
1990-04-01,residential,1299.575
1990-05-01,residential,1143.17
1990-06-01,residential,1195.523
1990-07-01,residential,1335.105
1990-08-01,residential,1323.485
1990-09-01,residential,1214.831
1990-10-01,residential,1160.903
1990-11-01,residential,1291.366
1990-12-01,residential,1751.413
1991-01-01,residential,2137.647
1991-02-01,residential,1686.339
1991-03-01,residential,1599.772
1991-04-01,residential,1269.986
1991-05-01,residential,1183.085
1991-06-01,residential,1229.184
1991-07-01,residential,1389.099
1991-08-01,residential,1341.414
1991-09-01,residential,1184.323
1991-10-01,residential,1163.822
1991-11-01,residential,1436.683
1991-12-01,residential,1797.721
1992-01-01,residential,2043.664
1992-02-01,residential,1768.798
1992-03-01,residential,1598.684
1992-04-01,residential,1356.808
1992-05-01,residential,1144.439
1992-06-01,residential,1136.537
1992-07-01,residential,1326.188
1992-08-01,residential,1270.478
1992-09-01,residential,1175.695
1992-10-01,residential,1177.479
1992-11-01,residential,1411.944
1992-12-01,residential,1945.773
1993-01-01,residential,2097.492
1993-02-01,residential,1869.897
1993-03-01,residential,1840.296
1993-04-01,residential,1381.568
1993-05-01,residential,1122.324
1993-06-01,residential,1210.467
1993-07-01,residential,1467.885
1993-08-01,residential,1455.698
1993-09-01,residential,1230.303
1993-10-01,residential,1188.637
1993-11-01,residential,1448.114
1993-12-01,residential,1900.925
1994-01-01,residential,2341.904
1994-02-01,residential,1982.767
1994-03-01,residential,1708.91
1994-04-01,residential,1308.67
1994-05-01,residential,1168.493
1994-06-01,residential,1280.656
1994-07-01,residential,1441.037
1994-08-01,residential,1371.345
1994-09-01,residential,1178.574
1994-10-01,residential,1169.459
1994-11-01,residential,1353.297
1994-12-01,residential,1802.854
1995-01-01,residential,2087.71
1995-02-01,residential,1867.027
1995-03-01,residential,1659.635
1995-04-01,residential,1337.888
1995-05-01,residential,1216.793
1995-06-01,residential,1256.587
1995-07-01,residential,1494.524
1995-08-01,residential,1593.848
1995-09-01,residential,1264.351
1995-10-01,residential,1193.992
1995-11-01,residential,1525.024
1995-12-01,residential,2025.096
1996-01-01,residential,2360.113
1996-02-01,residential,2074.385
1996-03-01,residential,1867.533
1996-04-01,residential,1457.257
1996-05-01,residential,1307.598
1996-06-01,residential,1352.374
1996-07-01,residential,1498.558
1996-08-01,residential,1472.285
1996-09-01,residential,1265.879
1996-10-01,residential,1251.343
1996-11-01,residential,1585.844
1996-12-01,residential,2003.324
1997-01-01,residential,2297.663
1997-02-01,residential,1880.265
1997-03-01,residential,1693.385
1997-04-01,residential,1388.353
1997-05-01,residential,1243.872
1997-06-01,residential,1268.436
1997-07-01,residential,1556.227
1997-08-01,residential,1485.087
1997-09-01,residential,1299.844
1997-10-01,residential,1297.096
1997-11-01,residential,1543.166
1997-12-01,residential,2008.955
1998-01-01,residential,2130.876
1998-02-01,residential,1770.686
1998-03-01,residential,1793.397
1998-04-01,residential,1362.054
1998-05-01,residential,1286.09
1998-06-01,residential,1439.549
1998-07-01,residential,1679.462
1998-08-01,residential,1616.22
1998-09-01,residential,1393.639
1998-10-01,residential,1282.377
1998-11-01,residential,1372.225
1998-12-01,residential,1833.041
1999-01-01,residential,2368.786
1999-02-01,residential,1829.531
1999-03-01,residential,1879.336
1999-04-01,residential,1450.178
1999-05-01,residential,1288.428
1999-06-01,residential,1411.658
1999-07-01,residential,1711.605
1999-08-01,residential,1675.504
1999-09-01,residential,1364.217
1999-10-01,residential,1281.494
1999-11-01,residential,1386.027
1999-12-01,residential,1912.211
2000-01-01,residential,2347.879
2000-02-01,residential,2050.595
2000-03-01,residential,1707.398
2000-04-01,residential,1429.03
2000-05-01,residential,1381.628
2000-06-01,residential,1481.236
2000-07-01,residential,1627.582
2000-08-01,residential,1679.841
2000-09-01,residential,1412.7
2000-10-01,residential,1326.809
2000-11-01,residential,1580.542
2000-12-01,residential,2389.091
2001-01-01,residential,2566.678
2001-02-01,residential,2014.719
2001-03-01,residential,1915.611
2001-04-01,residential,1466.15
2001-05-01,residential,1282.632
2001-06-01,residential,1413.452
2001-07-01,residential,1643.544
2001-08-01,residential,1711.555
2001-09-01,residential,1369.803
2001-10-01,residential,1330.913
2001-11-01,residential,1416.505
2001-12-01,residential,1899.668
2002-01-01,residential,2293.562
2002-02-01,residential,1915.636
2002-03-01,residential,1904.414
2002-04-01,residential,1507.436
2002-05-01,residential,1386.234
2002-06-01,residential,1517.187
2002-07-01,residential,1768.537
2002-08-01,residential,1733.821
2002-09-01,residential,1486.413
2002-10-01,residential,1422.738
2002-11-01,residential,1642.827
2002-12-01,residential,2205.682
2003-01-01,residential,2568.58
2003-02-01,residential,2253.935
2003-03-01,residential,1956.303
2003-04-01,residential,1489.746
2003-05-01,residential,1385.594
2003-06-01,residential,1428.221
2003-07-01,residential,1711.138
2003-08-01,residential,1737.115
2003-09-01,residential,1463.506
2003-10-01,residential,1366.602
2003-11-01,residential,1543.616
2003-12-01,residential,2209.085
2004-01-01,residential,2596.092
2004-02-01,residential,2266.846
2004-03-01,residential,1840.014
2004-04-01,residential,1457.74
2004-05-01,residential,1395.149
2004-06-01,residential,1517.292
2004-07-01,residential,1697.953
2004-08-01,residential,1649.098
2004-09-01,residential,1464.607
2004-10-01,residential,1391.775
2004-11-01,residential,1565.647
2004-12-01,residential,2237.627
2005-01-01,residential,2494.866
2005-02-01,residential,2075.178
2005-03-01,residential,1997.098
2005-04-01,residential,1462.781
2005-05-01,residential,1385.324
2005-06-01,residential,1593.954
2005-07-01,residential,1869.966
2005-08-01,residential,1867.102
2005-09-01,residential,1567.292
2005-10-01,residential,1429.713
2005-11-01,residential,1550.589
2005-12-01,residential,2320.494
2006-01-01,residential,2172.18
2006-02-01,residential,2001.033
2006-03-01,residential,1924.314
2006-04-01,residential,1459.097
2006-05-01,residential,1385.742
2006-06-01,residential,1565.753
2006-07-01,residential,1858.418
2006-08-01,residential,1842.57
2006-09-01,residential,1427.789
2006-10-01,residential,1398.74
2006-11-01,residential,1583.766
2006-12-01,residential,2049.807
2007-01-01,residential,2369.767
2007-02-01,residential,2359.35
2007-03-01,residential,1924.626
2007-04-01,residential,1510.795
2007-05-01,residential,1392.517
2007-06-01,residential,1538.861
2007-07-01,residential,1749.418
2007-08-01,residential,1885.484
2007-09-01,residential,1564.356
2007-10-01,residential,1400.858
2007-11-01,residential,1594.15
2007-12-01,residential,2231.842
2008-01-01,residential,2544.298
2008-02-01,residential,2262.703
2008-03-01,residential,1991.719
2008-04-01,residential,1523.56
2008-05-01,residential,1385.156
2008-06-01,residential,1622.87
2008-07-01,residential,1812.691
2008-08-01,residential,1731.061
2008-09-01,residential,1439.599
2008-10-01,residential,1375.96
2008-11-01,residential,1629.656
2008-12-01,residential,2349.998
2009-01-01,residential,2608.312
2009-02-01,residential,2099.054
2009-03-01,residential,1895.839
2009-04-01,residential,1504.001
2009-05-01,residential,1367.352
2009-06-01,residential,1521.46
2009-07-01,residential,1705.408
2009-08-01,residential,1711.819
2009-09-01,residential,1417.51
2009-10-01,residential,1411.702
2009-11-01,residential,1521.299
2009-12-01,residential,2315.363
2010-01-01,residential,2680.719
2010-02-01,residential,2241.482
2010-03-01,residential,1880.266
2010-04-01,residential,1342.932
2010-05-01,residential,1381.735
2010-06-01,residential,1655.405
2010-07-01,residential,1885.344
2010-08-01,residential,1851.846
2010-09-01,residential,1490.89
2010-10-01,residential,1325.645
2010-11-01,residential,1590.587
2010-12-01,residential,2467.147
2011-01-01,residential,2660.074
2011-02-01,residential,2148.233
2011-03-01,residential,1847.86
2011-04-01,residential,1446.257
2011-05-01,residential,1371.15
2011-06-01,residential,1599.765
2011-07-01,residential,1904.872
2011-08-01,residential,1842.69
2011-09-01,residential,1466.938
2011-10-01,residential,1337.794
2011-11-01,residential,1570.499
2011-12-01,residential,2110.009
2012-01-01,residential,2260.456
2012-02-01,residential,1901.419
2012-03-01,residential,1549.054
2012-04-01,residential,1287.366
2012-05-01,residential,1350.933
2012-06-01,residential,1523.022
2012-07-01,residential,1853.234
2012-08-01,residential,1740.333
2012-09-01,residential,1409.794
2012-10-01,residential,1333.431
2012-11-01,residential,1619.284
2012-12-01,residential,2029.522
2013-01-01,residential,2430.958
2013-02-01,residential,2066.928
2013-03-01,residential,1997.101
2013-04-01,residential,1487.638
2013-05-01,residential,1323.463
2013-06-01,residential,1486.316
2013-07-01,residential,1730.944
2013-08-01,residential,1656.142
2013-09-01,residential,1453.75
2013-10-01,residential,1350.357
2013-11-01,residential,1696.068
2013-12-01,residential,2381.555
2014-01-01,residential,2777.624
2014-02-01,residential,2323.887
2014-03-01,residential,2066.405
2014-04-01,residential,1424.831
2014-05-01,residential,1350.304
2014-06-01,residential,1498.191
2014-07-01,residential,1668.094
2014-08-01,residential,1641.747
2014-09-01,residential,1450.327
2014-10-01,residential,1344.353
2014-11-01,residential,1762.551
2014-12-01,residential,2148.301
2015-01-01,residential,2541.943
2015-02-01,residential,2337.031
2015-03-01,residential,1948.676
2015-04-01,residential,1337.362
2015-05-01,residential,1296.741
2015-06-01,residential,1480.064
2015-07-01,residential,1729.073
2015-08-01,residential,1681.104
2015-09-01,residential,1446.094
2015-10-01,residential,1328.974
2015-11-01,residential,1512.809
2015-12-01,residential,1903.942
2016-01-01,residential,2383.562
2016-02-01,residential,1976.875
2016-03-01,residential,1573.825
2016-04-01,residential,1332.979
2016-05-01,residential,1281.05
2016-06-01,residential,1520.454
2016-07-01,residential,1808.525
2016-08-01,residential,1762.425
2016-09-01,residential,1469.336
2016-10-01,residential,1310.497
2016-11-01,residential,1438.021
2016-12-01,residential,2231.317
2017-01-01,residential,2308.207
2017-02-01,residential,1701.611
2017-03-01,residential,1765.36
2017-04-01,residential,1303.004
2017-05-01,residential,1316.432
2017-06-01,residential,1474.758
2017-07-01,residential,1736.529
2017-08-01,residential,1606.431
2017-09-01,residential,1371.172
2017-10-01,residential,1341.523
2017-11-01,residential,1609.941
2017-12-01,residential,2273.187
2018-01-01,residential,2704.224
2018-02-01,residential,1965.522
2018-03-01,residential,1896.193
2018-04-01,residential,1541.862
2018-05-01,residential,1378.393
2018-06-01,residential,1562.519
2018-07-01,residential,1784.481
2018-08-01,residential,1730.325
1973-01-01,commercial,1079.31
1973-02-01,commercial,1001.92
1973-03-01,commercial,884.437
1973-04-01,commercial,735.461
1973-05-01,commercial,696.114
1973-06-01,commercial,687.473
1973-07-01,commercial,693.949
1973-08-01,commercial,706.301
1973-09-01,commercial,651.041
1973-10-01,commercial,693.462
1973-11-01,commercial,800.97
1973-12-01,commercial,914.274
1974-01-01,commercial,1039.088
1974-02-01,commercial,907.821
1974-03-01,commercial,863.512
1974-04-01,commercial,754.176
1974-05-01,commercial,688.286
1974-06-01,commercial,655.169
1974-07-01,commercial,703.241
1974-08-01,commercial,688.995
1974-09-01,commercial,645.205
1974-10-01,commercial,706.494
1974-11-01,commercial,773.723
1974-12-01,commercial,969.399
1975-01-01,commercial,990.791
1975-02-01,commercial,920.136
1975-03-01,commercial,892.445
1975-04-01,commercial,823.414
1975-05-01,commercial,698.717
1975-06-01,commercial,686.931
1975-07-01,commercial,715.817
1975-08-01,commercial,717.022
1975-09-01,commercial,657.008
1975-10-01,commercial,692.031
1975-11-01,commercial,737.377
1975-12-01,commercial,962.577
1976-01-01,commercial,1118.587
1976-02-01,commercial,971.029
1976-03-01,commercial,890.242
1976-04-01,commercial,753.23
1976-05-01,commercial,715.556
1976-06-01,commercial,724.307
1976-07-01,commercial,745.448
1976-08-01,commercial,736.425
1976-09-01,commercial,685.272
1976-10-01,commercial,733.104
1976-11-01,commercial,897.928
1976-12-01,commercial,1093.165
1977-01-01,commercial,1223.633
1977-02-01,commercial,1018.84
1977-03-01,commercial,878.851
1977-04-01,commercial,752.308
1977-05-01,commercial,734.629
1977-06-01,commercial,741.922
1977-07-01,commercial,785.466
1977-08-01,commercial,771.813
1977-09-01,commercial,721.805
1977-10-01,commercial,736.815
1977-11-01,commercial,809.447
1977-12-01,commercial,1033.847
1978-01-01,commercial,1130.769
1978-02-01,commercial,1081.65
1978-03-01,commercial,1007.467
1978-04-01,commercial,775.855
1978-05-01,commercial,765.406
1978-06-01,commercial,763.584
1978-07-01,commercial,793.815
1978-08-01,commercial,806.325
1978-09-01,commercial,748.418
1978-10-01,commercial,763.629
1978-11-01,commercial,839.772
1978-12-01,commercial,1035.578
1979-01-01,commercial,1217.848
1979-02-01,commercial,1148.996
1979-03-01,commercial,995.691
1979-04-01,commercial,829.144
1979-05-01,commercial,765.782
1979-06-01,commercial,750.387
1979-07-01,commercial,780.939
1979-08-01,commercial,788.034
1979-09-01,commercial,727.181
1979-10-01,commercial,779.738
1979-11-01,commercial,855.849
1979-12-01,commercial,1009.706
1980-01-01,commercial,1102.43
1980-02-01,commercial,1061.492
1980-03-01,commercial,986.711
1980-04-01,commercial,799.022
1980-05-01,commercial,750.53
1980-06-01,commercial,765.708
1980-07-01,commercial,821.063
1980-08-01,commercial,804.422
1980-09-01,commercial,756.043
1980-10-01,commercial,784.572
1980-11-01,commercial,878.078
1980-12-01,commercial,1071.372
1981-01-01,commercial,1189.09
1981-02-01,commercial,1001.534
1981-03-01,commercial,929.019
1981-04-01,commercial,778.621
1981-05-01,commercial,767.594
1981-06-01,commercial,804.96
1981-07-01,commercial,833.334
1981-08-01,commercial,818.557
1981-09-01,commercial,761.759
1981-10-01,commercial,817.339
1981-11-01,commercial,861.946
1981-12-01,commercial,1054.628
1982-01-01,commercial,1213.657
1982-02-01,commercial,1058.109
1982-03-01,commercial,1001.867
1982-04-01,commercial,879.979
1982-05-01,commercial,783.439
1982-06-01,commercial,775.948
1982-07-01,commercial,842.77
1982-08-01,commercial,830.961
1982-09-01,commercial,803.278
1982-10-01,commercial,793.597
1982-11-01,commercial,860.49
1982-12-01,commercial,1018.715
1983-01-01,commercial,1170.237
1983-02-01,commercial,992.963
1983-03-01,commercial,989.125
1983-04-01,commercial,874.034
1983-05-01,commercial,784.674
1983-06-01,commercial,798.325
1983-07-01,commercial,876.245
1983-08-01,commercial,893.428
1983-09-01,commercial,802.188
1983-10-01,commercial,800.678
1983-11-01,commercial,867.582
1983-12-01,commercial,1089.032
1984-01-01,commercial,1261.425
1984-02-01,commercial,1054.985
1984-03-01,commercial,1056.81
1984-04-01,commercial,903.717
1984-05-01,commercial,855.432
1984-06-01,commercial,856.591
1984-07-01,commercial,894.979
1984-08-01,commercial,912.823
1984-09-01,commercial,833.174
1984-10-01,commercial,847.023
1984-11-01,commercial,915.949
1984-12-01,commercial,1052.454
1985-01-01,commercial,1187.349
1985-02-01,commercial,1127.949
1985-03-01,commercial,994.251
1985-04-01,commercial,868.993
1985-05-01,commercial,836.259
1985-06-01,commercial,839.208
1985-07-01,commercial,912.32
1985-08-01,commercial,907.194
1985-09-01,commercial,839.351
1985-10-01,commercial,859.413
1985-11-01,commercial,912.821
1985-12-01,commercial,1168.883
1986-01-01,commercial,1208.938
1986-02-01,commercial,1084.682
1986-03-01,commercial,1017.71
1986-04-01,commercial,871.68
1986-05-01,commercial,861.909
1986-06-01,commercial,901.532
1986-07-01,commercial,968.962
1986-08-01,commercial,912.615
1986-09-01,commercial,867.448
1986-10-01,commercial,868.027
1986-11-01,commercial,936.285
1986-12-01,commercial,1110.799
1987-01-01,commercial,1206.352
1987-02-01,commercial,1086.185
1987-03-01,commercial,1054.327
1987-04-01,commercial,913.464
1987-05-01,commercial,900.659
1987-06-01,commercial,924.903
1987-07-01,commercial,988.738
1987-08-01,commercial,962.391
1987-09-01,commercial,891.913
1987-10-01,commercial,922.516
1987-11-01,commercial,960.669
1987-12-01,commercial,1135.19
1988-01-01,commercial,1286.666
1988-02-01,commercial,1181.152
1988-03-01,commercial,1107.737
1988-04-01,commercial,951.389
1988-05-01,commercial,923.512
1988-06-01,commercial,973.082
1988-07-01,commercial,1044.33
1988-08-01,commercial,1064.653
1988-09-01,commercial,924.294
1988-10-01,commercial,949.334
1988-11-01,commercial,1000.426
1988-12-01,commercial,1172.96
1989-01-01,commercial,1235.342
1989-02-01,commercial,1193.119
1989-03-01,commercial,1188.077
1989-04-01,commercial,1012.14
1989-05-01,commercial,989.677
1989-06-01,commercial,1013.791
1989-07-01,commercial,1074.242
1989-08-01,commercial,1077.756
1989-09-01,commercial,979.483
1989-10-01,commercial,996.054
1989-11-01,commercial,1070.559
1989-12-01,commercial,1367.195
1990-01-01,commercial,1270.04
1990-02-01,commercial,1140.222
1990-03-01,commercial,1150.566
1990-04-01,commercial,1041.2
1990-05-01,commercial,1019.43
1990-06-01,commercial,1072.306
1990-07-01,commercial,1130.331
1990-08-01,commercial,1136.629
1990-09-01,commercial,1034.172
1990-10-01,commercial,1030.22
1990-11-01,commercial,1054.842
1990-12-01,commercial,1241.668
1991-01-01,commercial,1366.764
1991-02-01,commercial,1152.726
1991-03-01,commercial,1153.489
1991-04-01,commercial,1026.76
1991-05-01,commercial,1055.351
1991-06-01,commercial,1070.148
1991-07-01,commercial,1146.986
1991-08-01,commercial,1122.28
1991-09-01,commercial,1018.901
1991-10-01,commercial,1036.452
1991-11-01,commercial,1103.721
1991-12-01,commercial,1248.307
1992-01-01,commercial,1314.782
1992-02-01,commercial,1179.044
1992-03-01,commercial,1160.68
1992-04-01,commercial,1052.211
1992-05-01,commercial,1014.124
1992-06-01,commercial,1037.381
1992-07-01,commercial,1124.119
1992-08-01,commercial,1079.479
1992-09-01,commercial,1038.574
1992-10-01,commercial,1024.908
1992-11-01,commercial,1105.64
1992-12-01,commercial,1311.462
1993-01-01,commercial,1333.339
1993-02-01,commercial,1243.866
1993-03-01,commercial,1257.155
1993-04-01,commercial,1070.676
1993-05-01,commercial,1016.127
1993-06-01,commercial,1087.079
1993-07-01,commercial,1175.507
1993-08-01,commercial,1164.236
1993-09-01,commercial,1032.165
1993-10-01,commercial,1038.563
1993-11-01,commercial,1114.087
1993-12-01,commercial,1284.759
1994-01-01,commercial,1443.082
1994-02-01,commercial,1288.997
1994-03-01,commercial,1234.254
1994-04-01,commercial,1073.519
1994-05-01,commercial,1049.893
1994-06-01,commercial,1155.107
1994-07-01,commercial,1184.23
1994-08-01,commercial,1168.778
1994-09-01,commercial,1047.273
1994-10-01,commercial,1062.602
1994-11-01,commercial,1115.694
1994-12-01,commercial,1276.56
1995-01-01,commercial,1378.951
1995-02-01,commercial,1282.259
1995-03-01,commercial,1246.913
1995-04-01,commercial,1116.77
1995-05-01,commercial,1103.469
1995-06-01,commercial,1137.741
1995-07-01,commercial,1260.304
1995-08-01,commercial,1284.168
1995-09-01,commercial,1100.241
1995-10-01,commercial,1125.169
1995-11-01,commercial,1231.782
1995-12-01,commercial,1423.768
1996-01-01,commercial,1483.06
1996-02-01,commercial,1375.362
1996-03-01,commercial,1333.549
1996-04-01,commercial,1164.671
1996-05-01,commercial,1176.776
1996-06-01,commercial,1187.622
1996-07-01,commercial,1246.568
1996-08-01,commercial,1254.85
1996-09-01,commercial,1128.422
1996-10-01,commercial,1150.561
1996-11-01,commercial,1263.493
1996-12-01,commercial,1411.29
1997-01-01,commercial,1526.824
1997-02-01,commercial,1330.49
1997-03-01,commercial,1329.042
1997-04-01,commercial,1196.159
1997-05-01,commercial,1187.315
1997-06-01,commercial,1241.795
1997-07-01,commercial,1369.899
1997-08-01,commercial,1304.216
1997-09-01,commercial,1222.391
1997-10-01,commercial,1230.443
1997-11-01,commercial,1281.727
1997-12-01,commercial,1464.773
1998-01-01,commercial,1486.862
1998-02-01,commercial,1316.148
1998-03-01,commercial,1385.493
1998-04-01,commercial,1206.86
1998-05-01,commercial,1265.752
1998-06-01,commercial,1318.049
1998-07-01,commercial,1405.996
1998-08-01,commercial,1397.241
1998-09-01,commercial,1281.917
1998-10-01,commercial,1221.419
1998-11-01,commercial,1250.643
1998-12-01,commercial,1432.059
1999-01-01,commercial,1575.929
1999-02-01,commercial,1402.676
1999-03-01,commercial,1449.165
1999-04-01,commercial,1278.823
1999-05-01,commercial,1273.652
1999-06-01,commercial,1336.753
1999-07-01,commercial,1463.588
1999-08-01,commercial,1409.92
1999-09-01,commercial,1240.099
1999-10-01,commercial,1248.231
1999-11-01,commercial,1250.142
1999-12-01,commercial,1446.719
2000-01-01,commercial,1621.319
2000-02-01,commercial,1489.012
2000-03-01,commercial,1462.63
2000-04-01,commercial,1315.251
2000-05-01,commercial,1395.187
2000-06-01,commercial,1389.741
2000-07-01,commercial,1429.449
2000-08-01,commercial,1496.039
2000-09-01,commercial,1294.634
2000-10-01,commercial,1281.194
2000-11-01,commercial,1376.89
2000-12-01,commercial,1624.956
2001-01-01,commercial,1686.885
2001-02-01,commercial,1457.394
2001-03-01,commercial,1504.432
2001-04-01,commercial,1309.959
2001-05-01,commercial,1326.464
2001-06-01,commercial,1389.708
2001-07-01,commercial,1469.326
2001-08-01,commercial,1500.509
2001-09-01,commercial,1319.718
2001-10-01,commercial,1339.015
2001-11-01,commercial,1321.589
2001-12-01,commercial,1518.444
2002-01-01,commercial,1574.832
2002-02-01,commercial,1424.002
2002-03-01,commercial,1475.184
2002-04-01,commercial,1349.533
2002-05-01,commercial,1354.557
2002-06-01,commercial,1398.815
2002-07-01,commercial,1496.6
2002-08-01,commercial,1466.508
2002-09-01,commercial,1364.534
2002-10-01,commercial,1397.943
2002-11-01,commercial,1428.221
2002-12-01,commercial,1615.221
2003-01-01,commercial,1733.937
2003-02-01,commercial,1545.424
2003-03-01,commercial,1497.718
2003-04-01,commercial,1323.797
2003-05-01,commercial,1333.013
2003-06-01,commercial,1349.899
2003-07-01,commercial,1475.994
2003-08-01,commercial,1478.503
2003-09-01,commercial,1314.184
2003-10-01,commercial,1338.775
