id,neighborhood,room_type,accommodates,bedrooms,price,security_deposit,cleaning_fee,rating,superhost,response_time,acceptance_rate,host_since,last_review,num_reviews,latitude,longitude,minimum_nights,maximum_nights
175581,Capitol Hill,Entire home/apt,2,1.0,162,0,100,4.66,1,within a few hours,96%,2011-07-19,2019-08-24,124,38.87859,-76.98519,4,365
175608,Shaw,Entire home/apt,4,2.0,62,25,0,4.31,0,within a few hours,77%,2009-10-31,2021-08-22,186,38.90831,-77.02364,10,365
178395,Takoma,Private room,1,1.0,399,50,50,,0,a few days or more,0%,2011-07-22,,0,38.96234,-77.01735,1,730
195344,Downtown,Entire home/apt,4,1.0,149,0,0,4.68,0,within an hour,22%,2011-08-10,2020-09-11,388,38.90007,-77.01605,2,730
196429,Takoma,Entire home/apt,3,,125,50,50,4.25,0,,33%,2011-08-11,2020-09-30,6,38.96923,-77.02041,2,1825
198685,Edgewood,Private room,2,1.0,45,25,50,4.72,0,within a day,28%,2011-08-13,2021-06-05,133,38.93404,-77.01488,1,365
201116,Takoma,Entire home/apt,2,1.0,90,0,0,4.49,0,within a few hours,86%,2011-08-17,2021-07-28,190,38.97474,-77.01997,1,730
204741,Congress Heights,Private room,2,1.0,29,0,25,4.58,1,,,2011-08-22,2020-06-01,114,38.82771,-76.99404,90,180
205809,Brightwood Park,Entire home/apt,6,3.0,199,100,50,4.85,0,within a day,67%,2011-08-23,2019-06-11,14,38.9581,-77.02271,4,60
211986,Dupont Circle,Private room,3,1.0,269,50,50,4.25,0,a few days or more,0%,2011-07-01,2015-07-10,5,38.91297,-77.0465,30,365
223203,Colonial Village,Private room,2,1.0,70,25,0,5.0,0,a few days or more,100%,2011-09-14,2019-08-23,6,38.98853,-77.04441,2,3365
223922,Brightwood Park,Entire home/apt,3,1.0,119,50,100,4.68,1,within an hour,97%,2011-06-24,2021-09-16,135,38.94363,-77.04562,1,1125
251611,Colonial Village,Private room,3,1.0,70,25,0,5.0,0,a few days or more,100%,2011-09-14,2019-03-10,1,38.98853,-77.04441,2,3365
251615,Colonial Village,Private room,2,1.0,70,25,50,4.8,0,a few days or more,100%,2011-09-14,2019-05-24,5,38.98853,-77.04441,2,1825
251619,Colonial Village,Private room,2,1.0,70,25,0,4.13,0,a few days or more,100%,2011-09-14,2019-08-17,8,38.98853,-77.04441,2,1000
252300,Sheridan,Private room,2,1.0,71,50,0,4.56,0,within a few hours,33%,2011-10-22,2021-06-30,9,38.85826,-76.98881,5,365
262629,Lamont Riggs,Private room,1,1.0,58,50,25,4.88,1,within a day,80%,2009-09-06,2021-06-26,34,38.96703,-77.00426,30,1000
284165,Howard University,Entire home/apt,2,1.0,115,100,50,4.66,1,within an hour,97%,2011-07-06,2021-07-10,76,38.91431,-77.01756,10,180
286083,Columbia Heights,Entire home/apt,4,1.0,197,0,100,4.7,0,within a few hours,26%,2009-12-13,2021-05-16,72,38.93107,-77.03885,1,1125
290001,Shaw,Entire home/apt,2,1.0,180,100,50,4.81,1,within an hour,69%,2011-12-14,2021-07-17,137,38.90968,-77.02747,2,14
296196,Dupont Circle,Entire home/apt,4,1.0,149,50,0,4.93,1,within a few hours,100%,2011-12-22,2020-02-16,59,38.9146,-77.03602,3,1125
298346,Spring Valley,Entire home/apt,4,1.0,125,50,100,4.8,0,,100%,2011-06-25,2021-06-14,6,38.925,-77.10011,7,90
299030,Colonial Village,Private room,2,1.0,85,0,0,4.87,0,within a few hours,0%,2011-12-27,2019-06-30,19,38.9806,-77.03084,1,90
303694,Brightwood Park,Entire home/apt,4,1.0,84,25,0,4.86,1,,0%,2010-04-17,2019-10-28,140,38.94226,-77.01665,3,130
303723,Howard University,Entire home/apt,2,1.0,130,0,100,4.78,1,,100%,2012-01-03,2020-03-12,173,38.91662,-77.02539,2,180
305783,Sheridan,Private room,2,1.0,72,25,50,4.0,0,within a few hours,33%,2011-10-22,2018-08-25,2,38.8562,-76.98741,7,365
306465,Dupont Circle,Entire home/apt,4,2.0,104,0,100,4.71,0,a few days or more,0%,2011-07-01,2019-04-06,15,38.91297,-77.0465,60,365
313405,Colonial Village,Private room,3,1.0,80,25,0,4.33,0,within a few hours,0%,2011-12-27,2019-07-02,7,38.98052,-77.02992,1,90
315140,Downtown,Entire home/apt,4,1.0,180,0,50,4.81,0,within an hour,97%,2012-01-17,2021-05-31,17,38.89792,-77.0225,5,365
322610,Union Station,Entire home/apt,4,2.0,125,0,100,,0,within a day,50%,2012-01-25,,0,38.89994,-77.00106,5,1125
322611,Union Station,Entire home/apt,3,2.0,129,100,50,0.0,0,within a day,50%,2012-01-25,2019-09-20,1,38.89966,-76.99946,30,240
326938,Georgetown,Private room,2,1.0,139,50,0,4.78,0,within a few hours,33%,2012-01-30,2019-06-12,23,38.91642,-77.0706,3,300
339208,Capitol View,Entire home/apt,6,2.0,75,25,50,4.72,1,within a few hours,100%,2012-02-08,2021-07-04,123,38.89094,-76.93638,4,365
355527,Capitol Hill,Entire home/apt,3,1.0,149,100,100,4.76,0,within an hour,67%,2011-09-01,2021-08-11,134,38.88513,-77.00384,2,90
382111,Capitol Hill,Entire home/apt,4,1.0,150,0,50,4.8,1,within an hour,96%,2012-03-12,2021-08-23,250,38.89,-76.99466,3,29
407014,Shaw,Entire home/apt,6,1.0,111,0,0,4.61,1,within an hour,97%,2009-08-04,2021-08-14,424,38.911,-77.02074,2,1125
409582,Capitol Hill,Entire home/apt,4,1.0,60,25,0,4.87,1,within an hour,83%,2012-03-30,2021-08-15,527,38.88306,-76.99497,3,1125
427825,Edgewood,Entire home/apt,2,2.0,110,50,50,4.58,0,within an hour,97%,2012-01-17,2021-08-14,19,38.92006,-77.01438,10,270
437005,Historic Anacostia,Private room,2,1.0,60,25,25,4.85,0,within a few hours,75%,2012-04-18,2021-09-06,104,38.86124,-76.98865,2,120
446147,Shaw,Entire home/apt,1,1.0,99,25,0,,0,within a few hours,0%,2012-04-24,,0,38.9059,-77.0292,150,1125
453159,Capitol Hill,Entire home/apt,5,2.0,161,50,0,4.9,1,within a few hours,92%,2009-09-21,2021-09-05,295,38.87772,-76.985,4,180
453315,Union Station,Entire home/apt,2,1.0,104,50,50,4.88,1,within an hour,100%,2012-04-29,2021-08-30,834,38.89538,-76.98648,2,30
501809,Shaw,Private room,2,1.0,73,25,0,4.9,1,,,2011-04-03,2020-09-20,31,38.91255,-77.01999,2,1125
525672,Capitol Hill,Entire home/apt,4,1.0,129,100,0,4.86,1,within an hour,94%,2012-06-08,2021-07-11,253,38.88183,-76.98911,2,30
542144,Capitol Hill,Entire home/apt,2,1.0,145,0,0,4.89,0,within a day,67%,2012-06-17,2020-07-24,29,38.88745,-76.99293,1,1125
556729,Columbia Heights,Private room,2,1.0,50,50,50,4.46,0,within a day,28%,2011-08-13,2021-05-25,130,38.92991,-77.01911,1,365
560341,Brightwood Park,Private room,2,1.0,59,50,0,4.72,1,within an hour,97%,2011-06-24,2014-05-08,22,38.94314,-77.04345,30,10000
561697,Edgewood,Entire home/apt,6,1.0,69,25,0,4.77,1,within a few hours,89%,2012-06-27,2021-04-20,324,38.91101,-77.00776,2,20
563607,Dupont Circle,Entire home/apt,2,1.0,65,0,25,4.83,0,,100%,2012-06-28,2021-05-19,6,38.91564,-77.03796,1,1125
583236,Cleveland Park,Entire home/apt,16,6.0,646,400,100,4.81,1,within an hour,97%,2011-01-12,2019-12-30,18,38.93487,-77.0647,5,14
594394,Georgetown,Private room,1,1.0,65,50,0,4.64,0,within a day,13%,2012-07-14,2018-05-19,36,38.91391,-77.07467,120,1125
610655,Brightwood Park,Entire home/apt,3,1.0,89,25,0,4.59,0,,,2012-07-23,2019-04-18,155,38.95792,-77.02189,2,1125
626868,Howard University,Entire home/apt,3,,95,25,25,4.6,0,within a few hours,51%,2012-07-31,2021-08-15,98,38.91492,-77.01724,2,10
627758,Georgetown,Entire home/apt,6,2.0,299,50,50,4.55,0,within a few hours,33%,2012-01-30,2018-10-30,11,38.9164,-77.06898,3,365
630062,Howard University,Entire home/apt,8,3.0,320,0,0,4.73,0,within a few hours,51%,2012-07-31,2021-08-30,79,38.91465,-77.01667,2,14
638604,Georgetown,Entire home/apt,2,1.0,159,100,100,3.4,0,within a few hours,33%,2012-01-30,2016-06-26,5,38.91498,-77.07086,3,1125
647080,Union Station,Entire home/apt,6,2.0,300,50,0,4.93,0,within a few hours,81%,2012-08-10,2021-08-08,78,38.89248,-77.00283,4,1125
654835,Georgetown,Private room,2,1.0,139,50,0,4.56,0,within a few hours,33%,2012-01-30,2018-07-29,10,38.91638,-77.07053,3,1125
660514,Columbia Heights,Private room,1,1.0,45,50,50,4.0,1,,,2012-04-26,2019-04-19,5,38.92544,-77.02738,30,180
669941,Columbia Heights,Entire home/apt,4,1.0,81,25,50,4.83,1,,100%,2012-08-27,2021-01-17,243,38.92934,-77.03088,28,365
688914,Douglas,Private room,2,1.0,150,100,0,5.0,1,within a few hours,78%,2012-09-09,2021-04-30,4,38.85045,-76.97992,2,1125
694383,Spring Valley,Entire home/apt,4,1.0,135,100,100,4.5,0,,0%,2012-02-10,2013-08-20,4,38.9289,-77.08415,2,7
713529,Southwest Employment Area,Private room,3,1.0,70,0,25,4.31,0,within an hour,100%,2012-09-25,2021-09-13,554,38.87182,-77.01231,1,29
722114,Columbia Heights,Entire home/apt,6,,97,0,0,4.79,0,within an hour,100%,2012-01-04,2021-09-02,496,38.9237,-77.0271,5,30
748316,Union Station,Entire home/apt,2,1.0,125,100,0,4.86,1,,,2011-11-12,2021-08-15,666,38.89532,-76.98873,2,10
763569,Cleveland Park,Entire home/apt,2,1.0,70,25,0,4.81,1,within an hour,97%,2011-06-24,2020-03-22,17,38.93624,-77.05813,90,1000
782970,Columbia Heights,Entire home/apt,3,1.0,130,100,100,4.8,0,within an hour,75%,2012-08-18,2019-11-01,6,38.93432,-77.0418,5,90
800076,Howard University,Entire home/apt,2,,116,50,50,4.77,1,,,2012-10-16,2021-08-30,186,38.91545,-77.0305,1,1125
808830,Cathedral Heights,Private room,6,2.0,110,100,0,4.88,0,within a few hours,52%,2012-10-05,2021-08-30,335,38.92087,-77.07631,1,30
820108,Columbia Heights,Entire home/apt,2,1.0,195,50,0,4.47,0,within an hour,93%,2012-09-15,2017-08-06,47,38.92747,-77.03845,60,720
825969,Edgewood,Entire home/apt,8,3.0,500,0,100,4.56,0,within a few hours,94%,2008-12-30,2018-04-23,10,38.91424,-77.00026,2,30
826087,Edgewood,Entire home/apt,8,2.0,52,50,50,4.23,0,within a few hours,94%,2008-12-30,2021-08-15,274,38.91344,-77.00065,2,29
828497,Friendship Heights,Private room,6,3.0,150,100,0,4.88,1,within an hour,90%,2012-10-10,2021-08-26,82,38.94291,-77.07173,3,1125
841234,Howard University,Private room,1,1.0,35,25,0,4.2,0,within a day,55%,2010-12-10,2021-07-03,15,38.91767,-77.01549,28,365
841260,Brightwood Park,Private room,1,1.0,39,0,25,4.43,0,within a day,55%,2010-12-10,2021-04-24,14,38.93741,-77.02488,28,360
842418,Downtown,Entire home/apt,2,1.0,195,100,100,4.78,1,within an hour,96%,2012-04-27,2021-08-29,47,38.89918,-77.01643,3,1125
851813,Capitol Hill,Entire home/apt,4,1.0,115,0,50,4.83,0,within a day,0%,2012-12-19,2015-12-23,31,38.88314,-76.98304,5,31
860336,Dupont Circle,Private room,3,1.0,77,50,0,4.73,0,within an hour,99%,2011-04-15,2021-09-13,409,38.90826,-77.0467,1,89
860776,Edgewood,Private room,1,1.0,28,0,25,4.69,0,within a day,55%,2010-12-10,2021-09-04,15,38.91912,-77.01369,28,365
861775,Douglas,Private room,2,1.0,65,25,0,4.79,1,within a few hours,78%,2012-09-09,2019-11-07,19,38.8491,-76.97982,2,1125
865732,Capitol Hill,Entire home/apt,6,3.0,2000,400,150,,0,,,2009-11-26,,0,38.89149,-76.98959,4,4
871825,Capitol Hill,Entire home/apt,3,1.0,120,0,50,4.83,0,within a day,75%,2013-01-05,2021-06-28,18,38.88471,-77.00295,3,120
873182,Lamont Riggs,Entire home/apt,3,1.0,100,0,50,4.67,0,within an hour,100%,2013-01-06,2021-08-10,31,38.95345,-76.99504,1,90
883653,Columbia Heights,Entire home/apt,6,3.0,300,0,0,4.89,0,within an hour,100%,2011-12-27,2021-08-28,30,38.9356,-77.04468,3,40
886283,Friendship Heights,Entire home/apt,2,1.0,100,0,50,4.63,0,within an hour,75%,2013-01-14,2021-03-31,52,38.94663,-77.09255,30,1125
887461,Brightwood Park,Private room,1,1.0,39,0,0,4.25,0,within a day,55%,2010-12-10,2021-03-29,12,38.93788,-77.02313,28,365
888029,Brightwood Park,Private room,1,1.0,35,0,50,4.4,0,within a day,55%,2010-12-10,2020-10-16,12,38.93656,-77.02377,28,800
889302,Kalorama Heights,Entire home/apt,4,2.0,99,50,50,4.73,0,within an hour,100%,2013-01-15,2021-08-23,108,38.91902,-77.04261,2,70
891852,Columbia Heights,Entire home/apt,5,1.0,164,100,0,4.5,0,within a few hours,57%,2010-05-01,2021-06-27,59,38.93689,-77.02062,4,365
892183,Shaw,Entire home/apt,10,4.0,500,50,100,4.61,0,within an hour,95%,2012-11-29,2021-08-30,176,38.90746,-77.02716,3,365
893529,Edgewood,Private room,1,1.0,350,50,0,0.0,0,,,2013-01-18,2013-06-15,1,38.91223,-77.01067,1,200
898543,West End,Entire home/apt,5,3.0,210,0,50,4.91,1,within a day,44%,2013-01-21,2021-08-26,164,38.89961,-77.05293,5,365
898544,West End,Entire home/apt,5,2.0,188,0,100,4.91,1,within a day,44%,2013-01-21,2021-08-28,116,38.89879,-77.05287,3,365
900225,Brookland,Entire home/apt,5,2.0,100,0,100,4.7,1,within an hour,100%,2012-10-01,2021-08-28,39,38.93268,-76.98863,3,150
902573,Shaw,Private room,2,1.0,72,25,0,4.74,1,,,2011-04-03,2016-11-16,23,38.91066,-77.02191,5,1125
945426,Friendship Heights,Private room,2,1.0,92,50,0,4.96,1,within an hour,100%,2013-02-17,2021-08-08,339,38.9604,-77.08253,2,28
953928,Takoma,Entire home/apt,1,1.0,50,25,50,5.0,0,within an hour,0%,2013-02-20,2017-12-24,5,38.9654,-77.02843,14,187
997859,Dupont Circle,Entire home/apt,4,3.0,263,0,100,4.81,1,within an hour,100%,2012-01-27,2021-08-11,78,38.91315,-77.04173,2,1124
1003792,Union Station,Entire home/apt,9,4.0,500,50,0,4.43,0,within an hour,95%,2012-11-29,2019-10-28,55,38.89424,-76.98891,30,120
1011352,Dupont Circle,Entire home/apt,2,1.0,75,0,50,4.21,1,within an hour,93%,2011-04-13,2021-04-14,69,38.91104,-77.03763,30,360
1026034,Shaw,Entire home/apt,4,,117,100,100,4.93,1,within an hour,96%,2012-04-04,2021-07-24,331,38.90902,-77.03318,2,1125
1048410,Brightwood Park,Entire home/apt,2,1.0,100,100,50,4.74,0,within a day,0%,2013-04-04,2017-07-16,50,38.95132,-77.02831,3,10
1062050,Southwest Employment Area,Entire home/apt,2,1.0,131,0,50,4.84,0,,,2013-04-09,2021-08-31,46,38.87602,-77.02025,3,120
1083336,Brightwood Park,Entire home/apt,11,4.0,286,50,100,4.84,1,within an hour,100%,2013-04-16,2021-07-26,321,38.94995,-77.02011,25,365
1092713,Dupont Circle,Entire home/apt,6,1.0,104,100,100,4.56,0,within an hour,99%,2011-04-15,2021-09-12,361,38.9086,-77.04841,1,89
1106738,Kalorama Heights,Entire home/apt,2,2.0,120,0,100,,0,,,2013-04-24,,0,38.92275,-77.04161,180,180
1126839,Howard University,Private room,2,1.0,95,0,0,4.93,1,within a day,50%,2010-08-05,2021-04-19,61,38.91588,-77.02539,4,15
1138235,Georgetown,Entire home/apt,5,3.0,999,100,50,4.71,0,within a day,100%,2013-03-24,2019-05-20,17,38.90381,-77.06288,3,8
1177438,Union Station,Entire home/apt,8,2.0,156,50,100,4.74,0,within an hour,100%,2013-04-21,2021-08-26,216,38.90419,-77.0022,2,89
1185566,Columbia Heights,Entire home/apt,10,4.0,350,50,0,4.75,0,within an hour,98%,2013-05-20,2019-08-06,17,38.93049,-77.044,3,21
1205516,Southwest Employment Area,Private room,2,1.0,49,25,50,4.47,0,within an hour,100%,2012-09-25,2021-09-06,312,38.87164,-77.01247,1,1125
1213652,Edgewood,Entire home/apt,3,1.0,85,25,0,4.34,0,within a few hours,71%,2013-05-28,2020-12-01,65,38.91341,-77.01551,14,1125
1225965,Spring Valley,Entire home/apt,2,1.0,325,0,100,4.43,0,a few days or more,0%,2013-06-01,2019-10-27,15,38.92987,-77.08388,2,365
1245292,Hawthorne,Private room,2,1.0,69,0,0,4.92,1,within an hour,98%,2013-03-13,2021-08-28,323,38.96594,-77.078,1,1125
1273717,Columbia Heights,Entire home/apt,4,2.0,182,0,0,4.82,0,within a few hours,75%,2013-06-15,2021-07-24,13,38.9326,-77.0465,3,1125
1279381,Cleveland Park,Entire home/apt,2,,175,0,100,4.92,0,within an hour,100%,2013-06-17,2021-09-12,88,38.92414,-77.05734,3,90
1280092,Brightwood Park,Entire home/apt,4,1.0,120,50,0,4.74,0,,,2013-02-26,2021-09-12,93,38.94099,-77.02121,2,1125
1281015,Union Station,Entire home/apt,2,1.0,115,0,0,4.84,1,within an hour,100%,2013-06-17,2021-08-29,331,38.90196,-76.99841,3,7
1284169,Columbia Heights,Entire home/apt,4,1.0,100,0,0,4.91,1,,100%,2012-08-27,2021-06-12,214,38.9277,-77.03122,28,365
1294300,Columbia Heights,Entire home/apt,4,1.0,99,50,25,4.92,1,,100%,2013-06-21,2020-07-19,166,38.93246,-77.04259,2,14
1294389,Brightwood Park,Entire home/apt,4,1.0,100,100,100,4.63,0,within a few hours,100%,2013-06-21,2021-08-29,32,38.93771,-77.02872,3,1125
1301928,Dupont Circle,Entire home/apt,3,1.0,120,50,100,4.42,0,within a few hours,43%,2019-02-05,2021-04-27,45,38.91726,-77.03996,4,712
1386754,Brightwood Park,Entire home/apt,8,3.0,165,0,100,5.0,0,within an hour,0%,2011-05-14,2019-08-18,10,38.94305,-77.03817,14,30
1396350,Edgewood,Entire home/apt,4,2.0,116,0,50,4.9,1,within a few hours,83%,2012-05-28,2021-04-12,69,38.91935,-77.01181,2,1125
1407284,Columbia Heights,Private room,2,1.0,45,25,50,4.41,1,,,2012-04-26,2021-06-28,29,38.92519,-77.02925,7,180
1416138,Shaw,Private room,2,1.0,61,25,25,4.74,0,within an hour,93%,2013-07-21,2021-09-05,193,38.91362,-77.02272,1,1125
1446230,Columbia Heights,Entire home/apt,2,,118,0,100,4.72,0,within an hour,93%,2012-09-15,2020-08-14,19,38.92616,-77.03642,120,900
1449453,Union Station,Entire home/apt,2,1.0,67,25,25,4.23,0,,75%,2013-07-09,2018-06-10,25,38.89614,-76.9754,2,1125
1472332,North Michigan Park,Private room,2,1.0,62,50,50,4.95,1,within an hour,100%,2013-08-01,2019-08-31,60,38.94858,-76.99163,3,1125
1484387,Columbia Heights,Private room,2,1.0,120,100,50,4.69,0,,,2012-06-14,2015-04-14,16,38.93105,-77.0257,20,90
1488282,Columbia Heights,Entire home/apt,8,2.0,115,0,50,4.71,1,within an hour,99%,2012-06-13,2021-09-06,404,38.93384,-77.02782,4,1125
1528509,Columbia Heights,Entire home/apt,6,3.0,699,400,100,5.0,0,,0%,2011-10-09,2017-01-22,12,38.9338,-77.0273,2,14
1537822,Columbia Heights,Entire home/apt,3,1.0,84,0,0,4.92,1,within an hour,91%,2013-08-16,2021-07-09,92,38.93362,-77.02555,2,10
1561287,Kalorama Heights,Private room,1,1.0,78,50,0,4.77,0,within a few hours,73%,2013-08-21,2021-08-07,57,38.92328,-77.04052,4,1125
1571112,Dupont Circle,Entire home/apt,2,1.0,145,50,0,4.94,0,within an hour,95%,2013-08-23,2020-06-01,132,38.9147,-77.0402,180,1125
1588843,Ivy City,Entire home/apt,2,1.0,89,0,25,4.55,0,within a few hours,55%,2013-07-28,2021-08-13,78,38.90609,-76.98975,4,150
1601459,Brightwood Park,Private room,2,1.0,40,25,25,4.73,0,,0%,2012-08-22,2016-09-05,43,38.94012,-77.03388,1,1125
1613892,Union Station,Entire home/apt,4,1.0,110,100,0,4.79,0,within an hour,96%,2013-09-02,2021-09-07,285,38.89489,-76.98935,2,1125
1628328,Shaw,Entire home/apt,4,1.0,130,0,50,4.91,1,within an hour,89%,2013-09-05,2021-09-07,353,38.9126,-77.01748,2,365
1628600,Columbia Heights,Entire home/apt,4,2.0,205,100,0,4.83,0,within an hour,82%,2013-09-05,2021-08-29,6,38.93565,-77.02767,2,7
1641184,Kalorama Heights,Private room,1,1.0,79,50,25,4.9,1,within a day,86%,2013-09-08,2021-08-14,70,38.91983,-77.0393,28,365
1667080,Union Station,Entire home/apt,2,,96,50,25,4.91,1,,,2013-09-14,2021-09-05,226,38.90597,-77.00021,2,1125
1673359,Columbia Heights,Private room,1,1.0,75,25,25,4.71,0,within an hour,83%,2013-09-15,2021-09-06,48,38.92305,-77.03025,3,7
1688139,Kalorama Heights,Entire home/apt,2,,74,50,50,4.29,0,within a day,67%,2011-04-01,2021-06-08,19,38.91897,-77.0464,15,1125
1690515,Kalorama Heights,Entire home/apt,2,1.0,248,0,0,,0,within an hour,93%,2012-09-15,,0,38.92649,-77.0383,28,1125
1692215,Dupont Circle,Entire home/apt,6,2.0,110,100,100,4.61,0,,,2018-12-04,2021-06-05,31,38.91743,-77.03763,10,1125
1718584,Edgewood,Entire home/apt,6,3.0,175,100,100,4.49,0,within a few hours,71%,2013-05-28,2020-03-03,78,38.91343,-77.01452,30,1125
1761677,Columbia Heights,Entire home/apt,8,4.0,325,50,0,4.92,0,within an hour,94%,2013-10-06,2021-08-22,64,38.92914,-77.04176,3,60
1778080,Kalorama Heights,Entire home/apt,3,1.0,120,50,100,4.46,0,a few days or more,10%,2013-10-09,2018-09-29,66,38.92263,-77.04492,4,1125
1789722,Columbia Heights,Entire home/apt,6,1.0,132,50,100,4.9,1,within an hour,98%,2013-10-12,2021-08-09,361,38.93115,-77.03846,2,1125
