Patron Type,Age Range,Home Library,Active Date,Checkouts,Renewals,Notice Preference,Year Patron Registered,Outside of County
JUVENILE,10 to 19 years,Main Library,2016-02-01,563,38,phone,2008,False
SENIOR,65 to 74 years,Ingleside,2012-05-01,44,10,email,2003,False
ADULT,60 to 64 years,Excelsior,2013-10-01,1,0,print,2008,False
ADULT,25 to 34 years,Ingleside,2015-08-01,16,5,email,2013,False
ADULT,25 to 34 years,North Beach,2016-07-01,142,108,email,2007,False
JUVENILE,10 to 19 years,Chinatown,2015-04-01,22,2,print,2009,False
JUVENILE,0 to 9 years,Glen Park,2016-07-01,61,15,email,2015,False
ADULT,45 to 54 years,Ortega,2016-06-01,194,12,email,2011,True
ADULT,45 to 54 years,Main Library,2016-07-01,724,271,print,2003,False
JUVENILE,0 to 9 years,Excelsior,2013-07-01,4,0,email,2010,False
ADULT,25 to 34 years,Marina,,0,0,email,2014,True
ADULT,25 to 34 years,Mission,2016-06-01,198,127,email,2014,False
ADULT,45 to 54 years,Parkside,2016-07-01,370,57,phone,2004,False
ADULT,35 to 44 years,Main Library,,0,0,email,2011,False
ADULT,20 to 24 years,Excelsior,,0,0,email,2015,False
ADULT,45 to 54 years,Ingleside,2016-07-01,126,2,email,2012,False
ADULT,20 to 24 years,Main Library,2015-03-01,0,0,print,2015,False
ADULT,25 to 34 years,Main Library,2015-08-01,12,16,email,2014,True
ADULT,55 to 59 years,Main Library,,0,0,email,2015,True
ADULT,65 to 74 years,Main Library,2016-07-01,9,0,print,2016,True
ADULT,25 to 34 years,Mission,2015-10-01,76,45,email,2013,False
ADULT,25 to 34 years,Main Library,2015-03-01,25,3,email,2014,True
JUVENILE,0 to 9 years,Mission Bay,2016-07-01,218,0,email,2015,False
ADULT,10 to 19 years,Chinatown,2014-10-01,2715,23,phone,2003,False
SENIOR,75 years and over,Noe Valley/Sally Brunn,2014-07-01,121,81,email,2008,False
ADULT,35 to 44 years,Western Addition,2015-08-01,1,0,email,2015,False
ADULT,60 to 64 years,Visitacion Valley,2015-03-01,8,4,phone,2013,False
ADULT,35 to 44 years,Merced,2016-06-01,64,36,email,2011,False
ADULT,35 to 44 years,Main Library,2014-02-01,46,24,email,2003,False
ADULT,25 to 34 years,North Beach,2015-03-01,2,1,email,2014,False
ADULT,45 to 54 years,Merced,2015-10-01,17,6,email,2013,False
ADULT,25 to 34 years,Mission Bay,,0,0,email,2014,False
ADULT,35 to 44 years,Noe Valley/Sally Brunn,2016-07-01,78,46,email,2009,False
ADULT,65 to 74 years,Sunset,2015-10-01,306,7,print,2003,False
ADULT,35 to 44 years,Parkside,2014-12-01,13,0,email,2013,False
ADULT,25 to 34 years,Ortega,2013-07-01,2,4,email,2013,False
ADULT,35 to 44 years,Marina,2012-02-01,57,2,email,2008,True
ADULT,60 to 64 years,Ortega,,0,0,phone,2013,False
ADULT,25 to 34 years,Merced,2014-12-01,73,1,email,2008,True
ADULT,25 to 34 years,Main Library,,0,0,email,2014,False
ADULT,60 to 64 years,Main Library,2014-11-01,10,1,phone,2011,False
ADULT,55 to 59 years,Anza,2016-07-01,4846,802,email,2003,False
ADULT,60 to 64 years,Main Library,2014-03-01,0,0,email,2013,True
ADULT,20 to 24 years,Glen Park,2014-02-01,14,0,phone,2010,False
ADULT,55 to 59 years,Mission Bay,,0,0,email,2014,False
YOUNG ADULT,10 to 19 years,Mission,2016-01-01,2,0,email,2016,False
ADULT,25 to 34 years,West Portal,2016-02-01,9,3,email,2015,False
ADULT,45 to 54 years,Visitacion Valley,2016-05-01,53,196,email,2011,True
ADULT,55 to 59 years,Bayview/Linda Brooks-Burton,2015-12-01,6,0,phone,2003,False
ADULT,45 to 54 years,Main Library,2016-06-01,4,9,email,2016,True
ADULT,25 to 34 years,Main Library,2014-10-01,1,0,email,2011,True
ADULT,25 to 34 years,Main Library,2014-05-01,31,1,phone,2012,False
TEACHER CARD,45 to 54 years,West Portal,2016-06-01,12,0,email,2016,False
ADULT,25 to 34 years,Mission Bay,,0,0,email,2013,False
ADULT,25 to 34 years,Main Library,,0,0,email,2016,True
SPECIAL,75 years and over,Library on Wheels,2016-06-01,313,340,email,2003,False
JUVENILE,0 to 9 years,Mission,2016-06-01,83,2,email,2013,False
YOUNG ADULT,10 to 19 years,Sunset,2016-07-01,45,1,email,2013,False
SENIOR,65 to 74 years,Main Library,2016-07-01,1629,696,email,2007,True
ADULT,35 to 44 years,Mission Bay,2009-01-01,3,0,email,2008,False
ADULT,20 to 24 years,Mission,2013-10-01,31,2,email,2007,False
YOUNG ADULT,10 to 19 years,Main Library,,0,0,email,2013,True
ADULT,20 to 24 years,Main Library,2015-08-01,1,0,email,2015,True
YOUNG ADULT,10 to 19 years,Chinatown,2016-07-01,325,59,print,2007,False
