Year,Player,Pos,Age,Tm,MP,FT,TRB,AST,STL,BLK,TOV,PF,PTS
2017,Justin Holiday,SG,27,NYK,1639,66,225,102,65,31,66,109,629
2017,Dwight Howard,C,31,ATL,2199,226,940,104,64,92,170,203,1002
2017,Danuel House,SG,23,WAS,1,0,1,0,0,0,0,0,0
2017,Al Horford,C,30,BOS,2193,108,464,337,52,87,116,138,952
2017,Rodney Hood,SG,24,UTA,1593,90,202,96,38,11,65,132,748
2017,Richaun Holmes,C,23,PHI,1193,72,311,58,42,55,55,136,559
2017,Rondae Hollis-Jefferson,SF,22,BRK,1761,190,452,154,82,44,116,177,675
2017,Joel Embiid,C,22,PHI,786,191,243,66,27,76,117,112,627
2017,Monta Ellis,SG,31,IND,1998,93,204,236,79,27,135,149,630
2017,Wayne Ellington,SG,29,MIA,1500,37,133,70,35,4,30,70,648
2017,Tarik Black,C,25,LAL,1091,82,342,39,30,44,58,173,383
2017,Bismack Biyombo,C,24,ORL,1793,125,567,74,25,91,95,202,483
2017,Patrick Beverley,SG,28,HOU,2058,73,394,281,99,25,100,222,639
2017,Davis Bertans,PF,24,SAS,808,28,99,46,20,28,32,75,303
2017,Ben Bentil,PF,21,DAL,10,0,2,0,0,0,1,1,0
2017,Anthony Bennett,PF,23,BRK,264,26,78,12,5,3,12,18,115
2017,Dragan Bender,PF,19,PHO,574,4,103,23,10,22,32,74,146
2017,DeAndre' Bembry,SF,22,ATL,371,6,59,28,8,5,16,21,101
2017,Marco Belinelli,SG,30,CHO,1778,150,178,147,44,9,70,90,780
2017,Michael Beasley,PF,28,MIL,935,78,193,53,28,27,66,92,528
2017,Malik Beasley,SG,20,DEN,165,8,17,11,7,0,8,10,83
2017,Bradley Beal,SG,23,WAS,2684,282,239,267,83,21,157,169,1779
2017,Kent Bazemore,SF,27,ATL,1963,119,231,177,91,52,125,165,801
2017,Aron Baynes,C,30,DET,1163,79,333,32,17,39,50,166,365
2017,Jerryd Bayless,PG,28,PHI,71,9,12,13,0,0,9,4,33
2017,Nicolas Batum,SG,28,CHO,2617,243,481,455,86,29,194,109,1164
2017,Nemanja Bjelica,PF,28,MIN,1190,45,244,79,40,20,59,154,403
2017,Eric Bledsoe,PG,27,PHO,2176,388,320,418,92,31,223,164,1390
2017,Henry Ellenson,PF,20,DET,146,4,41,7,1,1,14,6,60
2017,Bojan Bogdanovic,SF,27,TOT,2083,217,277,111,34,7,130,146,1113
2017,Anthony Brown,SF,24,TOT,159,0,33,8,5,1,6,15,43
2017,Aaron Brooks,PG,32,IND,894,32,69,125,25,9,66,93,322
2017,Malcolm Brogdon,SG,24,MIL,1982,109,213,317,84,12,113,140,767
2017,Corey Brewer,SF,30,LAL,358,18,52,36,24,8,19,29,129
2017,Corey Brewer,SF,30,HOU,923,32,114,61,37,11,36,104,242
2017,Corey Brewer,SF,30,TOT,1281,50,166,97,61,19,55,133,371
2017,Avery Bradley,SG,26,BOS,1835,68,334,121,68,11,88,141,894
2017,Trevor Booker,PF,29,BRK,1754,74,570,138,76,28,127,152,709
2017,Devin Booker,SG,20,PHO,2730,367,249,268,72,21,241,242,1726
2017,Joel Bolomboy,PF,23,UTA,53,3,17,2,1,2,2,1,22
2017,Andrew Bogut,C,32,CLE,1,0,0,0,0,0,0,2,0
2017,Andrew Bogut,C,32,DAL,582,3,218,49,13,25,43,84,79
2017,Andrew Bogut,C,32,TOT,583,3,218,49,13,25,43,86,79
2017,Bojan Bogdanovic,SF,27,WAS,601,71,80,21,10,4,38,47,330
2017,Bojan Bogdanovic,SF,27,BRK,1482,146,197,90,24,3,92,99,783
2017,Brandon Bass,PF,31,LAC,577,77,129,21,14,11,29,45,292
2017,Will Barton,SG,26,DEN,1705,143,258,206,48,28,97,110,820
2017,Matt Barnes,SF,36,GSW,410,20,91,45,12,9,24,47,114
2017,Matt Barnes,SF,36,SAC,1367,50,296,149,36,17,83,138,413
2017,Justin Anderson,SF,23,TOT,1228,102,245,66,41,23,66,109,532
2017,Alan Anderson,SF,34,LAC,308,12,24,11,3,0,7,35,86
2017,Chris Andersen,C,38,CLE,114,10,31,5,5,7,5,20,28
2017,Al-Farouq Aminu,SF,26,POR,1773,96,451,99,60,44,94,102,532
2017,Tony Allen,SG,35,MEM,1914,80,391,98,115,29,100,178,643
2017,Lavoy Allen,PF,27,IND,871,23,220,57,18,24,29,78,177
2017,LaMarcus Aldridge,PF,31,SAS,2335,220,524,139,46,89,98,158,1243
2017,Cole Aldrich,C,28,MIN,531,15,158,25,25,23,17,85,105
2017,Alexis Ajinca,C,28,NOP,584,29,177,12,20,22,31,77,207
2017,Arron Afflalo,SG,31,SAC,1580,83,125,78,21,7,42,104,515
2017,Steven Adams,C,23,OKC,2389,157,615,86,88,78,146,195,905
2017,Quincy Acy,PF,26,BRK,510,43,107,18,14,15,19,58,209
2017,Quincy Acy,PF,26,DAL,48,2,8,0,0,0,2,9,13
2017,Quincy Acy,PF,26,TOT,558,45,115,18,14,15,21,67,222
2017,Alex Abrines,SG,23,OKC,1055,44,86,40,37,8,33,114,406
2017,Justin Anderson,SF,23,DAL,710,70,149,32,28,16,40,64,329
2017,Justin Anderson,SF,23,PHI,518,32,96,34,13,7,26,45,203
2017,Kyle Anderson,SG,23,SAS,1020,45,208,91,51,26,39,63,246
2017,Luke Babbitt,SF,27,MIA,1065,11,142,36,21,11,25,118,324
2017,Matt Barnes,SF,36,TOT,1777,70,387,194,48,26,107,185,527
2017,Harrison Barnes,PF,24,DAL,2803,242,397,117,66,15,102,128,1518
2017,J.J. Barea,PG,32,DAL,771,44,84,193,14,1,63,30,381
2017,Leandro Barbosa,SG,34,PHO,963,40,104,81,31,8,48,82,419
2017,Wade Baldwin,PG,20,MEM,405,31,46,61,18,7,40,40,106
2017,Ron Baker,SG,23,NYK,857,28,98,107,34,8,56,74,215
2017,D.J. Augustin,PG,29,ORL,1538,131,117,209,31,1,90,101,616
2017,Ryan Anderson,PF,28,HOU,2116,129,330,68,32,14,55,142,979
2017,Omer Asik,C,30,NOP,482,23,163,15,5,10,14,51,85
2017,Darrell Arthur,PF,28,DEN,639,19,112,42,19,21,36,76,262
2017,Trevor Ariza,SF,31,HOU,2773,93,459,175,147,20,74,133,936
2017,Joel Anthony,C,34,SAS,122,5,31,3,2,6,4,11,25
2017,Carmelo Anthony,SF,32,NYK,2538,304,436,213,60,34,153,198,1659
2017,Giannis Antetokounmpo,SF,22,MIL,2845,471,700,434,131,151,234,246,1832
2017,Anthony Brown,SF,24,NOP,143,0,26,6,5,1,5,13,34
2017,Anthony Brown,SF,24,ORL,16,0,7,2,0,0,1,2,9
2017,Bobby Brown,PG,32,HOU,123,2,6,14,1,0,5,5,62
2017,DeMarcus Cousins,C,26,TOT,2465,517,797,332,100,92,269,278,1942
2017,Sam Dekker,SF,22,HOU,1419,38,284,76,38,21,41,83,504
2017,Dewayne Dedmon,C,27,SAS,1330,65,495,44,37,61,61,180,387
2017,Ed Davis,PF,27,POR,789,50,243,27,15,22,37,137,200
2017,Deyonta Davis,C,20,MEM,238,10,60,2,3,17,8,40,58
2017,Anthony Davis,C,23,NOP,2708,519,886,157,94,167,181,168,2099
2017,Troy Daniels,SG,25,MEM,1183,43,100,46,21,4,45,90,551
2017,Stephen Curry,PG,28,GSW,2638,325,353,523,143,17,239,183,1999
2017,Seth Curry,PG,26,DAL,2029,85,178,188,79,7,92,126,898
2017,Dante Cunningham,SF,29,NOP,1649,16,277,36,39,28,28,100,435
2017,Jae Crowder,SF,26,BOS,2335,176,415,155,72,23,79,161,999
2017,Jordan Crawford,SG,28,NOP,442,20,34,57,11,2,25,30,267
2017,Jamal Crawford,SG,36,LAC,2157,174,129,213,59,14,134,115,1008
2017,Allen Crabbe,SG,24,POR,2254,105,225,93,54,20,62,171,845
2017,Robert Covington,SF,26,PHI,2119,143,436,102,127,69,131,203,864
2017,DeMarcus Cousins,C,26,NOP,574,94,212,66,25,19,62,75,414
2017,Malcolm Delaney,PG,27,ATL,1248,75,124,193,39,1,95,112,391
2017,Matthew Dellavedova,PG,26,MIL,1986,82,147,357,53,0,133,153,577
2017,Luol Deng,SF,31,LAL,1486,46,295,74,48,20,43,61,425
2017,Jared Dudley,PF,31,PHO,1362,43,225,121,42,16,72,154,434
2017,Jarell Eddie,SF,25,PHO,62,8,7,0,1,0,1,1,24
2017,Kevin Durant,SF,28,GSW,2070,336,513,300,66,99,138,117,1555
2017,Kris Dunn,PG,22,MIN,1333,36,166,188,78,36,89,178,293
2017,Mike Dunleavy,SF,36,ATL,475,22,68,30,9,5,14,35,169
2017,Mike Dunleavy,SF,36,CLE,366,14,47,20,6,2,14,32,106
2017,Mike Dunleavy,SF,36,TOT,841,36,115,50,15,7,28,67,275
2017,Andre Drummond,C,23,DET,2409,137,1116,89,124,89,152,237,1105
2017,DeMar DeRozan,SG,27,TOR,2620,545,386,290,78,13,180,134,2020
2017,Goran Dragic,PG,30,MIA,2459,298,278,423,89,13,212,199,1483
2017,Toney Douglas,PG,30,MEM,394,24,61,56,18,5,21,50,117
2017,Spencer Dinwiddie,PG,23,BRK,1334,126,164,185,44,23,66,119,432
2017,Gorgui Dieng,PF,27,MIN,2653,136,647,158,88,95,107,254,816
2017,Boris Diaw,PF,34,UTA,1283,26,158,170,18,9,87,83,338
2017,Cheick Diallo,PF,20,NOP,199,15,73,4,4,7,7,17,87
2017,DeMarcus Cousins,C,26,SAC,1891,423,585,266,75,73,207,203,1528
2017,Quinn Cook,PG,23,NOP,111,2,4,14,3,0,5,7,52
2017,Jaylen Brown,SF,20,BOS,1341,85,220,64,35,18,68,142,515
2017,Quinn Cook,PG,23,DAL,77,0,3,12,1,0,8,6,27
2017,Michael Carter-Williams,PG,25,CHI,846,58,152,113,38,23,66,102,297
2017,Vince Carter,SF,40,MEM,1799,88,227,133,60,36,50,163,586
2017,DeMarre Carroll,SF,30,TOR,1882,89,275,74,81,27,54,143,638
2017,Clint Capela,C,22,HOU,1551,94,526,64,34,80,87,179,818
2017,Isaiah Canaan,SG,25,CHI,592,30,49,37,22,1,20,35,181
2017,Kentavious Caldwell-Pope,SG,23,DET,2529,154,248,193,89,12,86,118,1047
2017,Jose Calderon,PG,35,ATL,247,7,32,37,4,0,15,14,61
2017,Jose Calderon,PG,35,LAL,292,4,42,51,7,1,26,22,80
2017,Jose Calderon,PG,35,TOT,539,11,74,88,11,1,41,36,141
2017,Bruno Caboclo,SF,21,TOR,40,0,10,4,2,1,2,4,14
2017,Jimmy Butler,SF,27,CHI,2809,585,470,417,143,32,159,112,1816
2017,Alec Burks,SG,25,UTA,653,60,120,30,18,5,35,50,283
2017,Trey Burke,PG,24,WAS,703,22,47,100,11,5,48,54,285
2017,Reggie Bullock,SF,25,DET,467,5,64,29,18,3,10,22,141
2017,Nicolas Brussino,SF,23,DAL,521,17,95,47,17,8,26,43,150
2017,Omri Casspi,SF,28,TOT,643,17,112,37,23,3,29,50,186
2017,Omri Casspi,SF,28,SAC,397,12,90,26,10,1,17,23,129
2017,Omri Casspi,SF,28,NOP,24,0,2,0,0,0,2,3,12
2017,Jordan Clarkson,SG,24,LAL,2397,134,246,213,88,8,164,150,1205
2017,Quinn Cook,PG,23,TOT,188,2,7,26,4,0,13,13,79
2017,Pat Connaughton,SG,24,POR,316,7,52,28,6,2,17,23,98
2017,Mike Conley,PG,29,MEM,2292,316,242,433,92,19,156,126,1415
2017,Nick Collison,PF,36,OKC,128,5,30,12,2,2,4,17,33
2017,Darren Collison,PG,29,SAC,2063,147,153,312,67,9,114,119,900
2017,Norris Cole,PG,28,OKC,125,8,11,14,8,0,7,18,43
2017,Ian Clark,SG,25,GSW,1137,44,122,90,39,8,55,77,527
2017,Omri Casspi,SF,28,MIN,222,5,20,11,13,2,10,24,45
2017,Semaj Christon,PG,24,OKC,973,17,88,130,28,6,43,79,183
2017,Rakeem Christmas,PF,25,IND,219,21,56,4,3,6,8,37,59
2017,Marquese Chriss,PF,19,PHO,1743,113,348,60,67,70,108,263,753
2017,Wilson Chandler,SF,29,DEN,2197,141,459,141,52,30,114,172,1117
2017,Tyson Chandler,C,34,PHO,1298,91,539,30,33,24,67,126,397
2017,Willie Cauley-Stein,C,23,SAC,1421,101,340,80,53,45,69,147,611
2017,Enes Kanter,C,24,OKC,1533,224,482,67,32,38,123,154,1033
2017,Tyreke Evans,SF,27,TOT,788,69,137,124,35,9,61,60,411
2017,Michael Kidd-Gilchrist,SF,23,CHO,2349,152,565,114,81,77,56,187,743
2017,Lance Stephenson,SG,26,NOP,162,5,18,29,2,1,11,18,58
2017,Nik Stauskas,SG,23,PHI,2188,122,226,188,45,32,128,144,756
2017,Tiago Splitter,C,32,PHI,76,9,22,4,1,1,6,8,39
2017,Marreese Speights,C,29,LAC,1286,120,373,66,23,41,69,229,711
2017,Tony Snell,SG,25,MIL,2336,47,248,96,54,14,55,125,683
2017,Jason Smith,C,30,WAS,1068,35,258,37,21,55,58,168,420
2017,J.R. Smith,SG,31,CLE,1187,10,113,62,40,11,26,77,351
2017,Ish Smith,PG,28,DET,1955,72,235,418,61,33,112,127,758
2017,Marcus Smart,SG,22,BOS,2399,203,306,364,125,34,159,192,835
2017,Kyle Singler,SF,28,OKC,385,13,48,9,7,5,11,29,88
2017,Jonathon Simmons,SG,27,SAS,1392,99,160,126,47,25,76,146,483
2017,Pascal Siakam,PF,22,TOR,859,22,185,17,26,45,33,109,229
2017,Iman Shumpert,SG,26,CLE,1937,71,219,109,62,27,78,150,567
2017,Ramon Sessions,PG,30,CHO,811,91,73,129,26,3,46,43,312
2017,Kevin Seraphin,PF,27,IND,559,14,142,23,7,20,29,66,232
2017,Wayne Selden,SG,22,MEM,189,12,11,12,4,1,9,12,55
2017,Lance Stephenson,SG,26,TOT,361,8,52,59,5,3,26,32,122
2017,Lance Stephenson,SG,26,MIN,67,1,10,5,0,0,4,2,21
2017,Hollis Thompson,SG,25,NOP,191,6,28,9,6,0,2,14,34
2017,Lance Stephenson,SG,26,IND,132,2,24,25,3,2,11,12,43
2017,Hollis Thompson,SG,25,TOT,752,19,111,35,20,6,11,69,205
2017,Lance Thomas,PF,28,NYK,968,43,142,35,21,5,25,85,275
2017,Isaiah Thomas,PG,27,BOS,2569,590,205,449,70,13,210,167,2199
2017,Jason Terry,SG,39,MIL,1365,24,106,98,45,20,36,95,307
2017,Garrett Temple,SG,30,SAC,1728,58,183,169,84,28,78,141,506
2017,Mirza Teletovic,PF,31,MIL,1133,35,162,48,12,13,37,109,451
2017,Jeff Teague,PG,28,IND,2657,360,331,639,100,32,216,165,1254
2017,Isaiah Taylor,PG,22,HOU,52,1,3,3,1,1,0,6,3
2017,Edy Tavares,C,24,CLE,24,0,10,1,0,6,2,3,6
2017,Edy Tavares,C,24,ATL,4,0,1,0,0,0,0,0,2
2017,Edy Tavares,C,24,TOT,28,0,11,1,0,6,2,3,8
2017,Jared Sullinger,PF,24,TOR,118,4,27,3,4,1,4,17,37
2017,Rodney Stuckey,PG,30,IND,696,80,84,84,16,0,53,44,281
2017,Diamond Stone,C,19,LAC,24,4,6,0,0,1,2,5,10
2017,Jarnell Stokes,C,23,DEN,7,1,2,2,1,0,0,3,3
2017,Wayne Selden,SG,22,NOP,47,2,5,1,2,0,3,6,16
2017,Wayne Selden,SG,22,TOT,236,14,16,13,6,1,12,18,71
2017,Thabo Sefolosha,SF,32,ATL,1596,55,270,107,96,31,58,97,444
2017,Mike Scott,PF,28,ATL,195,7,37,17,4,3,8,12,45
2017,Glenn Robinson,SF,23,IND,1426,54,245,47,41,20,37,63,419
2017,Brian Roberts,PG,31,CHO,416,33,39,52,9,1,26,18,142
2017,Andre Roberson,SF,25,OKC,2376,47,402,79,94,79,51,204,522
2017,Austin Rivers,SG,24,LAC,2054,132,161,204,48,10,115,187,889
2017,Malachi Richardson,SG,21,SAC,198,15,23,11,5,1,8,23,79
2017,Josh Richardson,SG,23,MIA,1614,60,168,140,60,39,65,132,539
2017,Willie Reed,C,26,MIA,1031,49,332,26,18,47,31,137,374
2017,J.J. Redick,SG,32,LAC,2198,180,171,110,55,13,98,125,1173
2017,Zach Randolph,PF,35,MEM,1786,141,598,122,38,10,99,136,1028
2017,Julius Randle,PF,22,LAL,2132,204,636,264,49,37,173,248,975
2017,Chasson Randle,PG,23,NYK,225,29,27,28,6,1,16,28,95
2017,Chasson Randle,PG,23,PHI,74,12,5,6,3,1,3,11,42
2017,Chasson Randle,PG,23,TOT,299,41,32,34,9,2,19,39,137
2017,Tim Quarterman,SG,22,POR,80,0,14,11,2,3,11,6,31
2017,Ronnie Price,PG,33,PHO,134,3,11,18,11,1,3,14,14
2017,Thomas Robinson,PF,25,LAL,560,31,223,31,26,9,46,76,241
