State,Location,"All Ages, 2012","All Ages, 2014","Ages 0-20, 2012","Ages 0-20, 2014","Ages 21-34, 2012","Ages 21-34, 2014","Ages 35+, 2012","Ages 35+, 2014","Male, 2012","Male, 2014","Female, 2012","Female, 2014"
Illinois,"Illinois
(40.48501223300008, -88.99770922699997)",2.5,2.4,0.7,0.7,6.0,5.5,2.1,2.2,4.0,3.7,1.0,1.3
Indiana,"Indiana
(39.766913353000064, -86.14995646699998)",3.6,3.2,1.2,,7.2,6.3,3.5,3.2,6.0,5.1,1.3,1.3
Iowa,"Iowa
(42.469401411000035, -93.81648725599996)",3.2,3.0,,,5.9,4.6,2.9,3.4,5.1,4.8,,
Kansas,"Kansas
(38.347742794000055, -98.20077822999997)",3.4,3.6,2.3,,6.0,7.4,3.0,3.3,6.0,5.8,,1.4
Kentucky,"Kentucky
(37.64597313300004, -84.77496771599994)",4.0,3.9,1.8,2.0,7.2,7.8,3.7,3.4,6.5,6.5,1.5,1.3
Louisiana,"Louisiana
(31.312663324000027, -92.44567750499994)",5.2,5.4,2.8,1.8,8.6,9.4,5.1,5.7,8.3,9.1,2.4,1.9
Maine,"Maine
(45.25422910300006, -68.98502586699993)",3.8,3.3,,,,,2.8,3.1,6.6,5.1,,
Maryland,"Maryland
(39.290582950000044, -76.60925984299996)",2.7,2.2,1.6,,5.8,5.4,2.2,1.8,4.1,3.5,1.4,0.9
Massachusetts,"Massachusetts
(42.27687400000008, -72.08268726299997)",1.8,1.9,,,3.3,4.0,1.7,1.8,2.7,3.1,0.9,0.9
Michigan,"Michigan
(44.66132238800003, -84.71438555599997)",2.7,2.2,1.1,1.0,6.8,5.1,2.0,1.8,4.3,3.3,1.2,1.1
Minnesota,"Minnesota
(46.35564896600005, -94.79419983199995)",2.1,1.9,,,3.7,3.5,2.2,2.1,3.2,3.0,1.2,0.9
Mississippi,"Mississippi
(32.745513440000025, -89.53802722999995)",6.1,6.0,2.6,2.8,12.0,10.8,5.7,5.8,9.8,9.4,2.7,2.8
Missouri,"Missouri
(38.63579147100006, -92.56629944499997)",4.8,3.4,1.9,,9.5,6.9,4.4,3.2,7.8,5.6,1.8,1.3
Montana,"Montana
(47.06652795700006, -109.42441587999997)",9.4,7.3,,,21.4,15.4,7.2,6.9,14.9,10.2,4.0,4.3
Nebraska,"Nebraska
(41.64104362100005, -99.36571888999998)",4.0,3.3,,,6.5,7.0,3.5,3.0,6.4,5.0,,
Nevada,"Nevada
(39.49324221300003, -117.07183885899997)",2.8,3.3,,,4.6,6.4,3.2,2.7,4.2,4.9,1.4,1.7
New Hampshire,"New Hampshire
(43.65595283500005, -71.50035697299995)",2.4,2.4,,,,,2.9,,4.1,3.2,,
New Jersey,"New Jersey
(40.130570807000026, -74.27368796999997)",1.8,1.8,,,4.6,3.6,1.4,1.7,2.9,2.9,0.9,0.8
New Mexico,"New Mexico
(34.52088149400004, -106.24057817299996)",4.8,5.7,,,9.1,11.2,4.5,5.1,6.9,8.6,2.9,2.8
New York,"New York
(42.82700376100007, -75.54396609999998)",1.7,1.6,0.6,0.7,3.3,3.0,1.7,1.5,2.7,2.4,0.8,0.8
North Carolina,"North Carolina
(35.466220159000045, -79.15924997399998)",4.2,3.8,1.7,1.4,8.0,7.7,4.0,3.6,6.8,6.3,1.7,1.5
North Dakota,"North Dakota
(47.475318609000055, -100.11842789099995)",11.3,7.2,,,15.3,15.2,12.0,6.1,17.4,10.7,,
Ohio,"Ohio
(40.060212455000055, -82.40425667899996)",3.5,2.7,1.2,0.8,6.8,5.6,3.3,2.6,5.5,4.2,1.6,1.3
Oklahoma,"Oklahoma
(35.472030747000076, -97.52106835299998)",5.6,4.0,,,10.5,7.4,5.8,3.9,9.3,6.0,1.9,2.1
Oregon,"Oregon
(44.56745049300008, -120.15502935599994)",2.2,2.5,,,5.2,4.2,1.8,2.6,3.1,3.7,1.3,1.4
Pennsylvania,"Pennsylvania
(40.79373362300004, -77.86069690799997)",3.3,2.7,1.4,0.7,7.2,5.5,2.8,2.7,5.4,4.4,1.3,1.1
Rhode Island,"Rhode Island
(41.70828106100004, -71.52246566099996)",2.3,,,,,,,,,,,
South Carolina,"South Carolina
(33.99882216300006, -81.04536596899999)",7.6,5.8,2.8,2.0,14.2,12.4,7.6,5.3,12.3,9.0,3.2,2.9
South Dakota,"South Dakota
(44.35313004200003, -100.37352915599996)",5.7,5.6,,,,,,6.2,7.4,8.7,,
Tennessee,"Tennessee
(35.68094072700006, -85.77448666899994)",4.6,4.1,1.6,,8.0,8.2,4.9,4.1,7.5,6.8,1.8,1.5
Texas,"Texas
(31.827240467000024, -99.42676785299994)",4.9,5.4,2.1,2.3,10.0,10.0,4.7,5.3,7.6,8.1,2.4,2.7
Utah,"Utah
(39.36070123200005, -111.58712831499997)",1.2,2.0,,,,,1.9,2.3,1.7,3.0,,
Vermont,"Vermont
(43.62538389600007, -72.51763667599994)",3.4,,,,,,,,,,,
Virginia,"Virginia
(37.542680705000066, -78.45788932099998)",2.5,2.5,1.2,1.2,4.5,5.1,2.6,2.3,4.1,3.9,0.9,1.2
Washington,"Washington
(47.52228790000004, -120.47002813699999)",2.1,1.9,,,4.0,3.4,2.0,1.9,3.6,2.9,0.7,0.9
West Virginia,"West, Virginia
(38.66551127300005, -80.71263755899997)",5.6,4.7,,,12.9,10.0,4.4,4.0,9.3,7.1,,
Wisconsin,"Wisconsin
(44.39319064600005, -89.81636640199997)",3.6,2.9,1.6,,6.5,7.5,3.5,2.3,5.6,4.8,1.6,1.2
Wyoming,"Wyoming
(43.23554100600006, -108.10982701399996)",7.1,8.2,,,17.3,,,8.1,11.3,13.1,,
