Year,Race,Age Group,Gender,Gender Percent,Birth Rate
2012,Hispanic,20-24,male,50.9,56.753499999999995
2012,Hispanic,20-24,female,49.1,54.746500000000005
2000,American Indian/Alaska Native,20-24,male,51.4,60.2408
2000,American Indian/Alaska Native,20-24,female,48.6,56.9592
2001,American Indian/Alaska Native,20-24,male,50.7,57.6966
2001,American Indian/Alaska Native,20-24,female,49.3,56.10339999999999
2002,American Indian/Alaska Native,20-24,male,50.3,55.6821
2002,American Indian/Alaska Native,20-24,female,49.7,55.01790000000001
2003,American Indian/Alaska Native,20-24,male,51.0,54.57
2003,American Indian/Alaska Native,20-24,female,49.0,52.43
2004,American Indian/Alaska Native,20-24,male,50.5,53.227000000000004
2004,American Indian/Alaska Native,20-24,female,49.5,52.173
2005,American Indian/Alaska Native,20-24,male,50.1,51.55290000000001
2005,American Indian/Alaska Native,20-24,female,49.9,51.3471
2006,American Indian/Alaska Native,20-24,male,50.9,54.3612
2006,American Indian/Alaska Native,20-24,female,49.1,52.4388
2007,American Indian/Alaska Native,20-24,male,51.2,54.1696
2007,American Indian/Alaska Native,20-24,female,48.8,51.6304
2008,American Indian/Alaska Native,20-24,male,51.1,52.4797
2008,American Indian/Alaska Native,20-24,female,48.9,50.220299999999995
2009,American Indian/Alaska Native,20-24,male,50.8,48.9204
2009,American Indian/Alaska Native,20-24,female,49.2,47.3796
2010,American Indian/Alaska Native,20-24,male,50.9,46.318999999999996
2010,American Indian/Alaska Native,20-24,female,49.1,44.681000000000004
2011,American Indian/Alaska Native,20-24,male,50.8,43.992799999999995
2011,American Indian/Alaska Native,20-24,female,49.2,42.607200000000006
2012,American Indian/Alaska Native,20-24,male,50.7,41.42190000000001
2012,American Indian/Alaska Native,20-24,female,49.3,40.2781
2000,Asian and Pacific Islander,20-24,male,51.8,31.235399999999995
2000,Asian and Pacific Islander,20-24,female,48.2,29.0646
2001,Asian and Pacific Islander,20-24,male,52.0,29.12
2001,Asian and Pacific Islander,20-24,female,48.0,26.88
2002,Asian and Pacific Islander,20-24,male,51.3,28.471499999999995
2002,Asian and Pacific Islander,20-24,female,48.7,27.028500000000005
2003,Asian and Pacific Islander,20-24,male,51.0,27.692999999999998
2003,Asian and Pacific Islander,20-24,female,49.0,26.607
2004,Asian and Pacific Islander,20-24,male,51.3,27.342899999999997
2004,Asian and Pacific Islander,20-24,female,48.7,25.9571
2005,Asian and Pacific Islander,20-24,male,51.3,27.1377
2005,Asian and Pacific Islander,20-24,female,48.7,25.7623
2006,Asian and Pacific Islander,20-24,male,51.3,27.599399999999996
2006,Asian and Pacific Islander,20-24,female,48.7,26.200599999999998
2007,Asian and Pacific Islander,20-24,male,50.7,26.972400000000004
2007,Asian and Pacific Islander,20-24,female,49.3,26.2276
2008,Asian and Pacific Islander,20-24,male,51.2,25.8048
2008,Asian and Pacific Islander,20-24,female,48.8,24.5952
2009,Asian and Pacific Islander,20-24,male,51.3,23.803199999999997
2009,Asian and Pacific Islander,20-24,female,48.7,22.596799999999998
2010,Asian and Pacific Islander,20-24,male,51.6,21.981600000000004
2010,Asian and Pacific Islander,20-24,female,48.4,20.6184
2011,Asian and Pacific Islander,20-24,male,51.1,21.4109
2011,Asian and Pacific Islander,20-24,female,48.9,20.489099999999997
2012,Asian and Pacific Islander,20-24,male,51.4,21.279600000000002
2012,Asian and Pacific Islander,20-24,female,48.6,20.1204
